Row Label,County,Yes,No
Yellowhawk 58,WL,19,25
CP 3 63,WL,266,227
Touchet 5 56(*),WL,0,0
Spruce 24,WL,105,112
Birch 05,WL,97,172
Baumeister 04,WL,173,222
Jefferson 13,WL,270,313
Ice Harbor 34,WL,284,164
Alder 02,WL,82,93
Waitsburg 65,WL,278,201
Lincoln 49,WL,46,29
CP 1 61,WL,259,239
Watertown 29,WL,109,165
Frenchtown 4 45,WL,24,22
Ritz 53,WL,310,255
CP 2 62,WL,195,182
Frenchtown 5 44,WL,123,81
Alderbrook 01,WL,139,99
Baker 33,WL,72,32
Edison 08,WL,134,144
Pine 21,WL,110,64
Mill Creek 50,WL,151,109
Sharpstein 23,WL,119,155
Gose 47,WL,50,49
CP 5 67,WL,214,207
Henderson 11,WL,137,147
Burbank 38,WL,334,159
Garfield 09,WL,168,148
Washington 60,WL,95,55
Garrison 46,WL,150,84
Berney 35,WL,134,153
Isaacs 12,WL,84,124
Paine 20,WL,57,95
Pleasant 22,WL,248,285
Wallula 59,WL,25,17
Monroe 18,WL,231,408
Ash 03,WL,234,199
Dixie 41,WL,173,101
Touchet 4 55,WL,195,135
CP 6 68,WL,36,32
Eureka 4 43(*),WL,0,0
Blalock 36,WL,233,231
Stadium 25,WL,112,148
Clyde 39,WL,19,14
CP 4 66,WL,273,294
Pros Point 52,WL,441,510
Wainwright 28,WL,227,198
Moore 51,WL,116,130
Eureka 5 42,WL,27,24
Derry 40,WL,84,76
College 07,WL,76,208
Prescott 64,WL,62,26
Green Park 10,WL,48,162
Twin Grove 57,WL,139,119
Tausick 26,WL,122,151
Marcus 17,WL,330,345
Braden 37,WL,268,250
McNary 54,WL,171,90
Maple 16,WL,219,358
Total,WL,9114,9148
Abbott 31,WL,138,194
Clark 06,WL,76,113
