Row Label,County,Lisa L. Sutton
601 Queets,JE,26
704 Port Townsend,JE,148
101 Gardiner,JE,103
501 Port Ludlow I,JE,403
200 Coyle,JE,149
708 Port Townsend,JE,394
302 Center I,JE,175
702 Port Townsend,JE,183
306 Irondale II,JE,316
300 Chimacum I,JE,192
102 Port Discovery,JE,116
105 Discovery Bay,JE,288
305 Irondale I,JE,229
710 Port Townsend,JE,232
500 Port Ludlow,JE,347
106 North Jacob,JE,216
503 Port Ludlow III,JE,226
301 Chimacum II,JE,127
706 Port Townsend,JE,471
401 Nordland,JE,286
502 Port Ludlow II,JE,215
505 Port Ludlow V,JE,275
709 Port Townsend,JE,378
303 Hadlock,JE,317
304 Kala Point,JE,332
107 South Jacob,JE,302
201 Quilcene,JE,282
308 Center II,JE,105
705 Port Townsend,JE,201
204 Brinnon,JE,360
707 Port Townsend,JE,388
104 Cape George,JE,316
103 Crocker,JE,115
600 Hoh,JE,26
703 Port Townsend,JE,206
700 Port Townsend,JE,308
504 Port Ludlow IV,JE,175
Total,JE,9288
701 Port Townsend,JE,154
307 Four Corners,JE,206
