Row Label,County,David E. Griffiths
210,CH,212
1149,CH,31
133,CH,228
132,CH,24
131,CH,36
136,CH,4
135,CH,355
134,CH,356
490,CH,574
540,CH,333
163,CH,18
1151,CH,2
1150,CH,6
710,CH,239
120,CH,182
121,CH,180
122,CH,104
123,CH,27
124,CH,40
125,CH,355
126,CH,47
127,CH,77
128,CH,38
129,CH,130
410,CH,283
530,CH,407
590,CH,334
310,CH,139
190,CH,27
115,CH,23
114,CH,237
116,CH,90
111,CH,59
110,CH,188
113,CH,35
112,CH,18
520,CH,543
420,CH,310
580,CH,255
440,CH,458
100,CH,6
510,CH,212
430,CH,421
450,CH,383
330,CH,235
175,CH,418
174,CH,249
173,CH,12
172,CH,12
171,CH,9
730,CH,367
182,CH,265
183,CH,150
181,CH,308
560,CH,358
460,CH,357
164,CH,134
165,CH,79
161,CH,25
162,CH,22
220,CH,251
720,CH,340
151,CH,3
150,CH,38
153,CH,495
152,CH,2
155,CH,154
154,CH,424
157,CH,345
156,CH,43
159,CH,7
158,CH,167
320,CH,218
146,CH,68
147,CH,342
144,CH,18
145,CH,18
142,CH,28
143,CH,5
140,CH,103
141,CH,7
610,CH,251
148,CH,152
149,CH,171
480,CH,378
Total,CH,15054
