Row Label,County,Denny Heck,Joyce McDonald
31-823,PI,144,168
31-822,PI,156,180
31-827,PI,42,82
31-826,PI,237,230
31-825,PI,224,186
31-829,PI,182,191
28-574,PI,32,66
28-565,PI,219,248
28-566,PI,221,259
28-567,PI,233,307
28-560,PI,305,423
28-508,PI,164,103
28-562,PI,147,172
28-563,PI,98,73
28-568,PI,262,297
31-810,PI,141,138
29-679,PI,163,204
29-678,PI,180,157
29-633,PI,23,12
25-228,PI,286,226
25-226,PI,173,211
25-227,PI,165,132
29-673,PI,255,242
29-672,PI,129,129
25-222,PI,212,188
29-674,PI,82,75
29-677,PI,237,241
25-221,PI,229,350
02-120,PI,186,210
02-121,PI,200,292
02-122,PI,245,240
02-123,PI,190,320
02-124,PI,168,231
02-125,PI,179,218
02-126,PI,206,304
02-127,PI,106,175
02-128,PI,210,281
02-129,PI,110,186
29-643,PI,22,15
31-802,PI,175,261
31-828,PI,230,179
28-575(*),PI,0,0
28-573,PI,204,115
28-572,PI,273,189
28-571,PI,7,5
28-570,PI,6,3
28-577,PI,7,9
28-576,PI,265,308
29-642,PI,274,194
27-452,PI,280,160
28-579,PI,30,42
28-578,PI,42,67
28-561,PI,164,199
29-649,PI,79,47
29-680,PI,176,221
25-239,PI,272,335
25-238,PI,160,147
25-235,PI,8,11
25-236,PI,213,197
25-230,PI,90,51
27-449,PI,327,174
31-805,PI,226,209
02-131,PI,257,320
02-130,PI,125,134
29-659,PI,133,129
29-653,PI,283,140
29-652,PI,33,12
29-651,PI,301,201
29-650,PI,243,174
29-656,PI,216,186
29-655,PI,123,69
29-654,PI,296,188
31-804,PI,203,246
28-584,PI,131,202
29-658,PI,241,208
28-582,PI,97,103
28-583,PI,144,186
28-580,PI,30,65
28-581,PI,143,147
25-208,PI,329,379
25-209,PI,301,335
25-201,PI,341,317
25-202,PI,254,271
25-203,PI,334,296
25-204,PI,286,250
25-205,PI,283,286
25-206,PI,216,141
28-509,PI,0,0
25-280,PI,234,387
27-459,PI,186,94
27-458,PI,198,113
30-713(*),PI,0,0
27-453,PI,207,110
02-143,PI,163,230
27-451,PI,260,146
27-450,PI,358,155
27-457,PI,275,134
27-456,PI,241,106
27-455,PI,249,145
27-454,PI,309,195
29-635,PI,73,40
28-521,PI,400,272
29-637,PI,224,142
25-217,PI,272,373
25-216,PI,173,215
25-215,PI,287,299
29-636,PI,314,215
25-213,PI,291,394
25-212,PI,260,336
25-211,PI,273,260
25-210,PI,322,441
28-590,PI,7,10
25-219,PI,215,468
25-218,PI,274,356
28-515,PI,401,349
28-517,PI,383,288
28-516,PI,362,294
29-622,PI,185,134
29-623,PI,49,37
29-620,PI,157,77
25-237(*),PI,0,0
28-519,PI,369,273
28-518,PI,368,243
31-803,PI,206,225
29-671,PI,185,247
31-873,PI,40,46
29-670,PI,240,291
31-874,PI,0,0
25-293,PI,275,306
25-292,PI,294,332
25-291,PI,58,72
25-290,PI,28,29
29-675,PI,241,209
25-262,PI,228,344
25-263,PI,188,319
25-260,PI,271,325
25-261,PI,175,236
25-266,PI,241,419
25-267,PI,106,176
25-264,PI,274,325
25-265,PI,292,274
25-268,PI,133,159
25-269,PI,158,233
28-520,PI,382,215
25-275(*),PI,0,0
28-522,PI,359,316
28-523,PI,336,351
28-524,PI,412,323
28-525,PI,396,329
28-526,PI,245,231
28-527,PI,399,332
28-528,PI,360,291
28-529,PI,291,243
29-639,PI,240,161
29-638,PI,140,68
25-220(*),PI,0,0
31-808,PI,213,216
29-626,PI,9,4
29-624,PI,0,0
25-271,PI,238,318
25-270,PI,231,334
25-273,PI,165,240
29-625,PI,6,2
25-274,PI,251,459
25-277,PI,219,341
25-276,PI,13,6
25-279,PI,196,284
25-278,PI,79,130
29-682,PI,213,190
29-683,PI,241,193
31-824(*),PI,0,0
28-538,PI,298,221
28-537,PI,371,299
28-536,PI,360,291
28-535,PI,440,264
28-531,PI,319,266
28-530,PI,168,109
29-662,PI,0,0
29-663,PI,208,200
29-676,PI,204,248
29-660,PI,279,266
29-661,PI,198,191
29-667,PI,246,239
31-809,PI,207,238
31-801,PI,135,148
25-248,PI,317,394
25-249,PI,298,296
25-244,PI,350,363
25-246,PI,30,21
25-247,PI,268,228
25-240,PI,112,124
25-241,PI,147,122
25-242,PI,263,378
25-243,PI,255,217
29-657(*),PI,0,0
28-548,PI,270,225
28-549,PI,291,284
28-542,PI,298,313
28-543,PI,222,278
28-540,PI,374,372
28-541,PI,288,275
28-546,PI,261,291
28-547,PI,397,316
28-545,PI,301,275
31-807,PI,2,2
02-101,PI,88,84
31-806,PI,276,274
25-245(*),PI,0,0
29-621(*),PI,0,0
31-830,PI,93,88
29-664,PI,231,226
25-259,PI,288,291
25-258,PI,296,333
29-648,PI,5,4
25-253,PI,189,186
25-252,PI,232,245
25-251,PI,251,275
25-250,PI,92,151
25-257,PI,267,264
25-256,PI,260,253
25-255,PI,173,176
25-254,PI,172,130
28-559,PI,242,300
28-558,PI,241,216
29-668,PI,171,170
29-669,PI,244,220
28-551,PI,357,374
28-550,PI,233,208
28-553,PI,325,312
28-552,PI,390,273
28-555,PI,387,326
28-554,PI,271,353
28-557,PI,264,220
28-556,PI,275,216
02-115,PI,176,236
29-617,PI,241,191
02-117,PI,211,288
02-116,PI,210,328
29-640,PI,248,155
Total,PI,49348,48965
02-119,PI,136,155
02-118,PI,134,186
29-641,PI,269,145
