Row Label,County,Dave Brown
NORTH BONNEVILLE,SM,252
STABLER,SM,208
UNDERWOOD SOUTH,SM,127
WIND RIVER,SM,165
CAPE HORN,SM,170
SKAMANIA,SM,199
ROCK CREEK,SM,126
CARSON CREEK,SM,187
SOUTH STEVENSON,SM,41
SKYE,SM,142
HOT SPRINGS SOUTH,SM,127
NORTH STEVENSON,SM,147
CHENOWITH,SM,119
MT. PLEASANT,SM,122
BEAR PRAIRIE,SM,122
CASCADES,SM,7
NELSON CREEK,SM,77
HOT SPRINGS NORTH,SM,75
LEWIS RIVER,SM,15
UNDERWOOD NORTH,SM,171
UPPER WASHOUGAL,SM,153
WIND MOUNTAIN,SM,80
MAPLE VIEW,SM,198
Total,SM,3030
