Row Label,County,Derek Kilmer,Marty McClendon
BLUFFS 210,CM,148,153
PORT ANGELES 109,CM,497,242
PORT ANGELES 108,CM,208,107
BELLEVIEW 205,CM,298,223
CARLSBORG 214,CM,195,199
PORT ANGELES 103,CM,424,233
PORT ANGELES 102,CM,445,162
PORT ANGELES 101,CM,238,140
OLYMPIC 254,CM,202,178
PORT ANGELES 107,CM,429,214
PORT ANGELES 106,CM,292,182
PORT ANGELES 105,CM,383,193
PORT ANGELES 104,CM,308,126
AGNEW 201,CM,230,197
JAMESTOWN 240,CM,216,142
FRESHWATER BAY 233,CM,367,330
DUNGENESS EAST 222,CM,343,293
SUN 269,CM,63,103
CLARK 216,CM,116,83
MOUNT PLEASANT 251,CM,263,208
PORT WILLIAMS 258,CM,176,127
MILLER PENINSULA 246,CM,170,118
ELK 229,CM,69,61
FAIRVIEW 232,CM,307,265
OBRIEN 253,CM,212,229
HAPPY VALLEY 237,CM,132,159
EAGLE 226,CM,199,209
COYOTE 218,CM,338,246
BOGACHIEL 212,CM,67,108
ROBIN HILL 266,CM,209,200
PRAIRIE NORTH 259,CM,252,228
JOYCE 241,CM,308,307
NEAH BAY 252,CM,179,33
SEQUIM 406,CM,240,204
MADISON CREEK 248,CM,120,73
FORKS 301,CM,126,129
DEER PARK 220,CM,310,250
DIAMOND POINT 221,CM,286,237
BEAVER 204,CM,146,213
MONTERRA 249,CM,284,236
PORT ANGELES 110,CM,82,64
PORT ANGELES 111,CM,433,235
PORT ANGELES 112,CM,230,135
PORT ANGELES 113,CM,224,164
QUILEUTE 262,CM,105,70
CLINE 217,CM,351,186
FORKS 302,CM,183,211
BELL HILL 207,CM,256,282
PRAIRIE SOUTH 260,CM,254,248
MOUNT ANGELES 250,CM,208,126
SUNLAND NORTH 270,CM,309,251
BLYN 211,CM,245,206
DUNGENESS WEST 223,CM,167,123
BLUE MOUNTAIN 209,CM,291,249
MACLEAY 247,CM,279,252
SEQUIM 404,CM,385,331
SEQUIM 405,CM,229,203
SEQUIM 402,CM,161,116
SEQUIM 403,CM,320,201
DRY CREEK 224,CM,276,168
CLALLAM BAY 215,CM,138,114
LOST MOUNTAIN 245,CM,156,179
SEQUIM 401,CM,174,104
RIVERSIDE 265,CM,280,218
BLACK DIAMOND 208,CM,184,147
SUNLAND SOUTH 271,CM,197,167
ELWHA 230,CM,89,69
Total,CM,16001,12159
