Row Label,County,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
PCT 3329,SP,131,253
PCT 4448,SP,240,158
PCT 3323,SP,243,239
PCT 3322,SP,168,212
PCT 3321,SP,241,280
PCT 3320,SP,169,204
PCT 3327,SP,163,184
PCT 3326,SP,90,101
PCT 4438,SP,461,218
PCT 4439,SP,331,182
PCT 3325,SP,214,355
PCT 4432,SP,339,203
PCT 4433,SP,217,145
PCT 4430,SP,341,207
PCT 3324,SP,201,263
PCT 4436,SP,536,194
PCT 4437,SP,337,233
PCT 4434,SP,495,251
PCT 4435,SP,393,167
PCT 7028,SP,497,215
PCT 7029,SP,278,185
PCT 7020,SP,393,189
PCT 7021,SP,215,102
PCT 7022,SP,253,184
PCT 7023,SP,250,175
PCT 7024,SP,480,208
PCT 7025,SP,312,183
PCT 7026,SP,366,180
PCT 7027,SP,259,169
PCT 3222,SP,75,177
PCT 3223,SP,100,233
PCT 3220,SP,293,314
PCT 3221,SP,309,250
PCT 6221,SP,415,284
PCT 6220,SP,398,228
PCT 6223,SP,384,264
PCT 6222,SP,343,115
PCT 6225,SP,326,285
PCT 6224,SP,277,254
PCT 3128,SP,174,201
PCT 3121,SP,201,167
PCT 3120,SP,210,177
PCT 3123,SP,199,154
PCT 3122,SP,232,282
PCT 3125,SP,189,170
PCT 3124,SP,196,208
PCT 3127,SP,153,227
PCT 3126,SP,53,25
PCT 9400,SP,34,6
PCT 4034,SP,284,112
PCT 4035,SP,269,80
PCT 4032,SP,212,113
PCT 4033,SP,262,135
PCT 4030,SP,217,152
PCT 4031,SP,321,112
PCT 6315,SP,168,148
PCT 6314,SP,268,209
PCT 6317,SP,228,166
PCT 6316,SP,143,111
PCT 6311,SP,251,192
PCT 6310,SP,235,217
PCT 6313,SP,277,281
PCT 6312,SP,267,173
PCT 6318,SP,277,152
PCT 6009,SP,213,182
PCT 6008,SP,244,156
PCT 9700,SP,109,60
PCT 6001,SP,297,193
PCT 6000,SP,262,118
PCT 6003,SP,411,169
PCT 6002,SP,87,52
PCT 6005,SP,275,177
PCT 6004,SP,229,139
PCT 6007,SP,262,187
PCT 6006,SP,303,187
PCT 3301,SP,388,278
PCT 3300,SP,331,133
PCT 3303,SP,245,214
PCT 3302,SP,285,208
PCT 3305,SP,192,194
PCT 3304,SP,275,198
PCT 3307,SP,186,156
PCT 3306,SP,268,207
PCT 3309,SP,239,212
