Row Label,County,Yes,No
31-900,PI,153,158
29-680,PI,266,140
31-902,PI,312,320
31-904,PI,47,34
31-905,PI,278,135
31-906,PI,158,77
31-907,PI,252,118
31-908,PI,177,127
31-909,PI,210,116
29-640,PI,224,187
29-641,PI,223,197
29-642,PI,274,206
29-643,PI,25,15
29-648,PI,5,4
29-649,PI,72,53
25-239,PI,357,247
25-238,PI,145,158
31-901,PI,25,25
25-235,PI,13,6
25-236,PI,211,199
25-230,PI,83,57
28-588,PI,387,175
28-589,PI,354,196
28-586,PI,297,165
28-587,PI,246,104
28-584,PI,219,125
28-585,PI,390,180
28-582,PI,124,70
28-583,PI,216,120
28-580,PI,57,34
28-581,PI,175,140
25-280,PI,346,291
25-281,PI,236,157
25-282,PI,397,197
02-149,PI,403,208
25-284,PI,201,94
25-285,PI,396,377
25-286,PI,312,253
25-287,PI,2,4
25-288,PI,331,247
25-289,PI,0,0
02-140,PI,384,208
02-141,PI,371,203
02-146,PI,303,125
02-147,PI,320,119
02-144,PI,340,159
02-145,PI,394,158
27-439,PI,145,346
27-438,PI,162,300
27-435,PI,230,339
27-434,PI,199,301
27-437,PI,188,292
27-436,PI,179,346
27-431,PI,96,126
27-430,PI,209,340
27-433,PI,220,341
27-432,PI,234,327
26-339,PI,47,66
26-338,PI,233,348
26-333,PI,358,322
26-332,PI,239,348
26-331,PI,75,116
26-330,PI,218,222
26-337,PI,340,375
26-336,PI,352,372
26-335,PI,222,293
26-334,PI,250,418
28-515,PI,273,482
28-517,PI,332,358
28-516,PI,307,372
25-237(*),PI,0,0
28-519,PI,285,360
28-518,PI,290,324
31-869,PI,160,65
31-865,PI,87,45
31-861,PI,87,31
26-348,PI,235,388
26-349,PI,283,344
26-346,PI,235,291
26-347,PI,246,280
26-344,PI,26,47
26-345,PI,243,385
26-342,PI,309,397
26-343,PI,276,318
26-340,PI,342,410
26-341,PI,289,344
25-271,PI,313,260
25-270,PI,348,240
25-273,PI,265,148
25-272,PI,336,286
25-274,PI,398,318
25-277,PI,376,205
25-276,PI,5,14
25-279,PI,271,226
25-278,PI,117,94
29-682,PI,235,180
29-683,PI,251,195
31-896(*),PI,0,0
29-619,PI,242,179
29-618,PI,183,195
29-617,PI,227,210
29-616,PI,231,213
29-615,PI,256,238
29-614,PI,239,268
29-613,PI,238,236
29-612,PI,117,118
29-611,PI,58,49
29-610,PI,230,193
28-559,PI,276,276
28-558,PI,225,236
28-551,PI,394,355
28-550,PI,230,219
28-553,PI,302,340
28-552,PI,313,353
28-555,PI,312,396
28-554,PI,302,341
28-557,PI,271,211
28-556,PI,253,242
02-115,PI,281,145
02-114,PI,173,112
02-117,PI,315,201
02-116,PI,352,215
02-111,PI,266,164
25-291,PI,82,53
02-113,PI,193,152
02-112,PI,206,119
02-143,PI,287,116
25-290,PI,39,18
02-119,PI,189,108
02-118,PI,196,129
31-823,PI,199,123
31-822,PI,191,155
31-827,PI,73,56
31-826,PI,223,251
31-825,PI,209,219
31-829,PI,213,168
31-828,PI,171,240
26-302,PI,342,524
26-303,PI,296,481
26-301,PI,122,104
26-304,PI,358,524
26-305,PI,365,480
31-892,PI,174,141
31-890,PI,130,122
27-471,PI,11,7
31-891,PI,82,81
27-475,PI,194,325
27-477,PI,319,252
27-476,PI,133,270
31-897,PI,136,94
31-894,PI,37,29
31-895,PI,221,147
31-856,PI,236,142
31-857,PI,144,98
31-854,PI,131,76
31-855,PI,186,99
31-853,PI,57,29
31-919,PI,246,139
31-917,PI,346,233
31-916,PI,245,145
31-915,PI,46,29
31-914,PI,214,87
31-913,PI,126,61
31-912,PI,189,92
31-911,PI,146,98
31-910,PI,234,130
29-653,PI,222,203
29-652,PI,21,22
29-651,PI,308,209
29-650,PI,219,199
29-656,PI,214,200
29-655,PI,78,126
29-654,PI,276,231
29-659,PI,161,111
29-658,PI,257,201
25-208,PI,377,335
25-209,PI,323,327
25-201,PI,346,324
25-202,PI,282,257
25-203,PI,319,320
25-204,PI,259,293
25-205,PI,314,275
25-206,PI,160,206
28-590,PI,12,8
29-626,PI,6,7
29-627,PI,0,0
29-624,PI,0,0
29-625,PI,3,5
29-622,PI,192,135
29-623,PI,47,41
29-620,PI,126,110
02-159,PI,241,93
02-158,PI,326,153
02-151,PI,127,63
02-150,PI,333,134
02-153,PI,345,147
02-152,PI,456,164
02-155,PI,367,199
02-154,PI,307,160
02-157,PI,466,206
02-156,PI,489,222
27-408,PI,272,353
27-409,PI,243,330
27-401,PI,97,203
27-404,PI,30,171
27-405,PI,220,430
27-406,PI,318,497
27-407,PI,242,351
28-520,PI,261,359
28-521,PI,281,412
28-522,PI,270,415
28-523,PI,320,371
28-524,PI,329,415
28-525,PI,298,437
28-526,PI,204,293
28-527,PI,284,447
28-528,PI,268,395
28-529,PI,238,297
31-818,PI,55,68
31-819,PI,90,109
31-813,PI,97,139
31-810,PI,129,155
31-816,PI,166,239
31-817,PI,229,279
31-814,PI,24,38
31-815,PI,147,184
26-351,PI,290,335
26-350,PI,288,370
26-352,PI,286,335
31-926,PI,8,7
31-927,PI,277,116
31-924,PI,197,86
31-925,PI,53,68
25-248,PI,431,284
25-249,PI,331,277
31-920,PI,177,126
31-921,PI,270,109
25-244,PI,384,342
25-245,PI,3,2
25-246,PI,36,15
25-247,PI,279,216
25-240,PI,139,109
25-241,PI,147,126
25-242,PI,358,299
25-243,PI,257,227
02-110,PI,191,108
29-621(*),PI,0,0
29-668,PI,212,140
29-669,PI,265,221
29-662,PI,0,0
29-663,PI,233,184
29-660,PI,337,218
29-661,PI,208,183
29-667,PI,283,211
29-664,PI,243,227
28-565,PI,239,230
28-566,PI,237,247
28-567,PI,284,269
28-560,PI,334,389
28-561,PI,183,193
28-562,PI,182,145
28-563,PI,104,72
28-568,PI,228,332
02-148,PI,391,194
02-120,PI,240,170
02-121,PI,308,215
02-122,PI,319,191
02-123,PI,352,178
02-124,PI,260,171
02-125,PI,245,155
02-126,PI,361,179
02-127,PI,149,146
02-128,PI,257,251
02-129,PI,175,138
31-807(*),PI,0,0
28-575(*),PI,0,0
31-824(*),PI,0,0
02-142,PI,273,167
26-315,PI,404,329
26-317,PI,367,268
26-316,PI,439,315
26-319,PI,310,291
26-318,PI,289,257
27-448,PI,13,7
27-449,PI,233,269
27-444,PI,232,230
27-445,PI,206,238
27-446,PI,212,236
27-447,PI,212,250
27-440,PI,180,319
27-441,PI,182,248
27-442,PI,182,179
27-443,PI,196,188
31-845,PI,190,176
31-844,PI,177,125
31-847,PI,149,61
31-846,PI,92,70
31-841,PI,123,110
31-840,PI,127,79
31-843,PI,165,138
31-842,PI,219,187
31-849,PI,77,68
31-848,PI,55,23
25-217,PI,318,336
25-216,PI,203,196
25-215,PI,285,289
25-213,PI,349,347
25-212,PI,337,270
25-211,PI,313,240
25-210,PI,385,394
25-219,PI,369,321
25-218,PI,304,333
31-881,PI,179,124
29-671,PI,251,189
29-670,PI,317,223
29-675,PI,254,206
29-676,PI,278,196
29-635,PI,47,62
31-883,PI,277,318
29-637,PI,167,202
29-636,PI,265,270
29-633,PI,24,13
29-639,PI,202,200
29-638,PI,94,107
25-220(*),PI,0,0
31-882,PI,251,223
28-538,PI,204,321
28-537,PI,258,417
28-536,PI,299,373
28-535,PI,290,422
28-531,PI,253,333
28-530,PI,138,139
31-923,PI,220,103
31-809,PI,230,229
31-808,PI,236,209
31-801,PI,166,132
31-803,PI,226,207
31-802,PI,262,190
31-805,PI,203,241
31-804,PI,253,223
31-806,PI,302,258
25-293,PI,317,271
27-417,PI,192,473
27-416,PI,223,423
27-415,PI,245,433
27-414,PI,166,511
27-413,PI,226,390
27-412,PI,229,316
27-411,PI,235,537
27-410,PI,217,402
31-898,PI,306,189
31-899,PI,153,104
27-419,PI,191,451
27-418,PI,198,394
25-292,PI,377,259
25-259,PI,299,290
25-258,PI,387,245
25-253,PI,214,159
25-252,PI,274,215
25-251,PI,307,227
25-250,PI,141,104
25-257,PI,289,247
25-256,PI,282,242
25-255,PI,195,158
25-254,PI,153,153
Total,PI,109536,105739
31-903(*),PI,0,0
29-679,PI,227,150
29-678,PI,201,146
25-228,PI,259,259
25-226,PI,225,164
25-227,PI,145,152
29-673,PI,291,222
29-672,PI,169,96
25-222,PI,219,185
29-674,PI,95,68
29-677,PI,300,201
25-221,PI,321,260
25-275(*),PI,0,0
30-708,PI,197,199
28-573,PI,158,160
28-572,PI,228,242
28-571,PI,7,5
28-570,PI,4,5
28-577,PI,11,7
28-576,PI,288,291
28-574,PI,59,39
28-579,PI,41,32
28-578,PI,56,57
02-139,PI,350,164
02-138,PI,429,230
02-137,PI,223,70
02-136,PI,63,41
02-135,PI,425,187
02-134,PI,389,191
02-133,PI,82,56
02-131,PI,348,237
02-130,PI,149,121
27-428,PI,143,358
27-429,PI,183,343
27-426,PI,150,406
27-427,PI,178,388
27-424,PI,162,460
27-425,PI,158,428
27-422,PI,176,581
27-423,PI,187,511
27-420,PI,168,547
27-421,PI,154,357
26-328,PI,283,316
26-329,PI,314,362
26-324,PI,321,328
26-325,PI,342,292
26-326,PI,345,355
26-327,PI,280,388
26-320,PI,320,314
26-321,PI,469,373
26-322,PI,393,312
26-323,PI,372,405
28-506,PI,261,396
28-507,PI,247,277
28-504,PI,261,374
28-505,PI,289,453
28-502,PI,248,413
28-503,PI,227,400
28-501,PI,225,454
31-893(*),PI,0,0
28-508,PI,126,151
28-509,PI,0,0
27-459,PI,144,147
27-458,PI,152,170
27-453,PI,181,149
27-452,PI,248,211
27-451,PI,203,212
27-450,PI,224,297
27-457,PI,195,218
27-456,PI,167,187
27-455,PI,215,200
27-454,PI,215,282
31-873,PI,48,37
31-874,PI,0,0
31-875,PI,341,226
31-876,PI,16,9
31-877,PI,134,97
31-879,PI,71,37
25-283,PI,167,134
25-262,PI,329,263
25-263,PI,319,208
25-260,PI,347,262
25-261,PI,260,177
25-266,PI,389,294
25-267,PI,170,122
25-264,PI,341,275
25-265,PI,312,260
25-268,PI,175,131
25-269,PI,204,194
29-600,PI,0,0
29-601,PI,193,195
29-602,PI,173,169
29-603,PI,182,233
29-604,PI,221,200
29-605,PI,187,179
29-606,PI,263,212
29-607,PI,237,280
29-608,PI,191,190
29-609,PI,164,149
29-657(*),PI,0,0
28-548,PI,247,253
28-549,PI,226,362
31-880,PI,93,74
28-542,PI,259,351
28-543,PI,278,225
28-540,PI,306,435
28-541,PI,264,292
28-546,PI,258,289
28-547,PI,291,427
28-545,PI,283,295
02-106,PI,378,219
30-709,PI,194,201
02-105,PI,138,74
02-101,PI,107,75
31-885,PI,91,88
30-701,PI,13,6
30-707,PI,141,97
30-706,PI,256,164
30-705,PI,132,136
31-884,PI,322,231
31-834,PI,222,162
31-835,PI,362,294
31-836,PI,238,209
31-837,PI,222,141
31-830,PI,89,97
31-887,PI,215,167
31-833,PI,250,185
30-713(*),PI,0,0
31-886,PI,256,191
31-838,PI,226,110
31-839,PI,23,19
27-462,PI,254,339
27-463,PI,191,265
27-460,PI,232,376
27-461,PI,239,433
27-466,PI,211,254
27-467,PI,256,232
27-464,PI,198,316
27-465,PI,202,250
31-888,PI,224,124
27-468,PI,202,244
