Row Label,County,Repealed,Maintained
Yelm 1,TH,181,109
Griffin,TH,125,191
Kaiser,TH,51,108
Smith Prairie,TH,227,179
Olympia 01,TH,98,181
Lacey 29,TH,180,135
Scott Lake South,TH,133,124
Tri Lakes,TH,88,97
Woodland,TH,119,197
Plumb,TH,169,201
Montgomery,TH,89,77
Olympia 10,TH,67,255
Delta(*),TH,0,0
Olympia 12,TH,72,86
Olympia 13,TH,80,226
Pleasant Hill,TH,171,176
Olympia 15,TH,70,177
Smith Lake,TH,143,185
Olympia 17,TH,90,110
Olympia 18,TH,90,209
Rocky Prairie,TH,125,112
Scatter Creek,TH,126,114
Lacey 06,TH,57,57
Henderson,TH,195,252
Mullen,TH,167,219
Marvin,TH,194,181
Rochester 4,TH,130,143
Rochester 5,TH,197,146
Rochester 2,TH,173,135
Rochester 3,TH,207,122
French,TH,122,236
Rochester 1,TH,248,159
Tumwater 11,TH,200,262
Evergreen Ballroom,TH,216,196
Littlerock,TH,270,286
Lacey 10,TH,162,188
Skookumchuck,TH,199,134
Delphi,TH,132,173
Tolmie,TH,71,71
Quince(*),TH,0,0
St Clair,TH,156,189
Olympia 58,TH,152,131
Tenino 01,TH,95,92
James,TH,160,152
Tumwater 10,TH,195,173
Lacey 14,TH,56,51
Olympia 07,TH,68,101
Olympia 06,TH,208,280
Olympia 05,TH,100,167
Olympia 04,TH,114,148
Olympia 03,TH,88,198
Olympia 02,TH,127,153
Plainview,TH,176,338
Lacey 27,TH,135,137
Delridge,TH,29,64
Military,TH,85,75
Lacey 16,TH,103,146
Lacey 39,TH,192,243
Olympia 09,TH,181,342
Sweet Briar,TH,164,285
Olympia 43,TH,105,245
Rainier 01,TH,150,122
Puget,TH,186,246
Olympia 11,TH,67,197
Vail,TH,234,155
Stedman,TH,144,113
Tumwater 13,TH,65,64
Zenkner Valley,TH,44,41
Trailblazer,TH,75,49
Libby,TH,123,166
Lackamas,TH,56,62
Broadway,TH,165,258
Johnson Point,TH,194,240
Sleater Kinney,TH,142,143
Medicine Creek,TH,76,83
Lacey 42,TH,50,50
Olympia 16,TH,21,31
Tumwater 12,TH,113,188
Prine,TH,41,28
Long Lake,TH,41,46
Lacey 33,TH,77,90
Olympia 53,TH,106,151
Lacey 31,TH,116,121
Lacey 30,TH,209,225
Greenridge,TH,102,112
Lacey 36,TH,80,112
Rich,TH,127,155
Olympia 19,TH,97,162
Butler Cove,TH,121,171
Lacey 34,TH,90,65
Mud Bay,TH,134,186
Olympia 14,TH,96,169
Mclane,TH,123,134
Tumwater 15,TH,164,209
Lawrence Lake,TH,226,193
Lacey 45,TH,55,93
Olympia 38,TH,31,45
Tilley,TH,208,166
Yelm 3,TH,172,163
Hunter Point,TH,97,118
Skokomish,TH,140,128
Schneiders Prairie,TH,106,167
Grand Mound,TH,92,72
Alpine,TH,218,347
Hays,TH,102,148
Luhr Beach,TH,149,251
Berry Valley,TH,154,125
Freedom,TH,201,180
