Row Label,County,Tom Dent,Dannette (Dani) Bolyard
DAMMAN,KS,218,87
VANTAGE,KS,11,15
PARK,KS,246,93
TEANAWAY,KS,200,80
ELLENSBURG 20,KS,43,26
CLE ELUM 4,KS,151,81
ELLENSBURG 22,KS,101,60
ELLENSBURG 23,KS,96,95
CLE ELUM 1,KS,118,57
ELLENSBURG 25,KS,205,99
CLE ELUM 3,KS,32,19
CLE ELUM 2,KS,60,39
SOUTH CLE ELUM,KS,112,51
FAIRVIEW,KS,138,72
RONALD,KS,94,42
NORTHEAST FAIRVIEW,KS,224,106
ELLENSBURG 24,KS,212,129
ELLENSBURG 9,KS,40,32
ELLENSBURG 8,KS,45,28
RIDGEWAY,KS,331,132
ELLENSBURG 1,KS,30,12
ELLENSBURG 2,KS,43,21
ELLENSBURG 5,KS,45,25
ELLENSBURG 4,KS,15,19
ELLENSBURG 7,KS,22,20
ELLENSBURG 6,KS,39,16
EAST SANDERS,KS,214,109
THRALL,KS,213,83
ELLENSBURG 21,KS,66,38
MOUNTAIN,KS,82,44
HYAK,KS,54,31
ROSLYN 1,KS,84,52
ROSLYN 2,KS,63,49
KITTITAS 1,KS,73,54
KACHESS,KS,64,28
MANASTASH,KS,179,67
DENMARK,KS,321,115
ROSLYN OUTLYING,KS,38,16
SOUTH ELLENSBURG,KS,229,172
DRY CREEK,KS,259,106
NORTH CENTRAL,KS,166,86
ELLENSBURG 11,KS,56,58
ELLENSBURG 10,KS,71,37
ELLENSBURG 13,KS,51,37
ELLENSBURG 12,KS,57,37
ELLENSBURG 15,KS,105,39
ELLENSBURG 14,KS,67,40
ELLENSBURG 17,KS,106,62
ELLENSBURG 16,KS,142,79
ELLENSBURG 19,KS,162,96
ELLENSBURG 18,KS,19,12
WESTSIDE,KS,259,120
EASTON,KS,230,95
PEOH POINT,KS,220,80
SANDERS,KS,96,39
KITTITAS 2,KS,92,54
NORTH ELLENSBURG,KS,265,140
THORP,KS,200,90
SWAUK,KS,125,70
Total,KS,7299,3691
