Row Label,County,Melinda Didier,Rick Miller
Pct 008,FR,67,152
Pct 009,FR,25,43
Pct 002,FR,40,61
Pct 003,FR,21,29
Pct 001,FR,95,101
Pct 006,FR,44,70
Pct 007,FR,39,60
Pct 004,FR,45,32
Pct 005,FR,23,45
Pct 082,FR,68,47
Pct 083,FR,56,40
Pct 080,FR,183,114
Pct 081,FR,37,32
Pct 086,FR,49,37
Pct 087,FR,28,45
Pct 084,FR,20,27
Pct 085,FR,19,32
Pct 088,FR,13,32
Pct 089,FR,65,57
Pct 079,FR,76,53
Pct 078,FR,62,32
Pct 077,FR,26,39
Pct 076,FR,57,30
Pct 075,FR,24,19
Pct 074,FR,117,131
Pct 073,FR,134,144
Pct 072,FR,45,85
Pct 071,FR,101,68
Pct 070,FR,27,45
Pct 101,FR,47,60
Pct 100,FR,53,50
Pct 068,FR,5,7
Pct 069,FR,16,24
Pct 064,FR,75,115
Pct 065,FR,34,76
Pct 066,FR,116,179
Pct 067,FR,86,145
Pct 060,FR,27,71
Pct 061,FR,116,163
Pct 062,FR,159,219
Pct 063,FR,67,128
Pct 059,FR,93,214
Pct 058,FR,9,20
Pct 051,FR,101,129
Pct 050,FR,89,144
Pct 053,FR,75,104
Pct 052,FR,24,34
Pct 055,FR,108,225
Pct 054,FR,27,65
Pct 057,FR,48,126
Pct 056,FR,57,105
Pct 046,FR,97,186
Pct 047,FR,6,22
Pct 044,FR,61,133
Pct 045,FR,83,164
Pct 042,FR,51,102
Pct 043,FR,68,104
Pct 040,FR,72,130
Pct 041,FR,43,93
Pct 048,FR,74,163
Pct 049,FR,86,173
Pct 033,FR,62,94
Pct 032,FR,151,235
Pct 031,FR,23,53
Pct 030,FR,26,32
Pct 037,FR,126,154
Pct 036,FR,115,187
Pct 035,FR,40,76
Pct 034,FR,85,184
Pct 039,FR,70,140
Pct 038,FR,75,122
Pct 020,FR,30,44
Pct 021,FR,14,30
Pct 022,FR,72,107
Pct 023,FR,94,226
Pct 024,FR,76,74
Pct 025,FR,30,36
Pct 026,FR,44,74
Pct 027,FR,20,56
Pct 028,FR,20,58
Pct 029,FR,28,71
Pct 019,FR,52,123
Pct 018,FR,21,39
Pct 015,FR,47,71
Pct 014,FR,41,56
Pct 017,FR,52,77
Pct 016,FR,8,10
Pct 011,FR,29,69
Pct 010,FR,54,66
Pct 013,FR,32,44
Pct 012,FR,23,56
Pct 095,FR,46,23
Pct 094,FR,0,0
Pct 097,FR,19,29
Pct 096,FR,34,50
Pct 091,FR,7,6
Pct 090,FR,74,76
Pct 093,FR,77,82
Pct 092,FR,60,76
Total,FR,5596,8402
Pct 099,FR,20,14
Pct 098,FR,20,7
