Row Label,County,Jean Bremner Booher
SHERMAN,FE,148
REPUBLIC 2,FE,154
REPUBLIC 1,FE,157
LAMBERT,FE,53
HALL CREEK,FE,72
CURLEW,FE,21
STORM KING,FE,153
TORODA,FE,71
BOYDS,FE,87
MALO,FE,110
SOUTH LAKE,FE,105
KETTLE RIVER,FE,150
KEWA,FE,84
BELCHER,FE,63
KELLER,FE,87
TROUT CREEK,FE,188
Total,FE,2046
ORIENT,FE,92
SAN POIL,FE,177
INCHELIUM,FE,74
