Row Label,County,Repealed,Maintained
Pct 008,FR,130,73
Pct 009,FR,45,24
Pct 002,FR,62,48
Pct 003,FR,34,24
Pct 001,FR,128,83
Pct 006,FR,63,49
Pct 007,FR,57,44
Pct 004,FR,56,34
Pct 005,FR,44,24
Pct 082,FR,61,52
Pct 083,FR,65,27
Pct 080,FR,164,115
Pct 081,FR,43,28
Pct 086,FR,52,31
Pct 087,FR,33,36
Pct 084,FR,33,14
Pct 085,FR,27,25
Pct 088,FR,20,21
Pct 089,FR,76,39
Pct 079,FR,68,52
Pct 078,FR,55,38
Pct 077,FR,42,21
Pct 076,FR,49,35
Pct 075,FR,18,24
Pct 074,FR,133,101
Pct 073,FR,133,139
Pct 072,FR,87,48
Pct 071,FR,90,72
Pct 070,FR,29,37
Pct 101,FR,62,46
Pct 100,FR,39,58
Pct 068,FR,7,4
Pct 069,FR,30,10
Pct 064,FR,114,70
Pct 065,FR,60,49
Pct 066,FR,160,127
Pct 067,FR,130,98
Pct 060,FR,42,53
Pct 061,FR,173,111
Pct 062,FR,221,155
Pct 063,FR,119,81
Pct 059,FR,148,151
Pct 058,FR,13,16
Pct 051,FR,143,99
Pct 050,FR,136,105
Pct 053,FR,105,71
Pct 052,FR,37,24
Pct 055,FR,198,147
Pct 054,FR,56,46
Pct 057,FR,106,84
Pct 056,FR,87,82
Pct 046,FR,170,130
Pct 047,FR,22,6
Pct 044,FR,110,87
Pct 045,FR,170,93
Pct 042,FR,91,78
Pct 043,FR,102,66
Pct 040,FR,102,110
Pct 041,FR,63,65
Pct 048,FR,125,116
Pct 049,FR,110,139
Pct 033,FR,91,69
Pct 032,FR,205,194
Pct 031,FR,36,40
Pct 030,FR,34,26
Pct 037,FR,166,123
Pct 036,FR,140,151
Pct 035,FR,74,44
Pct 034,FR,150,107
Pct 039,FR,134,85
Pct 038,FR,118,91
Pct 020,FR,44,31
Pct 021,FR,23,16
Pct 022,FR,99,85
Pct 023,FR,165,161
Pct 024,FR,107,53
Pct 025,FR,34,31
Pct 026,FR,73,46
Pct 027,FR,62,19
Pct 028,FR,53,30
Pct 029,FR,55,48
Pct 019,FR,103,74
Pct 018,FR,50,13
Pct 015,FR,68,46
Pct 014,FR,64,34
Pct 017,FR,80,48
Pct 016,FR,13,6
Pct 011,FR,69,40
Pct 010,FR,82,42
Pct 013,FR,57,30
Pct 012,FR,60,30
Pct 095,FR,38,23
Pct 094,FR,0,0
Pct 097,FR,35,13
Pct 096,FR,41,45
Pct 091,FR,6,6
Pct 090,FR,87,61
Pct 093,FR,96,57
Pct 092,FR,79,61
Total,FR,8071,6041
Pct 099,FR,16,17
Pct 098,FR,16,10
