Row Label,County,Rich Melnick
NORTH BONNEVILLE,SM,187
STABLER,SM,155
UNDERWOOD SOUTH,SM,119
WIND RIVER,SM,132
CAPE HORN,SM,118
SKAMANIA,SM,142
ROCK CREEK,SM,84
CARSON CREEK,SM,150
SOUTH STEVENSON,SM,33
SKYE,SM,116
HOT SPRINGS SOUTH,SM,98
NORTH STEVENSON,SM,105
CHENOWITH,SM,87
MT. PLEASANT,SM,107
BEAR PRAIRIE,SM,93
CASCADES,SM,4
NELSON CREEK,SM,55
HOT SPRINGS NORTH,SM,56
LEWIS RIVER,SM,8
UNDERWOOD NORTH,SM,133
UPPER WASHOUGAL,SM,110
WIND MOUNTAIN,SM,56
MAPLE VIEW,SM,148
Total,SM,2296
