Row Label,County,Mary Yu
SHERMAN,FE,135
REPUBLIC 2,FE,118
REPUBLIC 1,FE,136
LAMBERT,FE,50
HALL CREEK,FE,65
CURLEW,FE,19
STORM KING,FE,125
TORODA,FE,52
BOYDS,FE,88
MALO,FE,110
SOUTH LAKE,FE,90
KETTLE RIVER,FE,125
KEWA,FE,78
BELCHER,FE,56
KELLER,FE,87
TROUT CREEK,FE,170
Total,FE,1779
ORIENT,FE,77
SAN POIL,FE,138
INCHELIUM,FE,60
