Row Label,County,Proposition 1A,Proposition 1B,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted
SEA 37-1629,KI,71,122,527,28,221,0
SEA 46-2344,KI,123,167,760,36,329,3
SEA 46-2311,KI,61,157,451,37,256,1
SEA 34-3648,KI,68,144,470,28,240,0
SEA 46-1968,KI,36,119,297,22,177,0
SEA 36-1391,KI,69,143,439,48,262,2
SEA 36-1390,KI,40,111,290,36,191,4
SEA 36-1393,KI,46,130,297,32,209,1
SEA 36-1392,KI,65,150,411,39,255,1
SEA 36-1395,KI,76,174,444,26,276,0
SEA 36-1394,KI,91,212,559,31,336,2
SEA 36-1397,KI,55,147,357,29,233,2
SEA 36-1396,KI,44,107,282,14,166,1
SEA 36-1399,KI,58,120,296,26,205,1
SEA 36-1816,KI,37,100,303,33,172,2
SEA 46-3687,KI,34,77,220,31,143,1
SEA 43-2017,KI,38,204,430,25,267,0
SEA 37-3416,KI,54,68,502,12,134,0
SEA 36-1403,KI,64,137,497,33,234,0
SEA 36-1402,KI,58,116,381,29,206,3
SEA 43-2013,KI,45,146,310,23,216,2
SEA 43-2011,KI,33,128,278,25,189,3
SEA 46-2353,KI,77,103,488,18,199,1
SEA 46-2096,KI,29,108,230,23,162,2
SEA 43-2018,KI,71,253,559,35,363,4
SEA 34-3637,KI,122,138,567,48,309,1
SEA 46-2097,KI,55,172,400,29,257,1
SEA 34-3632,KI,47,44,271,7,99,1
SEA 46-2276,KI,68,142,382,37,250,3
SEA 43-1351,KI,65,208,561,40,315,2
SEA 37-1936,KI,37,150,296,34,222,1
SEA 43-1353,KI,58,178,449,24,260,0
SEA 43-1352,KI,73,215,608,31,322,3
SEA 43-1355,KI,49,157,401,37,244,1
SEA 43-1354,KI,51,164,435,23,240,2
SEA 43-1357,KI,59,109,355,23,192,1
SEA 43-2049,KI,48,137,453,21,208,2
SEA 43-1359,KI,72,188,518,29,291,2
SEA 43-1358,KI,47,153,418,23,224,1
SEA 37-1934,KI,137,266,784,69,472,0
SEA 37-1935,KI,60,121,291,22,204,1
SEA 37-3647,KI,66,65,447,14,146,1
SEA 43-2059,KI,53,172,424,26,252,1
SEA 37-3159,KI,155,168,845,60,383,0
SEA 46-2271,KI,80,201,476,37,319,1
SEA 46-2347,KI,78,151,519,48,281,4
SEA 46-1952,KI,36,111,281,31,179,1
SEA 46-1953,KI,39,104,236,31,175,1
SEA 46-1954,KI,41,130,282,32,203,0
SEA 37-1638,KI,80,56,505,26,162,0
SEA 36-1308,KI,43,122,298,28,193,0
SEA 36-1309,KI,92,192,556,42,328,2
SEA 36-1306,KI,62,146,381,31,240,1
SEA 36-1307,KI,37,110,276,26,174,1
SEA 36-1304,KI,60,149,333,23,234,2
SEA 36-1305,KI,52,132,301,22,206,0
SEA 37-1631,KI,44,92,301,51,187,0
SEA 36-1303,KI,60,172,411,36,269,1
SEA 36-1300,KI,68,113,383,31,214,2
SEA 36-1301,KI,60,118,319,35,218,5
SEA 36-1715,KI,37,116,355,19,172,0
SEA 36-1714,KI,78,198,526,44,321,1
SEA 36-1717,KI,39,70,251,24,134,1
SEA 36-1716,KI,46,113,357,18,177,0
SEA 36-1711,KI,88,244,760,47,379,0
SEA 36-1710,KI,38,98,351,20,157,1
SEA 36-1713,KI,57,99,362,19,176,1
SEA 36-1712,KI,58,177,463,33,269,1
SEA 36-2147,KI,82,208,489,47,338,1
SEA 36-1719,KI,65,178,510,56,299,0
SEA 36-1718,KI,24,103,318,28,155,0
SEA 37-1834,KI,53,109,386,24,188,2
SEA 46-1404,KI,51,142,441,24,217,0
SEA 46-2371,KI,122,179,656,69,371,1
SEA 34-3263,KI,70,88,415,35,194,1
SEA 34-3265,KI,65,81,353,22,168,0
SEA 34-3264,KI,67,77,340,36,180,0
SEA 34-3266,KI,47,57,311,13,117,0
SEA 46-2285,KI,46,138,286,27,211,0
SEA 11-1928,KI,32,89,298,23,145,1
SEA 43-2850,KI,42,121,359,19,182,0
SEA 37-1938,KI,67,157,394,22,247,1
SEA 46-2283,KI,63,121,348,30,214,0
SEA 36-1398,KI,65,168,503,32,265,0
SEA 46-2326,KI,83,134,574,53,271,1
SEA 46-2327,KI,63,94,381,32,190,1
SEA 46-2324,KI,78,119,432,40,237,0
SEA 43-2047,KI,89,258,662,55,403,1
SEA 46-2289,KI,54,118,338,30,203,1
SEA 46-2323,KI,105,155,554,50,310,0
SEA 46-2320,KI,67,99,350,56,222,0
SEA 46-2321,KI,77,130,333,18,225,0
SEA 37-3694,KI,10,29,92,5,44,0
SEA 43-1368,KI,45,116,292,22,184,1
SEA 34-1461,KI,71,138,399,57,268,2
SEA 36-1273,KI,57,108,279,36,201,0
SEA 34-1508,KI,55,86,295,41,182,0
SEA 34-1509,KI,56,94,281,27,177,0
SEA 34-1465,KI,70,132,372,46,251,3
SEA 34-1464,KI,65,127,359,53,245,0
SEA 34-1467,KI,88,190,551,57,339,4
SEA 34-1466,KI,50,101,303,28,179,0
SEA 34-1502,KI,41,131,342,48,223,3
SEA 34-1468,KI,63,143,448,50,256,0
SEA 34-1500,KI,78,192,584,57,328,1
SEA 34-1501,KI,62,142,369,44,248,0
SEA 34-1506,KI,38,110,299,33,183,2
SEA 34-1507,KI,56,126,357,44,230,4
SEA 34-1504,KI,64,160,418,41,267,2
SEA 46-2291,KI,55,124,387,24,204,1
SEA 43-1821,KI,16,109,233,19,144,0
SEA 43-1869,KI,60,180,465,28,270,2
SEA 46-2296,KI,65,132,391,40,237,0
SEA 46-2277,KI,82,233,568,51,368,2
SEA 43-1369,KI,27,111,285,27,165,0
SEA 43-2015,KI,37,118,333,40,195,0
SEA 37-1950,KI,27,34,187,6,67,0
SEA 34-1489,KI,107,172,744,54,338,5
SEA 34-1488,KI,96,153,692,34,284,1
SEA 34-1482,KI,49,102,321,29,180,0
SEA 34-1481,KI,82,119,479,25,227,1
SEA 34-1480,KI,76,197,594,62,339,4
SEA 34-1487,KI,69,101,335,35,205,0
SEA 34-1486,KI,69,104,364,27,201,1
SEA 34-1485,KI,117,147,708,40,307,3
SEA 34-1484,KI,69,74,345,36,180,1
SEA 36-3153,KI,56,107,390,24,187,0
SEA 46-2358,KI,126,287,846,77,494,4
SEA 37-1918,KI,49,130,347,30,212,3
SEA 37-1919,KI,39,133,378,35,207,0
SEA 37-2686,KI,99,133,604,57,291,2
SEA 36-3252,KI,73,104,477,34,211,0
SEA 37-1915,KI,41,180,384,39,260,0
SEA 37-1916,KI,49,174,357,33,261,5
SEA 37-1917,KI,66,200,454,42,311,3
SEA 37-1910,KI,91,199,513,36,329,3
SEA 37-1911,KI,38,123,284,30,191,0
SEA 46-2355,KI,56,115,354,53,224,0
SEA 37-1913,KI,41,172,338,26,239,0
SEA 37-1854,KI,75,88,386,26,190,1
SEA 43-1330,KI,63,148,404,25,238,2
SEA 43-1849,KI,31,118,323,12,161,0
SEA 37-1850,KI,110,201,650,34,346,1
SEA 37-1853,KI,38,67,281,12,120,3
SEA 43-1845,KI,68,184,575,25,277,0
SEA 43-1847,KI,41,161,484,25,227,0
SEA 43-1846,KI,34,111,345,12,158,1
SEA 43-1843,KI,52,162,551,37,251,0
SEA 43-1842,KI,63,165,521,52,282,2
SEA 43-2104,KI,51,167,379,36,260,6
SEA 43-2029,KI,80,349,706,56,488,3
SEA 46-2309,KI,55,95,300,32,184,2
SEA 46-2142,KI,96,203,674,56,357,2
SEA 43-1262,KI,55,214,468,35,308,4
SEA 36-2795,KI,60,127,479,22,209,0
SEA 43-1265,KI,39,87,256,21,148,1
SEA 37-1637,KI,127,138,760,29,295,1
SEA 43-1264,KI,55,164,361,28,248,1
SEA 37-1651,KI,91,123,736,40,256,2
SEA 43-2025,KI,87,237,556,34,360,2
SEA 37-1930,KI,103,247,738,41,391,0
SEA 43-1266,KI,46,128,351,37,213,2
SEA 46-2145,KI,94,165,497,35,297,3
SEA 36-1751,KI,47,133,368,30,212,2
SEA 36-1750,KI,81,165,493,48,296,2
SEA 36-1752,KI,59,151,437,34,244,0
SEA 36-1755,KI,32,90,272,35,158,1
SEA 36-1754,KI,45,160,387,46,252,1
SEA 36-1757,KI,24,108,262,34,166,0
SEA 36-1756,KI,101,239,682,52,393,1
SEA 36-1759,KI,35,102,274,30,169,2
SEA 36-1758,KI,42,169,351,34,246,1
SEA 43-2043,KI,39,137,292,15,193,2
SEA 43-2044,KI,43,118,350,25,186,0
SEA 43-2045,KI,39,117,315,30,189,3
SEA 11-1256,KI,100,110,627,31,242,1
SEA 34-1533,KI,42,80,229,36,159,1
SEA 34-1532,KI,32,81,237,24,138,1
SEA 43-1263,KI,55,142,350,32,230,1
SEA 34-1530,KI,95,214,619,56,367,2
SEA 34-1537,KI,53,74,289,29,156,0
SEA 34-1536,KI,46,108,304,35,191,2
SEA 34-1535,KI,46,77,239,23,146,0
SEA 34-1534,KI,61,125,362,51,238,1
SEA 43-1269,KI,45,155,357,32,234,2
SEA 43-1268,KI,60,173,352,21,254,0
SEA 34-1539,KI,54,107,356,37,198,0
SEA 34-1538,KI,55,103,378,44,202,0
SEA 43-2048,KI,42,128,376,44,214,0
SEA 46-2343,KI,57,104,341,33,194,0
SEA 46-2298,KI,50,121,321,33,205,1
SEA 36-2505,KI,58,129,324,41,228,0
SEA 36-2504,KI,51,136,303,26,213,0
SEA 36-2507,KI,53,96,283,31,180,0
SEA 36-2506,KI,51,118,311,29,202,4
SEA 36-2503,KI,55,114,305,26,196,1
SEA 36-2502,KI,50,192,378,42,284,0
SEA 36-2134,KI,88,142,490,34,266,2
SEA 46-3677,KI,44,102,320,34,181,1
SEA 36-2130,KI,66,140,388,34,243,3
SEA 36-2131,KI,141,234,851,74,453,4
SEA 36-2133,KI,119,173,698,55,348,1
SEA 34-1546,KI,70,132,385,54,257,1
SEA 43-1787,KI,54,182,564,34,277,7
SEA 11-1602,KI,84,164,598,38,288,2
SEA 34-1545,KI,68,112,422,43,224,1
SEA 34-1543,KI,58,106,327,54,218,0
SEA 34-1540,KI,44,103,333,28,176,1
SEA 34-1541,KI,70,108,380,57,235,0
SEA 46-1312,KI,43,113,326,23,181,2
SEA 46-1313,KI,38,110,280,20,168,0
SEA 46-1310,KI,69,127,397,33,229,0
SEA 46-1311,KI,51,126,427,21,198,0
SEA 43-1788,KI,111,393,807,73,580,3
SEA 37-3666,KI,68,46,422,12,128,2
SEA 36-1808,KI,44,101,275,10,156,1
SEA 36-1805,KI,60,151,473,28,239,0
SEA 36-1806,KI,68,167,598,45,281,1
SEA 36-1801,KI,91,253,896,45,391,2
SEA 36-1803,KI,30,115,298,33,178,0
SEA 36-3586,KI,103,254,801,49,407,1
SEA 36-3587,KI,63,177,590,32,273,1
SEA 37-1563,KI,50,46,323,14,111,1
SEA 37-1565,KI,45,93,331,29,172,5
SEA 37-1564,KI,77,121,396,28,227,1
SEA 36-3669,KI,39,98,349,20,157,0
SEA 37-1566,KI,58,79,327,39,176,0
SEA 37-1568,KI,65,91,434,23,179,0
SEA 43-2083,KI,54,131,422,30,215,0
SEA 46-2252,KI,50,90,261,31,172,1
SEA 46-2253,KI,87,183,521,50,322,2
SEA 46-2251,KI,85,218,555,48,352,1
SEA 32-2206,KI,83,135,412,44,266,4
SEA 46-2316,KI,67,133,411,39,239,0
SEA 32-2204,KI,84,108,339,37,230,1
SEA 46-2314,KI,66,119,337,31,217,1
SEA 32-2202,KI,77,123,436,49,250,1
SEA 32-2203,KI,128,221,758,71,422,2
SEA 32-2200,KI,57,142,385,62,263,2
SEA 32-2201,KI,89,169,463,54,315,3
SEA 46-2619,KI,85,153,539,41,279,0
SEA 43-2545,KI,89,244,699,40,375,2
SEA 32-2208,KI,69,115,350,40,224,0
SEA 32-2209,KI,91,212,599,99,402,0
SEA 36-2592,KI,48,127,352,27,205,3
SEA 36-2593,KI,41,98,289,35,174,0
SEA 34-1438,KI,44,115,328,49,209,1
SEA 34-1439,KI,55,113,369,51,220,1
SEA 34-1432,KI,54,114,331,48,218,2
SEA 34-1433,KI,54,121,319,32,208,1
SEA 34-1430,KI,50,100,322,40,190,0
SEA 34-1431,KI,65,102,308,36,203,0
SEA 34-1436,KI,40,78,362,36,156,2
SEA 34-1437,KI,86,131,498,37,254,0
SEA 34-1434,KI,58,79,271,46,183,0
SEA 34-1435,KI,48,91,299,39,178,0
SEA 36-2509,KI,70,148,403,42,260,0
SEA 36-2508,KI,76,146,427,66,293,5
SEA 46-2352,KI,59,92,338,29,181,1
SEA 46-1955,KI,79,171,558,37,289,2
SEA 11-1600,KI,85,140,550,30,257,2
SEA 46-2228,KI,81,122,486,30,234,1
SEA 46-2221,KI,104,136,513,58,298,0
SEA 43-1280,KI,73,222,669,41,337,1
SEA 43-1784,KI,63,206,500,37,308,2
SEA 36-3267,KI,68,131,548,20,219,0
SEA 37-1886,KI,73,200,523,16,293,4
SEA 37-1884,KI,108,239,643,36,385,2
SEA 37-1885,KI,70,136,398,17,223,0
SEA 37-1882,KI,53,126,395,12,193,2
SEA 37-1883,KI,60,121,423,20,204,3
SEA 37-1880,KI,81,180,514,13,276,2
SEA 37-1881,KI,62,109,396,15,188,2
SEA 43-1780,KI,44,128,350,35,208,1
SEA 43-1781,KI,60,92,326,10,164,2
SEA 46-2292,KI,64,183,505,38,288,3
SEA 36-1386,KI,56,124,315,33,213,0
SEA 36-1387,KI,65,166,462,57,289,1
SEA 36-1384,KI,45,146,309,37,228,0
SEA 36-1385,KI,52,95,243,27,175,1
SEA 36-1382,KI,64,127,374,42,233,0
SEA 36-1388,KI,62,126,337,31,220,1
SEA 36-1389,KI,39,106,259,18,163,0
SEA 43-1274,KI,41,132,302,40,216,3
