Row Label,County,Mary Yu
COLUMBUS,KT,29
N DALLES,KT,257
ROOSEVELT,KT,48
GLENWOOD,KT,182
HGH PRAIRIE,KT,38
LYLE,KT,280
F VALLEY,KT,268
BINGEN,KT,93
WISHRAM,KT,66
WHITE SALMON,KT,282
ALDER CREEK,KT,105
ALDERDALE,KT,31
N WHITE SALMON,KT,171
PINE FOREST,KT,489
GOLDENDALE 3,KT,210
ORCHARD HTS,KT,146
GOLDENDALE 1,KT,290
N F VALLEY,KT,279
E LYLE,KT,94
E KLICKITAT,KT,74
W KLICKITAT,KT,57
HUSUM,KT,219
TROUT LAKE,KT,202
RIVER,KT,18
CENTERVILLE,KT,188
WOODLAND,KT,516
GOLDENDALE 2,KT,277
MT BROOK,KT,195
Total,KT,5168
APPLETON,KT,64
