Row Label,County,Derek Kilmer,Marty McClendon
LEMOLO 435,KP,252,179
ANNAPOLIS 212,KP,413,257
MEADOWDALE 150,KP,209,169
BELLA VISTA 413,KP,259,170
LIGHTHOUSE POINT 292,KP,324,221
CLEAR CREEK 120,KP,259,197
AUGUSTA 461,KP,228,71
HEINS CREEK 297,KP,0,0
HANSVILLE 415,KP,185,168
TORVANGER 345,KP,538,130
BREMERTON 012,KP,76,29
BREMERTON 013,KP,256,123
BREMERTON 015,KP,315,144
BREMERTON 016,KP,81,26
WINSLOW 304,KP,725,141
HIGHLAND 423,KP,182,130
LAKE HELENA 214,KP,216,231
DICKENSON 282,KP,261,233
UNIVERSITY POINT 142,KP,215,128
SANDY HOOK 464,KP,262,107
BARKER CREEK 147,KP,329,241
BAYVIEW 087,KP,85,48
POWERLINE 086(*),KP,0,0
ISLAND CENTER 320,KP,386,99
EVERGREEN RIDGE 426,KP,117,83
REGAL 131,KP,78,51
COUNTRY CLUB 113,KP,157,127
POULSBO 405,KP,364,168
POULSBO 404,KP,364,208
POULSBO 407,KP,283,152
POULSBO 406,KP,405,245
SEDGWICK 272,KP,327,229
BERRY LAKE 279,KP,186,146
POULSBO 403,KP,290,171
EBBERT 247,KP,314,232
ILLAHEE 065,KP,333,222
COTTONWOOD 125,KP,258,166
MARION 090,KP,59,25
OLYMPIC 099,KP,39,21
GILBERTON 140,KP,270,153
STRIEBEL 453,KP,329,213
AZALEA 302,KP,533,95
YUKON 241,KP,255,150
FOREST RIDGE 126,KP,170,122
FAIRVIEW 135,KP,150,152
ANDERSON CREEK 163,KP,236,196
PORT GAMBLE 450,KP,311,197
RAINIER 067,KP,326,211
BRASCH 213,KP,280,240
GAMBLEWOOD 454,KP,208,143
CENTRAL VALLEY 128,KP,301,230
HOLLY 158,KP,78,62
BURLEY 218,KP,304,263
LUOTO 122,KP,123,157
POINT JEFFERSON 419,KP,274,152
BREMERTON 296,KP,0,0
MORKEN 161,KP,338,328
INDIANOLA 420,KP,524,140
TWIN LAKES 285,KP,78,70
BELFAIR VALLEY 280,KP,85,86
KARIOTIS 143,KP,293,200
TRACYTON 170,KP,221,138
ROCKY POINT 083,KP,383,237
HERITAGE PARK 112,KP,186,180
BREMERTON 294,KP,0,0
ORCA 421,KP,251,122
MINTERBROOK 216,KP,120,120
ALASKA 221,KP,409,225
GLENWOOD 232,KP,342,312
MEADOWMEER 321,KP,194,47
APEX 162,KP,293,299
OLALLA 265,KP,232,176
WINSTON 129,KP,124,93
RIDGETOP 149,KP,191,171
EAGLE CREST 164,KP,360,235
LOCKER 246,KP,370,301
BROWNSVILLE 105,KP,376,290
KINGSTON 430,KP,458,285
VENA 173,KP,271,155
CEDAR 211,KP,275,180
BREMERTON 041,KP,260,105
BREMERTON 040,KP,305,116
POULSBO 401,KP,394,254
BREMERTON 046,KP,299,139
CAMBRIDGE 144,KP,158,160
BREMERTON 056,KP,244,140
TWIN SPITS 417,KP,398,206
BIG VALLEY 441,KP,213,177
CHARLAND 110,KP,203,169
SKIFF POINT 328,KP,374,79
LOST HIGHWAY 157,KP,266,259
TRIDENT 101,KP,37,69
WILSON CREEK 242,KP,267,191
SYLVAN 066,KP,325,144
PORT ORCHARD 201,KP,276,155
EVERGREEN 257,KP,419,275
FERNWOOD 230,KP,313,293
MANCHESTER 255,KP,265,155
SUNNYSLOPE 281,KP,218,194
LOFALL 442,KP,427,291
BLAKELY 310,KP,386,87
PORT ORCHARD 207,KP,254,185
WOODMERE 127,KP,319,248
BREMERTON 058,KP,313,145
UELAND 082,KP,0,0
WATERMAN 295,KP,207,134
BREMERTON 054,KP,162,91
PIONEER 152,KP,352,279
SILVERDALE 160,KP,296,215
BREMERTON 051,KP,28,18
BREMERTON 052,KP,195,105
BREMERTON 053,KP,373,194
SEABECK 155,KP,320,392
PARKWOOD 270,KP,353,200
ISLAND LAKE 427,KP,240,223
BREMERTON 109,KP,23,16
BREIDABLIK 410,KP,300,208
BREMERTON 107,KP,0,0
WHISPERING PINES 227,KP,267,260
FRAGARIA 259,KP,286,200
LOVGREN 332,KP,238,79
BANDIX 263,KP,304,288
FORT WARD 318,KP,460,107
FUSON 175,KP,245,202
HARPER 240,KP,336,140
WILLOCK 258,KP,238,211
LIBERTY 325,KP,367,102
PORT ORCHARD 203,KP,144,105
SPRING CREEK 217,KP,220,161
MULLENIX 260,KP,339,244
LARSON 153,KP,336,269
FINCH 314,KP,311,88
ROLLING BAY 330,KP,438,106
BREMERTON 029,KP,272,118
TOTTEN 463,KP,298,117
WOODRIDGE 222,KP,155,140
MANZANITA 336,KP,313,68
OLD FRONTIER 106,KP,304,281
BREMERTON 022,KP,214,113
NEBRASKA 223,KP,262,188
EAGLE HARBOR 317,KP,334,58
NEW BROOKLYN 322,KP,279,62
TOLO 333,KP,371,110
FERNCLIFF 315,KP,594,128
KITSAP LAKE 085,KP,23,11
PORT ORCHARD 202,KP,323,214
NAVY YARD CITY 095,KP,284,161
PORT ORCHARD 200,KP,148,87
SANTA FE 148,KP,230,179
PORT ORCHARD 206,KP,0,0
FIRGLADE 137,KP,171,146
PORT ORCHARD 204,KP,267,155
PORT ORCHARD 205,KP,551,459
HUNTER 219,KP,209,219
CONIFER 271,KP,157,108
PORT ORCHARD 208,KP,0,0
PORT ORCHARD 209,KP,0,0
KEYPORT 425,KP,325,282
SCANDIA 455,KP,272,254
BREMERTON 293(*),KP,0,0
PORT MADISON 340,KP,317,94
ALPINE 111,KP,232,174
LUNDBERG 250,KP,319,183
POINT NO POINT 416,KP,493,289
VINLAND 412,KP,350,257
LINCOLN 440,KP,245,207
BREMERTON 032,KP,47,15
OVERLOOK 267,KP,293,111
BREMERTON 030,KP,255,141
BREMERTON 031,KP,148,77
BREMERTON 037,KP,343,242
APPLE TREE 422,KP,371,194
ERLANDS POINT 130,KP,219,139
RIDGEPOINT 141,KP,189,180
PERRY 073,KP,198,90
CRYSTAL SPRINGS 312,KP,597,128
CRESCENT VALLEY 266,KP,310,229
SHERMAN HEIGHTS 278,KP,11,7
SPINNAKER 146,KP,208,121
SINCLAIR 275,KP,147,105
PORT ORCHARD 215,KP,0,0
BLUE HERON 301,KP,665,92
SYMINGTON 151,KP,158,123
PORT ORCHARD 210,KP,168,150
FRONTIER 102,KP,291,283
S&#39;KLALLAM 418(*),KP,0,0
RIDGEWAY 084,KP,62,72
WING POINT 305,KP,330,115
PEARSON 445,KP,381,308
BREMERTON 114,KP,0,0
SEABOLD 335,KP,494,126
TIBARDIS 139,KP,129,95
BREMERTON 007,KP,5,5
BREMERTON 006,KP,212,65
BREMERTON 005,KP,218,71
SUQUAMISH 460,KP,300,85
BREMERTON 003,KP,284,121
BREMERTON 002,KP,136,64
BREMERTON 001,KP,191,59
BUCKLIN 121,KP,308,229
MADRONA 269,KP,218,136
DRIVE-IN 283,KP,6,6
MILLER BAY 458,KP,376,256
CONVERSE 252,KP,251,180
LONG LAKE 245,KP,204,155
BREMERTON 088,KP,45,30
BREMERTON 159,KP,163,107
SUTTON 165,KP,179,138
OLYMPIC VIEW 103,KP,231,165
Total,KP,52160,31367
