Row Label,County,Darla McKay
CLARKSTON #2,AS,194
SWALLOWS NEST,AS,356
WEST CLARKSTON #1,AS,237
WEST CLARKSTON #2,AS,227
WEST CLARKSTON #3,AS,270
ASOTIN #1,AS,183
ASOTIN #2,AS,190
SOUTH CLARKSTON #1,AS,213
SOUTH CLARKSTON #2,AS,283
W ASOTIN,AS,149
CLARKSTON #6,AS,212
CLARKSTON #7,AS,128
RURAL ASOTIN,AS,136
CLARKSTON #4,AS,202
Total,AS,5974
ANATONE,AS,115
CLARKSTON #3,AS,176
CLARKSTON HTS #4,AS,256
CLARKSTON #8,AS,181
CLARKSTON HTS #3,AS,102
CLARKSTON HTS #2,AS,450
CLARKSTON HTS #1,AS,277
CLARKSTON #5,AS,123
CLARKSTON HTS #7,AS,313
CLARKSTON HTS #6,AS,402
CLARKSTON HTS #5,AS,448
CLARKSTON #1,AS,151
