Row Label,County,Richard DeBolt,Michael Savoca
Plumb,TH,223,138
Clear Lake,TH,251,236
Spurgeon Creek,TH,98,54
Bucoda,TH,80,60
Rich,TH,189,72
Rocky Prairie,TH,141,91
Gibson Valley,TH,48,15
Scatter Creek,TH,158,87
Mcintosh,TH,315,285
Lawrence Lake,TH,228,183
Michigan Hill,TH,134,68
Rochester 5,TH,226,117
Rochester 2,TH,195,107
Rochester 3,TH,201,118
Rochester 1,TH,271,121
James,TH,201,95
Grand Mound,TH,96,61
Tenino 01,TH,113,74
Tenino 02,TH,130,92
Military,TH,74,85
Bald Hills,TH,41,61
Skookumchuck,TH,230,118
Vail,TH,172,216
Stedman,TH,144,93
Zenkner Valley,TH,58,26
Total,TH,4192,2768
Rochester 4,TH,175,95
