Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
MUKILTEO  9,SN,194,60
MUKILTEO  8,SN,157,44
COVE,SN,173,48
SILVER LAKE,SN,162,69
JORDAN TRAILS,SN,111,32
SOUTH LAKE STEVENS,SN,204,70
WINTER LAKE,SN,113,42
SUNDAY LAKE,SN,259,83
HAPPY VALLEY,SN,131,41
TUALCO,SN,133,60
RIDGEVIEW,SN,94,30
WINDSONG,SN,168,51
LAKE STEVENS 17,SN,183,69
MISTY,SN,213,56
LAKE STEVENS 15,SN,242,66
REES,SN,70,29
LAKE STEVENS 13,SN,179,52
LAKE STEVENS 12,SN,147,49
LAKE STEVENS 11,SN,126,45
LAKE STEVENS 10,SN,181,66
ROYAL,SN,253,92
LAKE STEVENS 19,SN,219,62
LAKE STEVENS 18,SN,168,58
MANORDALE,SN,175,49
POPPY,SN,141,19
CLEARVIEW,SN,253,50
LIND,SN,196,59
HAMPTON,SN,206,60
PARKSHORE,SN,157,44
MILL CREEK 10,SN,162,34
DUBUQUE,SN,168,71
IVERSON,SN,125,37
KEELER,SN,154,40
MILL CREEK 13,SN,185,47
MARTHA LAKE,SN,210,51
PARK PLACE,SN,61,33
BLUFF,SN,199,67
SISCO,SN,225,68
THOMAS CREEK,SN,165,56
TULALIP 3,SN,183,66
OLNEY,SN,194,81
TULALIP 1,SN,218,49
TULALIP 6,SN,96,32
TULALIP 4,SN,192,76
TULALIP 5,SN,125,44
EVERETT  60,SN,160,69
EVERETT  61,SN,34,13
EVERETT  62,SN,127,47
EVERETT  63,SN,148,34
SHOECRAFT,SN,215,73
EVERETT  65,SN,172,49
EVERETT  66,SN,204,44
EVERETT  67,SN,170,49
EVERETT  68,SN,246,64
ROSE,SN,165,30
LAKE,SN,233,84
HIPOINT,SN,129,32
MILL CREEK  3,SN,147,20
MILL CREEK  2,SN,197,30
MILL CREEK  1,SN,279,41
MILL CREEK  6,SN,294,47
MILL CREEK  5,SN,285,58
MILL CREEK  4,SN,175,35
HEARTHSTONE,SN,152,38
MILL CREEK  9,SN,212,45
MILL CREEK  8,SN,284,51
CLIFF,SN,149,39
MARYSVILLE 54,SN,222,65
MARYSVILLE 55,SN,132,41
HEMLOCK,SN,253,82
MARYSVILLE 53,SN,119,56
BROCKLIN,SN,188,75
MARYSVILLE 51,SN,78,31
COUNTRY,SN,151,25
WITHERS,SN,253,55
PIONEER,SN,195,44
ELWOOD,SN,193,55
PEAK,SN,11,2
HOLLY,SN,226,47
CHAIN LAKE,SN,248,79
BRYANT,SN,69,32
WOODWAY 1,SN,217,42
WOODWAY 2,SN,142,21
MUKILTEO  2,SN,314,70
KENSINGTON,SN,112,26
FALLS,SN,24,10
HILL,SN,164,46
VILLAGE,SN,265,100
MARYSVILLE 36,SN,140,46
SHELTON,SN,240,94
PACKWOOD,SN,110,29
POST,SN,195,50
BOULDER,SN,255,92
HUNT(*),SN,0,0
FIRGROVE,SN,142,44
RICHLAND,SN,73,22
FLORENCE,SN,82,32
MC DONALD,SN,140,51
NORTH CREEK,SN,179,39
EVERETT  70(*),SN,0,0
GREENWOOD,SN,212,71
CRAWFORD,SN,60,12
HAVEN,SN,227,57
LYNNWOOD 30,SN,208,66
LYNNWOOD 31,SN,122,21
LYNNWOOD 33,SN,185,80
LYNNWOOD 34,SN,109,20
MALTBY,SN,195,72
STONE GATE,SN,160,40
MARYSVILLE 45,SN,220,89
BOSTIAN,SN,146,43
SILER,SN,126,33
MAPLEWOOD,SN,190,43
MOUNTLAKE TERRACE 19,SN,195,66
MOUNTLAKE TERRACE 18,SN,181,57
MOUNTLAKE TERRACE 17,SN,254,68
MOUNTLAKE TERRACE 16,SN,135,41
MOUNTLAKE TERRACE 15,SN,167,37
MOUNTLAKE TERRACE 14,SN,215,46
MOUNTLAKE TERRACE 13,SN,206,61
MOUNTLAKE TERRACE 12,SN,174,52
MOUNTLAKE TERRACE 11,SN,157,64
MOUNTLAKE TERRACE 10,SN,281,57
ARLINGTON  8,SN,198,54
ARLINGTON  9,SN,200,73
ARLINGTON  4,SN,300,83
EVERETT   1,SN,233,41
ARLINGTON  6,SN,198,73
ASH,SN,244,85
EDMONDS 43,SN,244,61
