Row Label,County,Mark C. Howie ,Mike Balch
02 - GRAYS RIVER,WK,94,20
07 - COLUMBIA,WK,151,79
10 - SOUTH CATHLAMET,WK,95,45
03 - ROSBURG / ALTOONA,WK,99,43
11 - NORTH CATHLAMET,WK,37,24
05 - ELOCHOMAN,WK,171,80
04 - SKAMOKAWA,WK,86,73
09 - WEST PUGET ISLAND,WK,185,83
08 - EAST PUGET ISLAND,WK,97,59
06 - ROSEDALE,WK,88,59
Total,WK,1182,591
01 - DEEP RIVER,WK,79,26
