Row Label,County,Irene Bowling,Tim Sheldon
CHARLAND 110,KP,120,232
PORT ORCHARD 206,KP,0,0
HUNTER 219,KP,114,269
PORT ORCHARD 208,KP,0,0
PORT ORCHARD 209,KP,0,0
LOST HIGHWAY 157,KP,169,318
BREMERTON 293(*),KP,0,0
ANDERSON CREEK 163,KP,146,242
FERNWOOD 230,KP,185,367
ALPINE 111,KP,153,218
BELFAIR VALLEY 280,KP,58,106
SUNNYSLOPE 281,KP,104,282
POWERLINE 086(*),KP,0,0
HEINS CREEK 297,KP,0,0
BREMERTON 012,KP,59,40
BREMERTON 013,KP,190,170
UELAND 082,KP,0,0
HOLLY 158,KP,59,74
BREMERTON 032,KP,24,35
PIONEER 152,KP,215,362
BREMERTON 030,KP,179,196
BREMERTON 031,KP,108,104
BREMERTON 037,KP,258,299
LAKE HELENA 214,KP,120,286
DICKENSON 282,KP,135,305
SEABECK 155,KP,232,408
ERLANDS POINT 130,KP,135,202
BREMERTON 109,KP,13,22
BREMERTON 107,KP,0,0
BAYVIEW 087,KP,54,75
SINCLAIR 275,KP,77,161
PORT ORCHARD 215,KP,0,0
BREMERTON 029,KP,186,190
SYMINGTON 151,KP,113,142
ROCKY POINT 083,KP,246,338
HERITAGE PARK 112,KP,122,224
BREMERTON 294,KP,0,0
DRIVE-IN 283(*),KP,0,0
RIDGEWAY 084,KP,44,74
MINTERBROOK 216,KP,73,147
COUNTRY CLUB 113,KP,114,152
APEX 162,KP,174,384
EAGLE CREST 164,KP,241,311
BREMERTON 007,KP,4,4
LARSON 153,KP,222,344
TWIN LAKES 285,KP,44,97
BREMERTON 088,KP,28,40
BREMERTON 114,KP,0,0
Total,KP,4533,7258
KITSAP LAKE 085,KP,13,23
