Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Willie Gregory,Write-in
SEA 43-1291,KI,684,206,487,0,281,0
SEA 46-2234,KI,274,101,182,0,79,2
SEA 46-2236,KI,350,111,218,0,107,0
SEA 46-2796,KI,456,114,229,0,113,2
SEA 37-1872,KI,581,182,359,0,171,6
SEA 37-1871,KI,629,202,389,0,184,3
SEA 43-1868,KI,353,119,233,0,114,0
SEA 37-1876,KI,766,251,444,0,192,1
SEA 37-1875,KI,525,117,288,0,168,3
SEA 43-1863,KI,475,136,255,0,118,1
SEA 43-1862,KI,476,108,234,0,124,2
SEA 37-1879,KI,839,202,424,0,220,2
SEA 43-1860,KI,745,193,368,0,174,1
SEA 43-1867,KI,546,155,299,0,142,2
SEA 43-3262,KI,306,96,177,0,81,0
SEA 37-1840,KI,616,123,281,0,157,1
SEA 43-1994,KI,295,80,197,0,117,0
SEA 43-2039,KI,328,116,199,0,83,0
SEA 43-2038,KI,560,187,355,0,168,0
SEA 37-1640,KI,738,126,293,0,167,0
SEA 43-2033,KI,438,148,276,0,128,0
SEA 43-2035,KI,668,152,301,0,147,2
SEA 43-2034,KI,424,130,253,0,121,2
SEA 43-2037,KI,551,150,274,0,122,2
SEA 36-1325,KI,465,125,246,0,119,2
SEA 46-2153,KI,492,116,231,0,109,6
SEA 46-2152,KI,378,112,192,0,77,3
SEA 46-2379,KI,542,197,332,0,133,2
SEA 43-2549,KI,718,151,339,0,184,4
SEA 37-1590,KI,294,103,228,0,125,0
SEA 37-1591,KI,360,130,249,0,118,1
SEA 37-1592,KI,634,177,361,0,180,4
SEA 37-1593,KI,470,116,254,0,138,0
SEA 37-1594,KI,761,191,343,0,148,4
SEA 37-1596,KI,497,137,260,0,123,0
SEA 43-2542,KI,275,66,146,0,80,0
SEA 36-2116,KI,299,97,202,0,105,0
SEA 43-1406,KI,398,133,264,0,130,1
SEA 36-2117,KI,336,106,223,0,116,1
SEA 46-2270,KI,290,101,202,0,100,1
SEA 46-1978,KI,501,170,328,0,158,0
SEA 36-1288,KI,391,127,265,0,138,0
SEA 36-1287,KI,733,240,481,0,239,2
SEA 36-1286,KI,439,131,254,0,121,2
SEA 46-1970,KI,250,86,161,0,75,0
SEA 46-1971,KI,325,102,200,0,98,0
SEA 46-1977,KI,321,105,217,0,112,0
SEA 46-1974,KI,415,142,269,0,127,0
SEA 36-1676,KI,261,96,167,0,71,0
SEA 36-1677,KI,336,108,219,0,110,1
SEA 36-1675,KI,309,114,209,0,95,0
SEA 34-1245,KI,466,109,244,0,133,2
SEA 36-1673,KI,806,305,530,0,223,2
SEA 34-1247,KI,461,75,202,0,123,4
SEA 34-1246,KI,355,94,203,0,109,0
SEA 34-1249,KI,551,98,241,0,139,4
SEA 34-1248,KI,407,95,209,0,114,0
SEA 36-1775,KI,711,157,327,0,167,3
SEA 36-1774,KI,494,184,347,0,162,1
SEA 36-1773,KI,644,153,285,0,130,2
SEA 36-1772,KI,534,154,284,0,129,1
SEA 36-1771,KI,487,121,248,0,126,1
SEA 36-1679,KI,413,151,272,0,121,0
SEA 46-1959,KI,703,245,491,0,243,3
SEA 43-3628,KI,536,124,290,0,164,2
SEA 34-1410,KI,240,88,156,0,68,0
SEA 36-1699,KI,295,86,160,0,72,2
SEA 34-1412,KI,261,97,166,0,69,0
SEA 34-1413,KI,533,165,319,0,151,3
SEA 34-1414,KI,239,104,165,0,58,3
SEA 34-1415,KI,406,112,247,0,133,2
SEA 34-1416,KI,394,118,235,0,115,2
SEA 36-1690,KI,342,108,178,0,64,6
SEA 36-1691,KI,274,90,156,0,66,0
SEA 36-1692,KI,363,136,256,0,118,2
SEA 36-1693,KI,308,97,189,0,92,0
SEA 36-1695,KI,475,167,320,0,153,0
SEA 36-1696,KI,433,148,286,0,138,0
SEA 36-1697,KI,312,100,186,0,85,1
SEA 36-1317,KI,631,189,370,0,180,1
SEA 37-1607,KI,524,99,227,0,125,3
SEA 36-2523,KI,496,163,333,0,170,0
SEA 36-2522,KI,356,107,230,0,122,1
SEA 46-3688,KI,24,6,15,0,9,0
SEA 36-2520,KI,573,164,298,0,133,1
SEA 36-2527,KI,294,109,195,0,85,1
SEA 36-2526,KI,444,154,301,0,145,2
SEA 36-1721,KI,529,128,246,0,118,0
SEA 36-2529,KI,456,167,314,0,147,0
SEA 36-2528,KI,576,208,400,0,190,2
SEA 46-1980,KI,381,159,257,0,98,0
SEA 43-3571,KI,464,64,156,0,91,1
SEA 43-1267,KI,386,128,264,0,135,1
SEA 43-1783,KI,455,123,243,0,118,2
SEA 36-1727,KI,382,127,239,0,111,1
SEA 37-3567,KI,408,53,130,0,75,2
SEA 46-2359,KI,341,96,203,0,107,0
SEA 46-2302,KI,408,140,265,0,125,0
SEA 36-1672,KI,252,83,164,0,81,0
SEA 37-1652,KI,287,101,157,0,55,1
SEA 36-3605,KI,535,127,249,0,118,4
SEA 37-1937,KI,293,127,212,0,85,0
SEA 11-3491,KI,0,0,0,0,0,0
SEA 36-3317,KI,595,214,383,0,169,0
SEA 37-1932,KI,416,126,218,0,92,0
SEA 36-1670,KI,492,176,331,0,155,0
SEA 37-1839,KI,754,212,399,0,182,5
SEA 37-1838,KI,764,205,405,0,198,2
SEA 32-2224,KI,535,126,289,0,160,3
SEA 46-2377,KI,574,196,391,0,192,3
SEA 37-1650,KI,260,99,175,0,76,0
SEA 37-1833,KI,653,161,336,0,174,1
SEA 46-2370,KI,428,49,137,0,87,1
SEA 37-1831,KI,353,116,221,0,104,1
SEA 37-1914,KI,523,189,364,0,174,1
SEA 37-3696,KI,49,9,18,0,9,0
SEA 37-3693,KI,0,0,0,0,0,0
SEA 11-1597,KI,909,183,410,0,223,4
SEA 43-1819,KI,457,165,303,0,137,1
SEA 43-1982,KI,501,135,266,0,131,0
SEA 43-1983,KI,497,150,313,0,163,0
SEA 46-2351,KI,314,102,200,0,98,0
SEA 43-1986,KI,278,85,163,0,78,0
SEA 46-2350,KI,407,96,217,0,120,1
SEA 46-2357,KI,472,169,309,0,139,1
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,38,7,17,0,9,1
SEA 46-2240,KI,431,145,290,0,145,0
SEA 36-1770,KI,234,88,159,0,71,0
SEA 43-2055,KI,322,66,113,0,47,0
SEA 46-2231,KI,619,173,366,0,190,3
SEA 46-2143,KI,285,73,163,0,88,2
SEA 46-1401,KI,686,148,311,0,160,3
SEA 46-2244,KI,268,98,191,0,91,2
SEA 36-2749,KI,336,50,130,0,80,0
SEA 37-1940,KI,536,133,268,0,132,3
SEA 46-2341,KI,569,193,349,0,156,0
SEA 37-1944,KI,754,153,326,0,173,0
SEA 36-2743,KI,501,159,332,0,172,1
SEA 46-2303,KI,422,152,284,0,131,1
SEA 46-2378,KI,322,101,212,0,111,0
SEA 43-3595,KI,535,150,322,0,169,3
SEA 46-2363,KI,380,102,213,0,110,1
SEA 46-2360,KI,469,94,202,0,105,3
SEA 46-2313,KI,538,96,248,0,148,4
SEA 46-2373,KI,683,152,331,0,177,2
SEA 46-2366,KI,451,120,241,0,116,5
SEA 43-2105,KI,628,203,361,0,153,5
SEA 43-3570,KI,1056,186,429,0,242,1
SEA 43-2061,KI,476,115,207,0,90,2
SEA 46-2056,KI,330,116,228,0,110,2
SEA 43-1350,KI,265,68,133,0,65,0
SEA 43-2065,KI,547,85,179,0,92,2
SEA 43-2068,KI,425,99,191,0,91,1
SEA 43-2069,KI,652,203,399,0,194,2
SEA 43-1826,KI,567,180,354,0,174,0
SEA 36-3345,KI,517,114,260,0,142,4
SEA 46-2057,KI,443,171,310,0,139,0
SEA 36-3341,KI,654,178,325,0,142,5
SEA 37-1825,KI,704,123,296,0,169,4
SEA 46-2364,KI,355,90,185,0,95,0
SEA 34-1515,KI,391,114,247,0,133,0
SEA 34-1514,KI,521,129,277,0,148,0
SEA 34-1517,KI,260,73,145,0,72,0
SEA 34-1516,KI,399,111,227,0,113,3
SEA 32-3656,KI,474,142,288,0,145,1
SEA 34-1510,KI,392,121,228,0,104,3
SEA 34-1513,KI,663,150,312,0,159,3
SEA 34-1512,KI,269,81,149,0,67,1
SEA 43-1364,KI,535,180,321,0,139,2
SEA 43-1365,KI,459,146,262,0,116,0
SEA 43-1366,KI,287,99,186,0,87,0
SEA 43-1367,KI,375,135,253,0,116,2
SEA 34-1519,KI,327,110,192,0,80,2
SEA 34-1518,KI,260,83,156,0,73,0
SEA 43-1362,KI,660,195,351,0,155,1
SEA 43-1363,KI,725,196,386,0,184,6
SEA 36-1698,KI,278,84,167,0,83,0
SEA 36-1319,KI,469,138,285,0,146,1
SEA 36-1318,KI,999,261,537,0,271,5
SEA 11-1624,KI,577,97,208,0,111,0
SEA 36-2119,KI,277,98,176,0,78,0
SEA 36-1720,KI,622,146,287,0,141,0
SEA 34-1418,KI,299,116,196,0,77,3
SEA 36-1722,KI,536,118,256,0,136,2
SEA 36-1723,KI,431,139,252,0,110,3
SEA 36-1724,KI,315,112,207,0,93,2
SEA 36-1725,KI,372,94,189,0,93,2
SEA 36-1726,KI,387,111,214,0,103,0
SEA 34-1419,KI,694,196,418,0,217,5
SEA 36-1729,KI,231,78,147,0,69,0
SEA 37-1646,KI,457,53,151,1,97,0
SEA 46-2266,KI,494,158,288,0,128,2
SEA 43-2004,KI,356,112,206,1,92,1
SEA 43-2987,KI,673,49,97,0,47,1
SEA 46-2339,KI,330,86,171,0,80,5
SEA 46-2338,KI,543,114,260,0,145,1
SEA 46-2330,KI,420,108,232,0,124,0
SEA 46-2333,KI,371,120,221,0,99,2
SEA 46-2332,KI,248,91,165,0,74,0
SEA 46-2335,KI,609,109,268,0,156,3
SEA 46-2334,KI,573,158,343,0,184,1
SEA 46-2337,KI,347,71,185,0,111,3
SEA 46-2336,KI,707,171,350,0,175,4
SEA 43-2109,KI,478,101,212,0,105,6
SEA 43-3230,KI,626,158,309,0,148,3
SEA 43-2016,KI,333,97,197,0,100,0
SEA 36-2163,KI,289,103,176,0,73,0
SEA 36-2162,KI,373,140,259,0,118,1
SEA 36-2161,KI,460,165,304,0,138,1
SEA 34-1458,KI,376,126,246,0,119,1
SEA 34-1459,KI,272,91,175,0,82,2
SEA 36-2165,KI,240,108,170,0,61,1
SEA 36-2164,KI,310,113,215,0,102,0
SEA 34-1454,KI,306,96,180,0,82,2
SEA 11-3580,KI,401,80,175,0,95,0
SEA 34-1456,KI,428,121,248,0,127,0
SEA 34-1457,KI,687,179,385,0,204,2
SEA 34-1450,KI,301,86,188,0,101,1
SEA 34-1451,KI,330,83,178,0,95,0
SEA 34-1452,KI,275,88,170,0,82,0
SEA 34-1453,KI,264,81,174,0,92,1
SEA 37-3639,KI,303,98,191,0,93,0
SEA 43-1277,KI,541,141,282,0,135,6
SEA 43-2008,KI,257,88,169,0,80,1
SEA 37-3636,KI,786,125,296,0,167,4
SEA 43-1275,KI,275,98,200,0,100,2
SEA 46-2263,KI,599,219,396,0,176,1
SEA 43-1272,KI,437,148,285,0,137,0
SEA 36-3496,KI,671,152,328,0,174,2
SEA 36-2171,KI,491,182,329,0,146,1
SEA 46-2348,KI,274,95,161,0,66,0
SEA 43-1379,KI,263,109,187,0,77,1
SEA 37-1907,KI,657,217,432,0,211,4
SEA 37-1906,KI,427,156,280,0,122,2
SEA 43-1271,KI,473,130,260,0,128,2
SEA 37-1903,KI,312,113,218,0,105,0
SEA 37-1902,KI,339,123,224,0,100,1
SEA 37-1901,KI,260,75,163,0,87,1
SEA 37-1900,KI,355,90,192,0,100,2
SEA 37-1864,KI,622,92,273,0,180,1
SEA 43-1376,KI,541,154,312,0,156,2
SEA 43-1870,KI,466,134,273,0,136,3
SEA 36-2167,KI,327,121,211,0,89,1
SEA 43-1874,KI,608,165,343,0,177,1
SEA 46-1400,KI,425,115,221,0,104,2
SEA 36-2166,KI,336,131,231,0,100,0
SEA 32-2537,KI,396,105,213,0,108,0
SEA 46-2322,KI,532,147,281,0,131,3
SEA 43-1373,KI,335,125,243,0,114,4
SEA 32-2539,KI,788,217,447,0,227,3
SEA 43-1371,KI,288,88,166,0,78,0
SEA 43-2028,KI,423,141,280,0,137,2
SEA 34-1455,KI,956,195,428,0,229,4
SEA 43-2026,KI,356,127,239,0,111,1
SEA 43-2027,KI,292,120,202,0,82,0
SEA 43-2024,KI,336,108,201,0,93,0
SEA 43-1370,KI,332,134,237,0,102,1
SEA 43-2023,KI,388,125,224,0,98,1
SEA 43-2020,KI,374,138,249,0,110,1
SEA 43-2021,KI,797,243,506,0,259,4
SEA 36-2168,KI,520,178,334,0,155,1
SEA 36-2524,KI,216,87,152,0,65,0
SEA 46-1967,KI,497,162,320,0,156,2
SEA 46-2275,KI,127,37,71,0,33,1
SEA 43-2550,KI,342,76,157,0,80,1
SEA 43-2541,KI,268,54,115,0,61,0
SEA 37-1585,KI,358,125,233,0,106,2
SEA 37-1584,KI,332,106,210,0,99,5
SEA 43-1889,KI,483,148,288,0,139,1
SEA 43-1345,KI,424,131,274,0,141,2
SEA 36-1298,KI,337,138,246,0,107,1
SEA 34-3682,KI,386,105,192,0,86,1
SEA 43-1888,KI,633,178,373,0,195,0
SEA 36-1294,KI,735,258,449,0,190,1
SEA 36-1295,KI,337,119,219,0,98,2
SEA 36-1296,KI,303,87,194,0,106,1
SEA 36-1297,KI,298,96,183,0,86,1
SEA 36-1292,KI,356,108,220,0,111,1
SEA 34-1257,KI,510,161,304,0,142,1
SEA 34-1254,KI,346,64,150,0,86,0
SEA 34-1255,KI,414,59,202,0,140,3
SEA 34-1252,KI,660,138,295,0,152,5
SEA 36-1769,KI,234,74,151,0,77,0
SEA 34-1250,KI,335,100,199,0,98,1
SEA 34-1251,KI,538,122,312,0,190,0
SEA 36-1764,KI,264,79,185,0,106,0
SEA 36-1765,KI,274,98,178,0,80,0
SEA 36-1766,KI,401,117,216,0,98,1
SEA 36-1767,KI,551,122,242,0,118,2
SEA 36-1760,KI,300,102,195,0,92,1
SEA 36-1761,KI,309,113,193,0,78,2
SEA 36-1762,KI,306,116,207,0,89,2
SEA 36-1763,KI,312,101,196,0,93,2
SEA 46-2500,KI,360,98,209,0,106,5
SEA 34-3175,KI,357,132,235,0,102,1
SEA 34-1425,KI,292,79,185,0,106,0
SEA 34-1424,KI,436,108,210,0,101,1
SEA 34-1427,KI,269,92,163,0,70,1
SEA 34-1426,KI,294,105,186,0,80,1
SEA 34-1420,KI,668,214,385,0,171,0
SEA 34-1423,KI,338,91,205,0,112,2
SEA 34-1422,KI,354,122,216,0,93,1
SEA 46-1965,KI,292,79,190,0,111,0
SEA 34-1429,KI,252,78,158,0,79,1
SEA 34-1428,KI,252,83,163,0,77,3
SEA 43-2239,KI,566,212,389,0,176,1
SEA 43-2238,KI,813,300,539,0,239,0
SEA 43-2237,KI,568,185,352,0,164,3
SEA 34-2501,KI,381,127,244,0,115,2
SEA 43-1349,KI,359,140,231,0,89,2
SEA 36-2532,KI,416,137,273,0,133,3
SEA 36-2533,KI,431,141,267,0,124,2
SEA 36-2534,KI,547,159,315,0,153,3
SEA 36-2535,KI,566,144,291,0,146,1
SEA 36-2129,KI,691,144,326,0,181,1
SEA 36-2126,KI,722,214,419,0,202,3
SEA 36-2125,KI,620,170,357,0,185,2
SEA 36-2121,KI,443,104,216,0,109,3
SEA 36-2120,KI,413,132,273,0,140,1
SEA 36-2146,KI,338,113,199,0,85,1
SEA 46-1966,KI,234,77,144,0,65,2
SEA 46-2375,KI,312,114,210,0,96,0
SEA 43-2115,KI,527,65,134,0,68,1
SEA 37-3673,KI,563,125,277,0,147,5
SEA 37-3672,KI,426,125,225,0,100,0
SEA 37-3573,KI,564,50,111,0,61,0
SEA 36-2511,KI,430,183,311,0,128,0
SEA 46-2249,KI,250,75,170,0,95,0
SEA 43-1779,KI,377,64,147,0,83,0
SEA 37-1558,KI,702,132,273,0,141,0
SEA 37-1559,KI,338,29,108,0,78,1
SEA 37-1555,KI,410,93,190,0,96,1
SEA 46-2243,KI,514,190,359,0,163,6
SEA 37-1557,KI,343,47,124,0,74,3
SEA 46-2245,KI,409,149,322,0,173,0
SEA 43-1776,KI,673,189,375,0,183,3
SEA 46-2247,KI,630,204,421,0,214,3
SEA 37-1553,KI,388,110,206,0,96,0
SEA 32-2211,KI,606,146,311,0,161,4
SEA 32-2210,KI,610,179,374,0,193,2
SEA 43-1380,KI,301,100,183,0,83,0
SEA 46-2361,KI,359,107,206,0,98,1
SEA 32-2215,KI,805,272,535,0,261,2
SEA 46-2367,KI,449,109,229,0,120,0
SEA 32-2217,KI,754,164,421,0,256,1
SEA 32-2216,KI,338,108,203,0,94,1
SEA 37-1824,KI,394,119,246,0,123,4
SEA 32-2218,KI,666,171,332,0,156,5
SEA 37-1827,KI,558,97,270,0,171,2
SEA 36-1326,KI,693,227,436,0,206,3
SEA 37-1823,KI,209,11,44,0,33,0
SEA 43-1835,KI,688,166,417,0,248,3
SEA 37-1608,KI,559,155,293,0,136,2
SEA 36-1320,KI,362,124,234,0,110,0
SEA 36-1321,KI,416,133,258,0,123,2
SEA 37-1622,KI,578,116,226,0,110,0
SEA 37-2799,KI,445,94,206,0,110,2
SEA 46-2269,KI,305,101,197,0,96,0
SEA 36-1322,KI,479,171,286,0,113,2
SEA 46-1964,KI,499,110,247,0,137,0
SEA 36-1323,KI,401,134,243,0,109,0
SEA 37-1620,KI,418,51,140,0,87,2
SEA 37-1891,KI,304,100,193,0,93,0
SEA 36-1662,KI,450,138,291,0,152,1
SEA 37-1609,KI,414,146,242,0,95,1
SEA 46-2100,KI,370,120,246,0,126,0
SEA 46-1961,KI,272,89,182,0,91,2
SEA 36-1328,KI,756,206,390,0,184,0
SEA 43-3497,KI,532,108,218,0,110,0
SEA 46-1962,KI,295,109,208,0,99,0
SEA 37-1894,KI,433,141,259,0,115,3
SEA 37-1899,KI,338,101,195,0,94,0
SEA 37-1898,KI,285,83,158,0,75,0
SEA 36-1703,KI,530,171,340,0,168,1
SEA 36-2750,KI,458,87,198,0,106,5
SEA 37-1890,KI,581,216,412,0,192,4
SEA 37-1893,KI,445,128,287,0,156,3
SEA 37-1892,KI,594,171,360,0,188,1
SEA 37-1895,KI,604,186,356,0,166,4
SEA 37-1628,KI,444,86,215,0,127,2
SEA 37-1897,KI,881,140,320,0,177,3
SEA 37-1896,KI,410,134,258,0,123,1
