Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Willie Gregory,Write-in
SEA 43-1369,KI,285,100,165,0,64,1
SEA 43-2015,KI,333,106,195,0,89,0
SEA 37-1950,KI,187,20,67,0,46,1
SEA 34-1489,KI,744,161,338,0,175,2
SEA 34-1488,KI,692,130,284,0,152,2
SEA 34-1482,KI,321,86,180,0,93,1
SEA 34-1481,KI,479,104,227,0,119,4
SEA 34-1480,KI,594,158,339,0,180,1
SEA 34-1487,KI,335,96,205,0,108,1
SEA 34-1486,KI,364,104,201,0,96,1
SEA 34-1485,KI,708,123,307,1,182,1
SEA 34-1484,KI,345,79,180,0,99,2
SEA 36-3153,KI,390,84,187,0,103,0
SEA 46-2358,KI,846,230,494,0,261,3
SEA 37-1918,KI,347,122,212,0,89,1
SEA 37-1919,KI,378,112,207,0,94,1
SEA 37-2686,KI,604,117,291,0,168,6
SEA 36-3252,KI,477,102,211,0,107,2
SEA 37-1915,KI,384,143,260,0,115,2
SEA 37-1916,KI,357,148,261,0,111,2
SEA 37-1917,KI,454,136,311,0,175,0
SEA 37-1910,KI,513,172,329,0,156,1
SEA 37-1911,KI,284,90,191,0,101,0
SEA 46-2355,KI,354,112,224,0,111,1
SEA 37-1913,KI,338,114,239,0,124,1
SEA 37-1854,KI,386,79,190,0,107,4
SEA 43-1330,KI,404,108,238,0,129,1
SEA 43-1849,KI,323,92,161,0,68,1
SEA 37-1850,KI,650,179,346,0,162,5
SEA 37-1853,KI,281,51,120,0,69,0
SEA 43-1845,KI,575,133,277,0,144,0
SEA 43-1847,KI,484,114,227,0,112,1
SEA 43-1846,KI,345,82,158,0,75,1
SEA 43-1843,KI,551,132,251,0,119,0
SEA 43-1842,KI,521,142,282,0,138,2
SEA 43-2104,KI,379,132,260,0,126,2
SEA 43-2029,KI,706,256,488,0,230,2
SEA 46-2309,KI,300,91,184,0,93,0
SEA 46-2142,KI,674,158,357,0,196,3
SEA 43-1262,KI,468,157,308,0,148,3
SEA 36-2795,KI,479,105,209,0,102,2
SEA 43-1265,KI,256,78,148,0,69,1
SEA 37-1637,KI,760,104,295,0,187,4
SEA 43-1264,KI,361,130,248,0,117,1
SEA 37-1651,KI,736,87,256,0,168,1
SEA 43-2025,KI,556,187,360,0,170,3
SEA 37-1930,KI,738,201,391,0,189,1
SEA 43-1266,KI,351,118,213,0,95,0
SEA 46-2145,KI,497,151,297,0,146,0
SEA 36-1751,KI,368,116,212,0,95,1
SEA 36-1750,KI,493,167,296,0,129,0
SEA 36-1752,KI,437,135,244,0,108,1
SEA 36-1755,KI,272,85,158,0,72,1
SEA 36-1754,KI,387,139,252,0,112,1
SEA 36-1757,KI,262,99,166,0,67,0
SEA 36-1756,KI,682,199,393,0,194,0
SEA 36-1759,KI,274,109,169,0,57,3
SEA 36-1758,KI,351,120,246,0,126,0
SEA 43-2043,KI,292,104,193,0,89,0
SEA 43-2044,KI,350,99,186,0,86,1
SEA 43-2045,KI,315,98,189,0,91,0
