Row Label,County,Eddie Yoon,Charles W. Johnson
BELFAIR,MA,101,286
MILL CREEK,MA,142,396
HARSTINE,MA,181,439
DAYTON,MA,126,230
DOWNTOWN,MA,121,238
AIRPORT,MA,157,380
MATLOCK,MA,118,299
AGATE,MA,117,306
JOHN&#39;S PRAIRIE,MA,91,260
OLYMPIC VIEW,MA,133,384
ISABELLA,MA,69,201
CUSHMAN,MA,159,377
MASON LAKE,MA,91,279
SAND HILL,MA,148,347
KAMILCHE POINT,MA,58,176
HILLCREST,MA,86,220
EELLS,MA,41,124
BORDEAUX,MA,15,57
ANGLESIDE,MA,124,323
ARCADIA,MA,173,374
HOOD CANAL,MA,159,367
UNION,MA,183,534
LIMERICK,MA,158,446
FAWN LAKE,MA,147,358
TIGER LAKE,MA,69,196
PICKERING,MA,120,302
CALLANAN,MA,3,11
KAMILCHE,MA,55,145
VICTOR,MA,96,246
TWANOH,MA,76,218
OAKLAND BAY,MA,98,264
TAHUYA,MA,126,329
ALLYN,MA,180,594
DEWATTO,MA,137,397
TIMBERLAKE,MA,169,382
GRAPEVIEW,MA,141,423
FAIR HARBOR,MA,106,239
TRAIL&#39;S END,MA,129,361
SKOKOMISH,MA,34,65
Total,MA,4437,11573
