Row Label,County,Pamela Rushton
BLUFFS 210,CM,193
PORT ANGELES 109,CM,486
PORT ANGELES 108,CM,211
BELLEVIEW 205,CM,370
CARLSBORG 214,CM,237
PORT ANGELES 103,CM,430
PORT ANGELES 102,CM,409
PORT ANGELES 101,CM,260
OLYMPIC 254,CM,211
PORT ANGELES 107,CM,423
PORT ANGELES 106,CM,322
PORT ANGELES 105,CM,404
PORT ANGELES 104,CM,300
AGNEW 201,CM,273
JAMESTOWN 240,CM,204
FRESHWATER BAY 233,CM,393
DUNGENESS EAST 222,CM,372
SUN 269,CM,104
CLARK 216,CM,135
MOUNT PLEASANT 251,CM,322
PORT WILLIAMS 258,CM,189
MILLER PENINSULA 246,CM,169
ELK 229,CM,79
FAIRVIEW 232,CM,345
OBRIEN 253,CM,282
HAPPY VALLEY 237,CM,161
EAGLE 226,CM,263
COYOTE 218,CM,364
BOGACHIEL 212,CM,97
ROBIN HILL 266,CM,243
PRAIRIE NORTH 259,CM,270
JOYCE 241,CM,357
NEAH BAY 252,CM,158
SEQUIM 406,CM,277
MADISON CREEK 248,CM,123
FORKS 301,CM,172
DEER PARK 220,CM,365
DIAMOND POINT 221,CM,335
BEAVER 204,CM,203
MONTERRA 249,CM,311
PORT ANGELES 110,CM,109
PORT ANGELES 111,CM,470
PORT ANGELES 112,CM,252
PORT ANGELES 113,CM,268
QUILEUTE 262,CM,104
CLINE 217,CM,314
FORKS 302,CM,229
BELL HILL 207,CM,310
PRAIRIE SOUTH 260,CM,317
MOUNT ANGELES 250,CM,203
SUNLAND NORTH 270,CM,351
BLYN 211,CM,263
DUNGENESS WEST 223,CM,159
BLUE MOUNTAIN 209,CM,325
MACLEAY 247,CM,308
SEQUIM 404,CM,405
SEQUIM 405,CM,270
SEQUIM 402,CM,192
SEQUIM 403,CM,342
DRY CREEK 224,CM,311
CLALLAM BAY 215,CM,168
LOST MOUNTAIN 245,CM,185
SEQUIM 401,CM,182
RIVERSIDE 265,CM,301
BLACK DIAMOND 208,CM,204
SUNLAND SOUTH 271,CM,218
ELWHA 230,CM,101
Total,CM,17683
