Row Label,County,Russ Skolrood,John Straka
Montesano 601,GY,356,239
Chehalis 066(*),GY,0,0
Riviera 050,GY,16,21
McCleary Rural 060,GY,185,114
Hoquiam 421,GY,146,129
Satsop 052,GY,73,73
Aberdeen 132,GY,0,0
Lois Lane 082,GY,67,40
Ocosta 092,GY,0,0
Cutoff032,GY,47,38
Johns River 094,GY,129,96
Melbourne 072,GY,135,136
Bush 058,GY,243,205
Aberdeen 121,GY,252,202
Geissler 036,GY,25,19
Coats Landing 034,GY,123,102
Hoquiam 441,GY,251,116
Grayland 096,GY,123,106
Hoquiam 461,GY,179,89
Blockhouse 068,GY,101,107
Boundary 044,GY,22,15
Westport 901,GY,214,217
Elma 302,GY,232,154
Oakville 701,GY,49,73
Black Creek 046,GY,240,178
Aberdeen 111,GY,275,210
Cohasset 098,GY,72,67
Aberdeen Lake 038(*),GY,0,0
Burrows 014,GY,16,15
Quinault 004,GY,73,62
Porter 062,GY,87,68
Delezenne 070,GY,138,145
Pacific Beach 008,GY,100,67
Aberdeen 131,GY,357,250
Elma 301,GY,90,92
Axford 020,GY,61,49
Brady 048,GY,248,148
Dekay 022,GY,48,28
Ocean City 012,GY,143,84
Moclips 010,GY,7,12
Sierra 086(*),GY,0,0
Cosmopolis 201,GY,325,180
Cedar Creek 064,GY,39,49
Ocean Shores 801,GY,270,203
Ocean Shores 802,GY,385,269
Ocean Shores 803,GY,310,228
Aberdeen 141,GY,327,174
Calder 056,GY,104,107
Lund 088,GY,34,30
Taholah 002,GY,132,39
Aberdeen 142,GY,231,154
Devonshire 074,GY,145,86
Reynvaan 040,GY,66,42
Hoquiam 411,GY,194,143
Aberdeen 161,GY,278,191
Wilderness 016,GY,57,44
Hoquiam 451,GY,166,127
Hoquiam 431,GY,211,133
Blue Slough 084,GY,116,52
Wynoochee 042(*),GY,0,0
Hoquiam Rural 024,GY,183,121
Wishkah 030,GY,142,107
North Wishkah 028(*),GY,0,0
Stover 026,GY,29,36
Vesta 076,GY,17,33
Artic 078,GY,27,25
Humptulips 018,GY,25,25
Montesano 602,GY,348,227
Aberdeen 151,GY,154,134
Central Park 080,GY,312,228
Newskah 090,GY,9,7
McCleary 501,GY,169,125
Neilton 006,GY,25,41
Total,GY,9758,7134
