Row Label,County,Jeff Morris
Friday Harbor North,SJ,346
San Juan South East,SJ,248
Lopez North,SJ,614
Total,SJ,5936
Decatur and Outer Is,SJ,21
Shaw,SJ,75
San Juan West,SJ,375
Turn Point,SJ,165
San Juan South West,SJ,432
Orcas East,SJ,402
Eastsound,SJ,508
Blakely &amp; Outer Is,SJ,17
Friday Harbor South,SJ,260
Waldron &amp; Outer Is,SJ,58
Orcas Central,SJ,471
San Juan North,SJ,322
Lopez South,SJ,464
Orcas West,SJ,473
San Juan East,SJ,297
San Juan Central,SJ,388
