Row Label,County,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
SHERMAN,FE,145,91
REPUBLIC 2,FE,108,91
REPUBLIC 1,FE,122,78
LAMBERT,FE,48,30
HALL CREEK,FE,53,55
CURLEW,FE,16,14
STORM KING,FE,145,68
TORODA,FE,66,43
BOYDS,FE,78,56
MALO,FE,106,61
SOUTH LAKE,FE,93,58
KETTLE RIVER,FE,125,85
KEWA,FE,36,74
BELCHER,FE,69,30
KELLER,FE,54,62
TROUT CREEK,FE,165,126
Total,FE,1695,1253
ORIENT,FE,69,65
SAN POIL,FE,176,87
INCHELIUM,FE,21,79
