Row Label,County,Kristine Lytton,Daniel R. Miller
Friday Harbor North,SJ,303,169
San Juan South East,SJ,225,147
Lopez North,SJ,585,229
Total,SJ,5598,2349
Decatur and Outer Is,SJ,22,24
Shaw,SJ,68,33
San Juan West,SJ,373,157
Turn Point,SJ,173,69
San Juan South West,SJ,411,129
Orcas East,SJ,358,169
Eastsound,SJ,468,177
Blakely &amp; Outer Is,SJ,15,15
Friday Harbor South,SJ,240,120
Waldron &amp; Outer Is,SJ,60,8
Orcas Central,SJ,447,146
San Juan North,SJ,283,171
Lopez South,SJ,458,145
Orcas West,SJ,419,178
San Juan East,SJ,301,108
San Juan Central,SJ,389,155
