Row Label,County,John Kulseth
Friday Harbor North,SJ,349
San Juan South East,SJ,270
Lopez North,SJ,520
Total,SJ,5336
Decatur and Outer Is,SJ,20
Shaw,SJ,64
San Juan West,SJ,326
Turn Point,SJ,171
San Juan South West,SJ,395
Orcas East,SJ,350
Eastsound,SJ,416
Blakely &amp; Outer Is,SJ,20
Friday Harbor South,SJ,263
Waldron &amp; Outer Is,SJ,25
Orcas Central,SJ,395
San Juan North,SJ,311
Lopez South,SJ,377
Orcas West,SJ,402
San Juan East,SJ,305
San Juan Central,SJ,357
