Row Label,County,Vicki Horton,Roger E Trainor
PCT 3329,SP,220,77
PCT 4448,SP,221,129
PCT 3323,SP,276,121
PCT 3322,SP,233,89
PCT 3321,SP,309,125
PCT 3320,SP,221,85
PCT 3327,SP,202,67
PCT 3326,SP,107,47
PCT 4438,SP,405,204
PCT 4439,SP,310,139
PCT 3325,SP,351,121
PCT 4432,SP,293,171
PCT 4433,SP,203,113
PCT 4430,SP,358,134
PCT 3324,SP,271,112
PCT 4436,SP,428,207
PCT 4437,SP,368,149
PCT 4434,SP,448,208
PCT 4435,SP,349,152
PCT 7028,SP,425,192
PCT 7029,SP,260,155
PCT 7020,SP,343,140
PCT 7021,SP,197,82
PCT 7022,SP,258,106
PCT 7023,SP,251,104
PCT 7024,SP,415,165
PCT 7025,SP,303,112
PCT 7026,SP,330,130
PCT 7027,SP,234,119
PCT 3222,SP,137,36
PCT 3223,SP,172,71
PCT 3220,SP,379,104
PCT 3221,SP,329,126
PCT 6221,SP,436,142
PCT 6220,SP,411,126
PCT 6223,SP,439,110
PCT 6222,SP,323,76
PCT 6225,SP,379,136
PCT 6224,SP,308,128
PCT 3128,SP,229,78
PCT 3121,SP,221,100
PCT 3120,SP,251,79
PCT 3123,SP,218,95
PCT 3122,SP,290,113
PCT 3125,SP,226,87
PCT 3124,SP,228,105
PCT 3127,SP,216,60
PCT 3126,SP,43,28
PCT 9400,SP,27,9
PCT 4034,SP,220,126
PCT 4035,SP,196,115
PCT 4032,SP,183,113
PCT 4033,SP,234,107
PCT 4030,SP,238,87
PCT 4031,SP,276,100
PCT 6315,SP,203,76
PCT 6314,SP,300,127
PCT 6317,SP,256,103
PCT 6316,SP,175,36
PCT 6311,SP,292,92
PCT 6310,SP,301,98
PCT 6313,SP,369,126
PCT 6312,SP,281,104
PCT 6318,SP,290,99
PCT 6009,SP,261,97
PCT 6008,SP,258,103
PCT 9700,SP,102,43
PCT 6001,SP,286,132
PCT 6000,SP,245,91
PCT 6003,SP,395,117
PCT 6002,SP,95,30
PCT 6005,SP,275,127
PCT 6004,SP,254,71
PCT 6007,SP,281,118
PCT 6006,SP,309,138
PCT 3301,SP,461,148
PCT 3300,SP,293,110
PCT 3303,SP,292,118
PCT 3302,SP,308,115
PCT 3305,SP,244,97
PCT 3304,SP,295,121
PCT 3307,SP,215,76
PCT 3306,SP,309,129
PCT 3309,SP,267,118
PCT 3308,SP,278,139
PCT 6500,SP,76,23
PCT 6218,SP,350,87
PCT 6219,SP,355,148
PCT 6210,SP,432,119
PCT 6211,SP,252,79
PCT 6212,SP,191,79
PCT 6213,SP,349,165
PCT 6214,SP,292,92
PCT 6215,SP,380,118
PCT 6216,SP,358,93
PCT 6217,SP,371,126
PCT 3110,SP,176,85
PCT 3111,SP,186,81
PCT 3112,SP,16,3
PCT 3113,SP,266,113
PCT 3114,SP,251,109
PCT 3115,SP,252,103
PCT 3116,SP,237,137
PCT 3117,SP,170,79
PCT 3118,SP,162,75
PCT 3119,SP,201,95
PCT 4429,SP,321,183
PCT 4428,SP,189,141
PCT 4425,SP,237,101
PCT 4424,SP,290,142
PCT 4427,SP,393,175
PCT 4426,SP,159,99
PCT 4421,SP,225,111
PCT 4420,SP,124,67
PCT 4423,SP,452,160
PCT 4422,SP,328,130
PCT 7033,SP,202,95
PCT 7032,SP,328,115
PCT 7031,SP,276,121
PCT 7030,SP,353,109
PCT 7036,SP,247,78
PCT 7035,SP,179,107
PCT 7034,SP,192,77
PCT 6602,SP,309,101
PCT 6601,SP,265,99
PCT 6600,SP,298,108
PCT 6030,SP,414,184
PCT 6031,SP,249,94
PCT 6032,SP,223,66
PCT 6033,SP,490,172
PCT 6034,SP,325,182
PCT 6035,SP,194,81
PCT 6036,SP,192,85
PCT 6037,SP,183,72
PCT 4450,SP,158,68
PCT 4451,SP,233,103
PCT 4452,SP,226,124
PCT 4453,SP,280,155
PCT 4454,SP,224,89
PCT 4455,SP,251,98
PCT 4029,SP,300,152
PCT 4028,SP,404,186
PCT 4021,SP,260,215
PCT 4020,SP,317,191
PCT 4023,SP,106,66
PCT 4022,SP,239,159
PCT 4025,SP,296,119
PCT 4024,SP,220,105
PCT 4027,SP,260,138
PCT 4026,SP,248,131
PCT 4431,SP,247,118
PCT 4414,SP,364,169
PCT 4415,SP,265,118
PCT 4416,SP,280,157
PCT 4417,SP,190,83
PCT 4410,SP,358,160
PCT 4411,SP,345,130
PCT 4412,SP,251,96
PCT 4413,SP,286,145
PCT 4418,SP,302,138
PCT 4419,SP,321,145
PCT 4201,SP,146,52
PCT 4200,SP,240,105
PCT 9600,SP,44,25
PCT 6100,SP,180,67
PCT 6101,SP,261,107
PCT 6102,SP,284,97
PCT 6103,SP,115,38
PCT 6104,SP,190,84
PCT 6105,SP,272,73
PCT 6106,SP,348,133
PCT 6107,SP,206,81
PCT 6108,SP,223,72
PCT 6109,SP,178,58
PCT 3208,SP,278,105
PCT 3209,SP,340,126
PCT 3200,SP,209,59
PCT 3201,SP,300,91
PCT 3202,SP,169,62
PCT 3203,SP,231,96
PCT 3204,SP,198,76
PCT 3205,SP,252,66
PCT 3206,SP,215,59
PCT 3207,SP,143,43
PCT 6209,SP,296,99
PCT 6208,SP,405,128
PCT 6203,SP,401,102
PCT 6202,SP,351,102
PCT 6201,SP,290,87
PCT 6200,SP,415,119
PCT 6207,SP,452,121
PCT 6206,SP,407,110
PCT 6205,SP,350,132
PCT 6204,SP,444,131
PCT 3103,SP,169,70
PCT 3102,SP,139,70
PCT 3101,SP,196,89
PCT 3100,SP,224,98
PCT 3107,SP,249,94
PCT 3106,SP,224,94
PCT 3105,SP,202,96
PCT 3104,SP,237,114
PCT 3109,SP,215,85
PCT 3108,SP,200,53
PCT 4010,SP,256,163
PCT 4011,SP,417,213
PCT 4012,SP,450,250
PCT 4013,SP,253,150
PCT 4014,SP,207,87
PCT 4015,SP,233,99
PCT 4016,SP,327,133
PCT 4017,SP,352,191
PCT 4018,SP,203,113
PCT 4019,SP,226,116
PCT 6704,SP,265,114
PCT 6702,SP,177,83
PCT 6703,SP,249,84
PCT 6700,SP,257,120
PCT 6701,SP,265,109
PCT 7008,SP,349,192
PCT 7009,SP,388,237
PCT 7006,SP,323,157
PCT 7007,SP,256,166
PCT 7004,SP,290,183
PCT 7005,SP,419,244
PCT 7002,SP,224,122
PCT 7003,SP,338,161
PCT 7000,SP,425,223
PCT 7001,SP,242,123
PCT 6023,SP,189,61
PCT 6022,SP,351,106
PCT 6021,SP,292,109
PCT 6020,SP,518,131
PCT 6027,SP,310,106
PCT 6026,SP,443,178
PCT 6025,SP,240,99
PCT 6024,SP,221,54
PCT 6029,SP,294,127
PCT 6028,SP,244,112
PCT 4449,SP,191,73
PCT 3328,SP,260,113
PCT 4443,SP,185,74
PCT 4442,SP,213,113
PCT 4441,SP,209,125
PCT 4440,SP,317,166
PCT 4447,SP,134,67
PCT 4446,SP,180,76
PCT 4445,SP,267,141
PCT 4444,SP,353,133
Total,SP,93721,39112
PCT 7301,SP,216,104
PCT 7300,SP,268,119
PCT 7302,SP,220,90
PCT 4407,SP,314,147
PCT 4406,SP,291,113
PCT 4405,SP,295,183
PCT 4404,SP,329,166
PCT 4403,SP,361,114
PCT 4402,SP,290,133
PCT 4401,SP,351,139
PCT 4400,SP,284,127
PCT 4409,SP,431,214
PCT 4408,SP,405,187
PCT 3219,SP,327,67
PCT 3218,SP,365,104
PCT 3213,SP,327,95
PCT 3212,SP,250,62
PCT 3211,SP,258,69
PCT 3210,SP,280,67
PCT 3217,SP,385,137
PCT 3216,SP,406,128
PCT 3215,SP,186,62
PCT 3214,SP,320,96
PCT 4300,SP,247,116
PCT 4301,SP,157,73
PCT 4302,SP,299,137
PCT 4303,SP,333,119
PCT 4304,SP,213,75
PCT 4305,SP,203,81
PCT 4306,SP,290,182
PCT 4307,SP,58,24
PCT 9500,SP,102,47
PCT 4003,SP,409,248
PCT 4002,SP,297,162
PCT 4001,SP,225,114
PCT 4007,SP,208,118
PCT 4006,SP,390,195
PCT 4005,SP,282,128
PCT 4004,SP,319,208
PCT 4009,SP,278,175
PCT 4008,SP,228,114
PCT 6302,SP,241,90
PCT 6303,SP,464,186
PCT 6300,SP,550,181
PCT 6301,SP,495,178
PCT 6306,SP,300,140
PCT 6307,SP,183,64
PCT 6304,SP,443,156
PCT 6305,SP,229,82
PCT 6308,SP,173,106
PCT 6309,SP,352,132
PCT 3000,SP,4,3
PCT 7011,SP,191,105
PCT 7010,SP,272,100
PCT 7013,SP,267,157
PCT 7012,SP,298,143
PCT 7015,SP,303,130
PCT 7014,SP,273,140
PCT 7017,SP,315,151
PCT 7016,SP,408,175
PCT 7019,SP,291,137
PCT 7018,SP,358,169
PCT 9300,SP,65,23
PCT 6401,SP,134,52
PCT 6400,SP,226,100
PCT 6402,SP,291,98
PCT 6016,SP,199,96
PCT 6017,SP,554,170
PCT 6014,SP,177,67
PCT 6015,SP,191,72
PCT 6012,SP,189,87
PCT 6013,SP,246,89
PCT 6010,SP,48,15
PCT 6011,SP,272,103
PCT 6018,SP,463,130
PCT 6019,SP,456,133
PCT 3318,SP,275,101
PCT 3319,SP,254,108
PCT 3316,SP,363,127
PCT 3317,SP,399,176
PCT 3314,SP,258,95
PCT 3315,SP,318,135
PCT 3312,SP,374,135
PCT 3313,SP,396,167
PCT 3310,SP,267,150
PCT 3311,SP,183,93
PCT 9008,SP,57,26
PCT 9004,SP,262,166
PCT 9005,SP,92,72
PCT 9006,SP,325,172
PCT 9007,SP,88,44
PCT 9000,SP,316,154
PCT 9001,SP,235,114
PCT 9002,SP,226,98
PCT 9003,SP,146,81
