Row Label,County,Claire Bradley,Tracy Flood
LEMOLO 435,KP,188,134
ANNAPOLIS 212,KP,282,243
MEADOWDALE 150,KP,154,141
BELLA VISTA 413,KP,196,119
LIGHTHOUSE POINT 292,KP,297,132
CLEAR CREEK 120,KP,230,134
AUGUSTA 461,KP,126,100
HEINS CREEK 297,KP,0,0
HANSVILLE 415,KP,158,101
TORVANGER 345,KP,244,194
BREMERTON 012,KP,50,35
BREMERTON 013,KP,144,168
BREMERTON 015,KP,183,188
BREMERTON 016,KP,50,34
WINSLOW 304,KP,310,279
HIGHLAND 423,KP,137,97
LAKE HELENA 214,KP,202,147
DICKENSON 282,KP,220,162
UNIVERSITY POINT 142,KP,151,121
SANDY HOOK 464,KP,169,114
BARKER CREEK 147,KP,246,207
BAYVIEW 087,KP,62,48
POWERLINE 086(*),KP,0,0
ISLAND CENTER 320,KP,176,191
EVERGREEN RIDGE 426,KP,97,56
REGAL 131,KP,60,45
COUNTRY CLUB 113,KP,119,102
POULSBO 405,KP,254,151
POULSBO 404,KP,264,167
POULSBO 407,KP,194,119
POULSBO 406,KP,269,211
SEDGWICK 272,KP,263,180
BERRY LAKE 279,KP,156,105
POULSBO 403,KP,201,129
EBBERT 247,KP,253,190
ILLAHEE 065,KP,269,192
COTTONWOOD 125,KP,196,157
MARION 090,KP,41,40
OLYMPIC 099,KP,28,18
GILBERTON 140,KP,169,150
STRIEBEL 453,KP,224,151
AZALEA 302,KP,241,206
YUKON 241,KP,161,138
FOREST RIDGE 126,KP,123,119
FAIRVIEW 135,KP,141,94
ANDERSON CREEK 163,KP,203,108
PORT GAMBLE 450,KP,236,153
RAINIER 067,KP,249,170
BRASCH 213,KP,222,210
GAMBLEWOOD 454,KP,137,132
CENTRAL VALLEY 128,KP,261,188
HOLLY 158,KP,62,48
BURLEY 218,KP,233,164
LUOTO 122,KP,121,94
POINT JEFFERSON 419,KP,174,111
BREMERTON 296,KP,0,0
MORKEN 161,KP,296,213
INDIANOLA 420,KP,289,204
TWIN LAKES 285,KP,55,53
BELFAIR VALLEY 280,KP,84,59
KARIOTIS 143,KP,237,177
TRACYTON 170,KP,169,111
ROCKY POINT 083,KP,288,199
HERITAGE PARK 112,KP,162,127
BREMERTON 294,KP,0,0
ORCA 421,KP,136,138
MINTERBROOK 216,KP,94,95
ALASKA 221,KP,281,189
GLENWOOD 232,KP,299,214
MEADOWMEER 321,KP,81,88
APEX 162,KP,259,177
OLALLA 265,KP,160,127
WINSTON 129,KP,98,65
RIDGETOP 149,KP,172,131
EAGLE CREST 164,KP,237,210
LOCKER 246,KP,276,236
BROWNSVILLE 105,KP,323,201
KINGSTON 430,KP,320,253
VENA 173,KP,181,174
CEDAR 211,KP,199,152
BREMERTON 041,KP,163,117
BREMERTON 040,KP,205,119
POULSBO 401,KP,292,230
BREMERTON 046,KP,166,169
CAMBRIDGE 144,KP,147,115
BREMERTON 056,KP,186,136
TWIN SPITS 417,KP,276,176
BIG VALLEY 441,KP,163,121
CHARLAND 110,KP,163,137
SKIFF POINT 328,KP,162,156
LOST HIGHWAY 157,KP,226,188
TRIDENT 101,KP,50,32
WILSON CREEK 242,KP,212,141
SYLVAN 066,KP,209,171
PORT ORCHARD 201,KP,198,132
EVERGREEN 257,KP,327,236
FERNWOOD 230,KP,245,209
MANCHESTER 255,KP,208,116
SUNNYSLOPE 281,KP,172,157
LOFALL 442,KP,313,217
BLAKELY 310,KP,156,144
PORT ORCHARD 207,KP,212,143
WOODMERE 127,KP,238,207
BREMERTON 058,KP,226,132
UELAND 082,KP,0,0
WATERMAN 295,KP,166,93
BREMERTON 054,KP,130,90
PIONEER 152,KP,275,195
SILVERDALE 160,KP,223,173
BREMERTON 051,KP,12,24
BREMERTON 052,KP,136,96
BREMERTON 053,KP,277,198
SEABECK 155,KP,308,225
PARKWOOD 270,KP,243,189
ISLAND LAKE 427,KP,209,165
BREMERTON 109,KP,12,21
BREIDABLIK 410,KP,226,174
BREMERTON 107,KP,0,0
WHISPERING PINES 227,KP,243,168
FRAGARIA 259,KP,210,137
LOVGREN 332,KP,124,98
BANDIX 263,KP,244,182
FORT WARD 318,KP,212,160
FUSON 175,KP,221,128
HARPER 240,KP,196,154
WILLOCK 258,KP,194,135
LIBERTY 325,KP,178,145
PORT ORCHARD 203,KP,115,86
SPRING CREEK 217,KP,141,130
MULLENIX 260,KP,258,192
LARSON 153,KP,265,215
FINCH 314,KP,168,105
ROLLING BAY 330,KP,196,167
BREMERTON 029,KP,163,135
TOTTEN 463,KP,189,126
WOODRIDGE 222,KP,124,104
MANZANITA 336,KP,136,102
OLD FRONTIER 106,KP,281,177
BREMERTON 022,KP,153,107
NEBRASKA 223,KP,221,166
EAGLE HARBOR 317,KP,150,139
NEW BROOKLYN 322,KP,122,124
TOLO 333,KP,185,152
FERNCLIFF 315,KP,252,249
S&#39;KLALLAM 418,KP,27,6
KITSAP LAKE 085,KP,5,20
PORT ORCHARD 202,KP,255,171
NAVY YARD CITY 095,KP,209,159
PORT ORCHARD 200,KP,116,83
SANTA FE 148,KP,191,141
PORT ORCHARD 206,KP,0,0
FIRGLADE 137,KP,139,121
PORT ORCHARD 204,KP,182,144
PORT ORCHARD 205,KP,495,285
HUNTER 219,KP,176,136
CONIFER 271,KP,132,95
PORT ORCHARD 208,KP,0,0
PORT ORCHARD 209,KP,0,0
KEYPORT 425,KP,267,190
SCANDIA 455,KP,236,145
BREMERTON 293(*),KP,0,0
PORT MADISON 340,KP,163,127
ALPINE 111,KP,206,132
LUNDBERG 250,KP,215,194
POINT NO POINT 416,KP,344,239
VINLAND 412,KP,264,189
LINCOLN 440,KP,180,155
BREMERTON 032,KP,29,23
