Row Label,County,Brad Hawkins
Electric City 007,GR,241
Coulee Cty Rur N 072,GR,62
Ephrata Rural ,GR,208
Hartline 019,GR,50
Soap Lake Rur W ,GR,256
Soap Lake 1 047,GR,143
Grand Coulee 018,GR,204
Coulee City 005,GR,168
North Banks Lake 037,GR,53
Hartline Rural N 073,GR,28
Total,GR,1717
Quincy Rural N 042,GR,174
Soap Lake 2 052,GR,130
