Row Label,County,Mary E. Fairhurst
LEMOLO 435,KP,274
ANNAPOLIS 212,KP,416
MEADOWDALE 150,KP,232
BELLA VISTA 413,KP,252
LIGHTHOUSE POINT 292,KP,337
CLEAR CREEK 120,KP,301
AUGUSTA 461,KP,206
HEINS CREEK 297,KP,0
HANSVILLE 415,KP,198
TORVANGER 345,KP,391
BREMERTON 012,KP,75
BREMERTON 013,KP,263
BREMERTON 015,KP,308
BREMERTON 016,KP,75
WINSLOW 304,KP,562
HIGHLAND 423,KP,193
LAKE HELENA 214,KP,287
DICKENSON 282,KP,327
UNIVERSITY POINT 142,KP,238
SANDY HOOK 464,KP,233
BARKER CREEK 147,KP,384
BAYVIEW 087,KP,85
ISLAND CENTER 320,KP,325
EVERGREEN RIDGE 426,KP,124
REGAL 131,KP,94
COUNTRY CLUB 113,KP,190
POULSBO 405,KP,362
POULSBO 404,KP,394
POULSBO 407,KP,273
POULSBO 406,KP,421
SEDGWICK 272,KP,381
BERRY LAKE 279,KP,199
POULSBO 403,KP,313
EBBERT 247,KP,339
ILLAHEE 065,KP,382
COTTONWOOD 125,KP,302
MARION 090,KP,70
OLYMPIC 099,KP,45
GILBERTON 140,KP,270
STRIEBEL 453,KP,307
AZALEA 302,KP,403
YUKON 241,KP,236
FOREST RIDGE 126,KP,207
FAIRVIEW 135,KP,196
ANDERSON CREEK 163,KP,267
PORT GAMBLE 450,KP,326
RAINIER 067,KP,362
BRASCH 213,KP,346
GAMBLEWOOD 454,KP,220
CENTRAL VALLEY 128,KP,378
HOLLY 158,KP,101
BURLEY 218,KP,315
LUOTO 122,KP,179
POINT JEFFERSON 419,KP,250
BREMERTON 296,KP,0
MORKEN 161,KP,437
INDIANOLA 420,KP,437
TWIN LAKES 285,KP,91
BELFAIR VALLEY 280,KP,100
KARIOTIS 143,KP,360
TRACYTON 170,KP,228
ROCKY POINT 083,KP,397
HERITAGE PARK 112,KP,222
BREMERTON 294,KP,0
ORCA 421,KP,243
BREMERTON 293,KP,2
MINTERBROOK 216,KP,161
ALASKA 221,KP,397
GLENWOOD 232,KP,416
MEADOWMEER 321,KP,160
APEX 162,KP,369
OLALLA 265,KP,226
WINSTON 129,KP,147
RIDGETOP 149,KP,258
EAGLE CREST 164,KP,387
LOCKER 246,KP,404
BROWNSVILLE 105,KP,439
KINGSTON 430,KP,485
VENA 173,KP,310
CEDAR 211,KP,295
BREMERTON 041,KP,253
BREMERTON 040,KP,271
POULSBO 401,KP,457
BREMERTON 046,KP,287
CAMBRIDGE 144,KP,219
BREMERTON 056,KP,258
TWIN SPITS 417,KP,356
BIG VALLEY 441,KP,234
CHARLAND 110,KP,247
SKIFF POINT 328,KP,302
LOST HIGHWAY 157,KP,335
TRIDENT 101,KP,80
WILSON CREEK 242,KP,278
SYLVAN 066,KP,329
PORT ORCHARD 201,KP,268
EVERGREEN 257,KP,452
FERNWOOD 230,KP,371
MANCHESTER 255,KP,254
SUNNYSLOPE 281,KP,260
LOFALL 442,KP,453
