Row Label,County,Jim Honeyford,Gabriel Munoz
4303,YA,127,21
3101,YA,488,113
0140,YA,150,87
0308,YA,0,0
0307,YA,18,2
0306,YA,245,118
0305,YA,7,9
0304,YA,76,50
0303,YA,144,92
0302,YA,159,90
0301,YA,45,36
0124,YA,40,55
2701,YA,558,159
1701,YA,136,132
1702,YA,26,7
1703,YA,187,72
1704,YA,0,0
1705,YA,305,117
1706,YA,150,155
1708,YA,151,94
4401,YA,175,50
4402,YA,201,44
0111,YA,182,59
5016,YA,127,32
3002,YA,77,23
4112,YA,437,127
3306,YA,169,22
3304,YA,338,84
3303,YA,143,37
3301,YA,226,67
4802,YA,496,138
2301,YA,170,90
2303,YA,167,83
3401(*),YA,0,0
2306,YA,260,108
5001,YA,79,25
0104,YA,104,117
0103,YA,72,96
4624,YA,186,30
4111,YA,377,83
3311,YA,595,128
4605(*),YA,0,0
0901,YA,54,93
0175,YA,158,57
4628,YA,96,17
4105,YA,143,50
4106,YA,277,61
4109,YA,415,113
4108,YA,224,66
0501,YA,119,139
1502,YA,333,104
1503,YA,344,74
1501,YA,194,82
1504,YA,373,99
3602,YA,518,114
0162,YA,181,63
4608,YA,104,32
4606,YA,309,78
4604,YA,157,34
5101,YA,152,35
4602,YA,151,34
4603,YA,384,88
3504(*),YA,0,0
3206,YA,406,90
3601(*),YA,0,0
1103,YA,220,71
1101,YA,201,98
2103,YA,89,231
2101,YA,199,211
3902,YA,130,31
4618,YA,221,50
4615,YA,252,64
4616,YA,146,12
3104,YA,237,82
3105,YA,39,6
4002,YA,101,36
4003,YA,429,105
4005,YA,224,40
3103,YA,118,93
2501,YA,85,230
4504,YA,233,67
5202,YA,0,0
4501,YA,83,21
0156,YA,142,68
0155,YA,308,110
0150,YA,119,94
Total,YA,16794,6288
3106,YA,292,63
0158,YA,126,64
