Row Label,County,Roger Freeman,Jack Dovey
30-709(*),PI,0,0
30-713(*),PI,0,0
30-708,PI,192,184
30-701,PI,5,13
Total,PI,833,842
30-707,PI,112,119
30-706,PI,202,195
30-705,PI,134,131
