Row Label,County,Hans Zeiger,Eric Renz
25-277,PI,392,169
25-204,PI,308,223
25-276,PI,8,11
25-280,PI,444,167
25-259,PI,360,214
25-263,PI,361,135
25-260,PI,393,207
25-261,PI,274,143
25-248,PI,466,232
25-220(*),PI,0,0
25-264,PI,391,209
25-265,PI,327,236
25-244,PI,447,260
25-246,PI,24,26
25-247,PI,274,210
25-240,PI,135,101
25-241,PI,130,134
25-242,PI,437,191
25-243,PI,234,223
25-208,PI,447,265
25-209,PI,407,221
25-269,PI,265,124
25-228,PI,263,242
25-279,PI,336,136
25-226,PI,248,128
25-201,PI,410,249
25-202,PI,317,206
25-203,PI,388,238
25-222,PI,231,165
25-205,PI,319,245
25-206,PI,186,172
25-221,PI,402,173
25-271,PI,382,174
25-281,PI,270,106
25-282,PI,401,176
25-283,PI,193,106
25-267,PI,210,70
25-285,PI,567,184
25-286,PI,352,190
25-287,PI,3,3
25-288,PI,416,151
25-284,PI,196,92
25-254,PI,150,149
25-278,PI,148,60
25-245(*),PI,0,0
25-289,PI,0,0
25-274,PI,531,177
25-290,PI,35,20
25-268,PI,191,102
25-275(*),PI,0,0
25-217,PI,443,201
25-216,PI,239,140
25-215,PI,345,233
25-258,PI,386,229
25-213,PI,446,234
25-212,PI,388,208
25-211,PI,349,187
25-210,PI,528,240
25-253,PI,202,162
25-252,PI,276,199
25-251,PI,341,178
25-250,PI,171,72
25-257,PI,322,197
25-256,PI,285,214
25-255,PI,206,140
25-218,PI,411,213
25-262,PI,379,185
25-239,PI,396,196
25-238,PI,170,139
25-270,PI,403,164
25-235,PI,12,7
25-237(*),PI,0,0
25-236,PI,223,183
25-273,PI,279,125
25-230,PI,64,74
25-272,PI,407,199
25-291,PI,87,40
25-227,PI,159,130
25-266,PI,491,176
Total,PI,23760,12861
25-293,PI,368,202
25-292,PI,399,221
25-219(*),PI,0,0
25-249,PI,382,205
