Row Label,County,Craig Morrison
Ephrata 7 012,GR,237
Hartline Rural S 020,GR,22
Moses Lake 5 029,GR,263
Ephrata 9 013,GR,407
Beverly 002,GR,21
East Wahluke 061,GR,65
Royal City 044,GR,92
Moses Lake 2 067,GR,217
Marlin 024,GR,16
Lakeview Park 021,GR,214
Moses Lake 9  068,GR,269
Coulee City 005,GR,153
North Banks Lake 037,GR,45
Ephrata Rural E,GR,226
Moses Lake 7 033,GR,329
George 015,GR,32
Mae 023,GR,650
Ruff 045,GR,39
Cascade Valley 058,GR,431
Wilson Crk Rural 056,GR,24
Electric City 007,GR,236
Coulee Cty Rur N 072,GR,56
Moses Lake 1 066,GR,191
Smyrna 2 060,GR,23
Hartline 019,GR,41
Moses Lake 4 031,GR,237
Cascade Fairgrnd 004,GR,200
Warden 050,GR,158
Ephrata 5 008,GR,214
Quincy 4 040,GR,118
Ephrata 4 011,GR,331
Quincy 1 039,GR,205
Stratford 049,GR,38
Westslope 1 053,GR,77
McConihe 1 028,GR,131
Marlin Rural 025,GR,29
Coulee Cty Rur W 006,GR,71
Coulee Cty Rur E 062,GR,18
Moses Lake 6 032,GR,376
Wheeler 2 070,GR,483
Longview 022,GR,313
Greenfield 065,GR,44
Mattawa Rural 027,GR,326
Airport 2 057,GR,159
Soap Lake 1 047,GR,144
Airport 1 001,GR,195
Grand Coulee 018,GR,188
Moses Lake 12 036,GR,302
Gloyd 017,GR,213
Hartline Rural N 073,GR,26
Smyrna 1 046,GR,104
Westslope 2 059,GR,68
Moses Lake 3 030,GR,391
Mattawa 026,GR,36
O Sullivan Dam 2 069,GR,522
Soap Lake 2 052,GR,128
Quincy Rural S 064,GR,405
Ephrata Rural ,GR,202
Ephrata 3 010,GR,182
Wheeler 1 054,GR,178
Warden Rural 051,GR,306
George Rural 016,GR,387
McConihe 2 063,GR,114
Quincy 6 041,GR,333
Block 71 003,GR,414
Wilson Creek 055,GR,56
Quincy Rural N 042,GR,148
Moses Lake 8 034,GR,408
O Sullivan Dam 1 038,GR,410
Soap Lake Rur E ,GR,66
Royal Camp 043,GR,346
Total,GR,15117
Soap Lake Rur W ,GR,258
Ephrata 2 009,GR,265
Moses Lake 11 035,GR,495
