Row Label,County,Shelly Short,James R. Apker
JENNINGS LOOP,OK,25,4
TUNK CREEK,OK,75,12
NORTH TONASKET,OK,62,19
GREENACRES,OK,30,7
OMAK #21,OK,28,3
BUCKHORN MTN,OK,44,9
OMAK #23,OK,21,3
OMAK #22,OK,41,7
OMAK #24,OK,27,10
ELMWAY,OK,37,4
WEST RIVER,OK,33,3
TEAL LAKE,OK,31,6
NICHOLS,OK,26,2
OROVILLE #8(*),OK,0,0
OMAK RIVER,OK,49,4
AENEAS CREEK,OK,46,10
OMAK #19,OK,32,4
PINE CONE,OK,29,7
ASTON,OK,34,3
SHORELINE(*),OK,0,0
EASTLAKE(*),OK,0,0
WHISKY MTN,OK,14,2
LIME BELT,OK,24,9
ELLISFORDE,OK,59,12
AENEAS LAKE,OK,61,14
OMAK #6,OK,36,10
OMAK #7,OK,38,7
OMAK #4,OK,34,4
OMAK #5,OK,41,14
OMAK #2,OK,38,16
OMAK #3,OK,17,5
OMAK #1,OK,24,4
OMAK #8,OK,13,12
ANTOINE PEAK,OK,22,6
OKANOGAN #2,OK,46,10
OKANOGAN #3,OK,21,5
OKANOGAN #1,OK,34,5
OKANOGAN #6,OK,42,13
OKANOGAN #7,OK,20,2
OKANOGAN #4,OK,42,9
BONAPARTE,OK,32,3
OKANOGAN #8,OK,32,7
OKANOGAN #9,OK,45,3
KIPLING,OK,34,8
LONGANECKER,OK,27,10
NORTH OMAK,OK,26,8
PALMER LAKE,OK,46,3
OMAK #10,OK,47,5
MOLSON,OK,53,16
YARNELL,OK,27,6
HAVILLAH,OK,62,19
WHITESTONE,OK,37,6
CHEWILIKEN,OK,22,9
MYERS CREEK,OK,22,4
OMAK #20,OK,47,11
PINE CREEK,OK,41,3
ANTOINE CREEK,OK,32,9
CHESAW,OK,35,12
FRONTAGE(*),OK,0,0
CAYUSE MTN,OK,24,8
SOURDOUGH,OK,59,10
HIGHWAY,OK,17,5
SOUTH OROVILLE,OK,65,5
SIMILKAMEEN,OK,27,5
CAPE LABELLE,OK,30,4
BLUE LAKE,OK,44,10
BOUNDARY,OK,46,11
OMAK #9,OK,67,7
OROVILLE #10,OK,30,13
LAKE ANDREWS,OK,38,10
ENGH,OK,59,11
RIVERSIDE RURAL,OK,77,21
SPECTACLE LAKE,OK,46,7
OROVILLE #9,OK,29,5
OROVILLE #4,OK,34,4
OROVILLE #5,OK,36,11
OROVILLE #6,OK,25,4
OROVILLE #7,OK,30,3
OROVILLE #1,OK,40,7
OROVILLE #2,OK,24,4
OROVILLE #3,OK,23,6
COPPLE,OK,53,9
OKANOGAN #5,OK,42,7
TORODA,OK,54,13
HORSESHOE LAKE,OK,34,12
CONCONULLY CITY,OK,63,19
COLEMAN BUTTE,OK,47,6
JOHNSON CREEK,OK,46,13
TONASKET CREEK,OK,30,9
DUFFYS MTN,OK,27,6
LOOMIS,OK,53,7
RIVERSIDE CITY,OK,53,15
BEEMAN,OK,70,10
CRUMBACHER,OK,71,3
OMAK #11,OK,66,6
OMAK #12,OK,47,8
OMAK #13,OK,34,6
OMAK #14,OK,25,4
OMAK #15,OK,52,11
OMAK #16,OK,44,2
OMAK #17,OK,57,17
PICKENS MTN,OK,32,11
EDER,OK,47,6
WANNACUT,OK,60,20
JANIS,OK,32,2
SIWASH CREEK,OK,34,18
CHEROKEE,OK,54,9
RANCHES,OK,14,6
TONASKET #5,OK,31,8
TONASKET #4,OK,38,4
TONASKET #7,OK,41,10
LEESE,OK,20,7
TONASKET #1,OK,26,5
OKANOGAN #11,OK,43,6
TONASKET #3,OK,15,3
TONASKET #2,OK,29,12
ANGLIN,OK,56,17
SAND FLAT,OK,64,4
TONASKET RURAL,OK,26,10
BODIE,OK,19,2
AENEAS,OK,32,13
WESTLAKE,OK,33,2
TONASKET #6,OK,17,9
OKANOGAN #10,OK,54,6
OKANOGAN #12,OK,25,3
WAUCONDA,OK,50,14
OKANOGAN #13,OK,24,3
NIGHTHAWK,OK,14,4
CONCONULLY RURAL,OK,34,9
SAN POIL,OK,62,23
OMAK #18,OK,17,12
GUSTY RIDGE,OK,35,3
Total,OK,4993,1037
