Row Label,County,Eddie Yoon,Charles W. Johnson
31-900,PI,55,184
29-680,PI,74,249
31-902,PI,129,353
31-904,PI,15,45
31-905,PI,89,216
31-906,PI,40,149
31-907,PI,72,220
31-908,PI,77,170
31-909,PI,67,203
29-640,PI,108,248
29-641,PI,140,227
29-642,PI,143,261
29-643,PI,10,23
29-648,PI,3,4
29-649,PI,40,71
25-239,PI,116,361
25-238,PI,78,187
31-901,PI,6,39
25-235,PI,2,16
25-236,PI,75,270
25-230,PI,48,73
28-588,PI,110,318
28-589,PI,104,331
28-586,PI,109,276
28-587,PI,70,228
28-584,PI,75,219
28-585,PI,113,350
28-582,PI,35,137
28-583,PI,66,198
28-580,PI,38,36
28-581,PI,72,175
25-280,PI,128,367
25-281,PI,66,243
25-282,PI,130,346
02-149,PI,134,347
25-284,PI,65,165
25-285,PI,148,458
25-286,PI,119,300
25-287,PI,3,2
25-288,PI,145,314
25-289,PI,0,0
02-140,PI,113,352
02-141,PI,109,320
02-146,PI,77,266
02-147,PI,72,261
02-144,PI,119,291
02-145,PI,109,314
27-439,PI,152,240
27-438,PI,134,253
27-435,PI,131,314
27-434,PI,112,301
27-437,PI,139,252
27-436,PI,143,303
27-431,PI,45,148
27-430,PI,161,291
27-433,PI,139,309
27-432,PI,125,315
26-339,PI,11,79
26-338,PI,75,356
26-333,PI,106,398
26-332,PI,106,360
26-331,PI,37,115
26-330,PI,71,272
26-337,PI,126,404
26-336,PI,139,417
26-335,PI,99,306
26-334,PI,107,387
28-515,PI,112,478
28-517,PI,158,404
28-516,PI,133,401
25-237(*),PI,0,0
28-519,PI,132,405
28-518,PI,149,359
31-869,PI,32,131
31-865,PI,22,83
31-861,PI,20,69
26-348,PI,123,365
26-349,PI,110,393
26-346,PI,110,303
26-347,PI,104,329
26-344,PI,12,48
26-345,PI,89,410
26-342,PI,138,408
26-343,PI,93,371
26-340,PI,139,429
26-341,PI,122,348
25-271,PI,116,335
25-270,PI,140,320
25-273,PI,82,231
25-272,PI,110,360
25-274,PI,134,435
25-277,PI,131,326
25-276,PI,5,11
25-279,PI,92,289
25-278,PI,51,122
29-682,PI,107,262
29-683,PI,91,283
29-619,PI,115,229
29-618,PI,124,185
29-617,PI,112,251
29-616,PI,110,258
29-615,PI,128,298
29-614,PI,120,284
29-613,PI,109,287
29-612,PI,64,128
29-611,PI,26,59
29-610,PI,121,242
28-559,PI,100,346
28-558,PI,87,295
28-551,PI,154,450
28-550,PI,102,255
28-553,PI,129,398
28-552,PI,141,406
28-555,PI,151,434
28-554,PI,111,401
28-557,PI,118,285
28-556,PI,97,317
02-115,PI,112,225
02-114,PI,55,167
02-117,PI,123,304
02-116,PI,129,307
02-111,PI,92,244
25-291,PI,24,83
02-113,PI,71,206
02-112,PI,65,187
02-143,PI,70,242
25-290,PI,9,26
02-119,PI,69,186
02-118,PI,79,196
31-823,PI,47,195
31-822,PI,72,216
31-827,PI,22,77
31-826,PI,97,291
31-825,PI,88,230
31-829,PI,89,220
31-828,PI,79,250
26-302,PI,162,502
26-303,PI,130,487
26-301,PI,51,123
26-304,PI,148,571
26-305,PI,160,492
31-892,PI,55,191
31-890,PI,33,175
