Row Label,County,Jaime Herrera Beutler,Bob Dingethal
669,CR,385,197
668,CR,345,299
667,CR,271,194
664,CR,347,245
663,CR,210,196
662,CR,358,251
660,CR,303,292
130,CR,226,421
571,CR,363,199
490,CR,318,161
491,CR,33,20
626,CR,336,204
692,CR,393,222
693,CR,202,131
690,CR,355,299
691,CR,351,207
696,CR,398,311
697,CR,435,302
694,CR,109,106
695,CR,376,255
698,CR,400,176
699,CR,357,189
450,CR,427,316
540,CR,502,204
340,CR,304,280
400,CR,167,171
595(*),CR,0,0
930,CR,413,217
452,CR,304,254
935,CR,419,206
570,CR,417,192
678,CR,257,200
679,CR,227,163
674,CR,275,246
675,CR,251,173
677,CR,381,246
670,CR,323,315
672,CR,285,205
455,CR,275,159
120,CR,284,435
575,CR,136,47
914,CR,391,211
917,CR,247,154
528,CR,442,170
910,CR,335,207
537,CR,176,70
415,CR,231,212
535,CR,577,211
410,CR,372,345
913,CR,445,246
298,CR,218,149
530,CR,193,85
296,CR,223,192
370,CR,233,205
294,CR,211,174
912,CR,281,215
925,CR,364,159
290,CR,306,273
538,CR,247,71
591,CR,569,273
590,CR,540,264
593,CR,460,212
592,CR,508,269
594,CR,15,6
597,CR,59,16
200,CR,216,402
598,CR,12,8
629,CR,342,181
700,CR,68,37
190,CR,310,360
985,CR,262,224
390,CR,356,325
110,CR,218,463
113,CR,150,158
112,CR,26,33
250,CR,341,353
536,CR,258,114
628,CR,365,224
524,CR,51,26
525,CR,283,137
527,CR,378,152
520,CR,223,132
521,CR,8,6
522,CR,153,79
523,CR,18,2
420,CR,297,288
423,CR,247,201
255,CR,312,259
425,CR,270,180
424,CR,385,281
360,CR,322,294
426,CR,428,345
586,CR,333,159
587,CR,335,156
449,CR,440,356
448,CR,418,337
582,CR,325,136
583,CR,346,135
580,CR,273,148
581,CR,196,95
441,CR,355,239
440,CR,353,261
447,CR,462,296
446,CR,376,200
445,CR,445,303
444,CR,407,369
245,CR,373,281
920,CR,326,188
108,CR,222,378
240,CR,425,325
102,CR,239,246
100,CR,227,455
615,CR,200,92
106,CR,220,331
649,CR,323,179
104,CR,286,348
903,CR,342,238
900,CR,347,216
905,CR,398,222
641,CR,131,107
640,CR,339,221
643,CR,311,209
642,CR,173,95
645,CR,411,321
644,CR,348,298
647,CR,254,177
646,CR,168,108
436,CR,192,142
510,CR,306,134
434,CR,259,184
435,CR,261,177
515,CR,487,227
430,CR,230,186
588,CR,236,114
579,CR,11,13
578,CR,35,24
627,CR,356,202
338,CR,328,245
625,CR,464,174
624,CR,94,42
335,CR,253,210
451,CR,330,264
337,CR,286,259
453,CR,296,261
577,CR,594,200
330,CR,340,257
456,CR,471,349
574,CR,16,13
600,CR,249,66
175,CR,206,201
257,CR,290,292
170,CR,196,286
543,CR,456,174
654,CR,236,165
656,CR,198,114
710,CR,143,115
180,CR,233,222
655,CR,283,227
652,CR,269,253
653,CR,257,211
650,CR,275,288
651,CR,242,175
505,CR,476,251
502,CR,339,214
503,CR,304,156
500,CR,438,247
659,CR,359,224
630,CR,283,170
631,CR,327,337
632,CR,193,122
633,CR,283,224
634,CR,313,198
635,CR,268,168
636,CR,310,177
560,CR,400,221
639,CR,281,227
545,CR,297,139
460,CR,459,356
566,CR,252,148
225,CR,403,412
160,CR,195,254
220,CR,203,231
964,CR,392,241
965,CR,385,226
966,CR,304,105
967,CR,248,129
960,CR,438,273
961,CR,66,42
962,CR,335,143
963,CR,267,200
968,CR,292,221
969,CR,198,157
658,CR,335,198
720,CR,296,163
947,CR,307,190
605,CR,484,123
150,CR,150,213
153,CR,229,179
606,CR,88,32
395,CR,81,116
603,CR,311,91
555,CR,422,290
550,CR,488,266
553,CR,330,236
584,CR,376,151
681,CR,268,196
959,CR,25,9
958,CR,59,43
951,CR,246,286
950,CR,316,227
953,CR,134,123
957,CR,100,34
638,CR,302,195
327,CR,396,236
585,CR,501,210
325,CR,273,177
620,CR,487,210
147,CR,264,233
618,CR,469,222
563,CR,406,233
613,CR,214,81
610,CR,580,264
617,CR,421,175
565,CR,297,196
511,CR,23,13
648,CR,278,216
487,CR,198,105
485,CR,315,151
673,CR,355,309
483,CR,496,355
573,CR,490,251
480,CR,492,342
686,CR,255,183
432,CR,261,189
576,CR,5,3
940,CR,362,202
680,CR,278,227
470,CR,406,380
689,CR,372,228
688,CR,299,207
350,CR,271,219
685,CR,89,71
687,CR,323,197
Total,CR,72877,49710
572,CR,504,247
596(*),CR,0,0
683,CR,304,240
682,CR,294,224
