Row Label,County,Douglas R. Aubertin
SHERMAN,FE,134
REPUBLIC 2,FE,133
REPUBLIC 1,FE,156
LAMBERT,FE,58
HALL CREEK,FE,66
CURLEW,FE,19
STORM KING,FE,161
TORODA,FE,59
BOYDS,FE,98
MALO,FE,116
SOUTH LAKE,FE,100
KETTLE RIVER,FE,140
KEWA,FE,83
BELCHER,FE,61
KELLER,FE,97
TROUT CREEK,FE,172
Total,FE,1981
ORIENT,FE,75
SAN POIL,FE,181
INCHELIUM,FE,72
