Row Label,County,Brian Dansel,Tony Booth
PCT 7023,SP,245,87
PCT 7024,SP,382,171
PCT 7025,SP,310,107
PCT 7026,SP,338,104
PCT 7027,SP,233,107
PCT 7028,SP,469,139
PCT 7029,SP,272,130
PCT 7008,SP,365,188
PCT 7009,SP,433,174
PCT 7006,SP,323,152
PCT 7007,SP,268,147
PCT 7004,SP,315,155
PCT 7005,SP,434,226
PCT 7002,SP,237,100
PCT 7003,SP,341,138
PCT 7000,SP,425,189
PCT 7001,SP,245,113
PCT 7033,SP,203,70
PCT 7301,SP,227,91
PCT 7300,SP,269,117
PCT 7302,SP,189,105
PCT 7011,SP,210,72
PCT 7010,SP,250,111
PCT 7013,SP,299,117
PCT 7012,SP,307,125
PCT 7015,SP,315,99
PCT 7014,SP,283,127
PCT 7017,SP,335,129
PCT 7016,SP,398,168
PCT 7019,SP,315,105
PCT 7018,SP,386,132
PCT 7031,SP,272,128
PCT 7030,SP,361,104
PCT 7036,SP,219,78
PCT 7035,SP,172,104
PCT 7034,SP,180,73
PCT 7020,SP,382,91
PCT 7021,SP,200,74
Total,SP,11982,4842
PCT 7032,SP,305,121
PCT 7022,SP,270,74
