Row Label,County,Lynda Wilson,Monica Stonier
579,CR,9,15
578,CR,35,25
627,CR,294,270
626,CR,289,251
669,CR,349,228
624,CR,82,53
555,CR,377,337
572,CR,437,309
571,CR,310,257
570,CR,348,259
577,CR,553,244
550,CR,435,324
553,CR,298,267
574,CR,14,16
633,CR,234,274
677,CR,293,327
667,CR,234,230
678,CR,211,248
679,CR,162,227
692,CR,329,287
693,CR,164,169
691,CR,282,285
664,CR,272,324
685,CR,78,82
694,CR,89,125
695,CR,309,321
674,CR,225,298
698,CR,330,254
668,CR,311,327
662,CR,297,321
656,CR,145,172
543,CR,405,222
654,CR,208,193
655,CR,220,286
652,CR,231,295
653,CR,205,268
629,CR,276,249
658,CR,253,278
659,CR,276,313
630,CR,217,237
632,CR,155,162
628,CR,303,291
634,CR,264,244
635,CR,223,213
636,CR,262,220
560,CR,343,273
441,CR,302,287
563,CR,347,291
617,CR,370,235
672,CR,233,255
576,CR,5,2
649,CR,258,240
575,CR,128,54
699,CR,282,266
487,CR,171,125
615,CR,180,108
483,CR,439,408
687,CR,272,251
573,CR,445,298
697,CR,366,371
638,CR,251,245
686,CR,202,233
710,CR,116,137
641,CR,121,120
640,CR,278,282
643,CR,256,268
689,CR,305,298
688,CR,231,268
720,CR,238,220
646,CR,141,141
436,CR,167,169
434,CR,236,203
Total,CR,18920,17747
681,CR,236,232
680,CR,238,271
683,CR,244,306
682,CR,226,293
