Row Label,County,Gene Healy 
02 - GRAYS RIVER,WK,85
07 - COLUMBIA,WK,169
10 - SOUTH CATHLAMET,WK,110
03 - ROSBURG / ALTOONA,WK,107
11 - NORTH CATHLAMET,WK,53
05 - ELOCHOMAN,WK,197
04 - SKAMOKAWA,WK,120
09 - WEST PUGET ISLAND,WK,208
08 - EAST PUGET ISLAND,WK,116
06 - ROSEDALE,WK,112
Total,WK,1345
01 - DEEP RIVER,WK,68
