Row Label,County,Jeanette A. Lineberry,Karl L. Williams
29-660,PI,262,180
29-661,PI,194,113
29-667,PI,224,153
29-664,PI,229,126
28-565,PI,249,124
28-566,PI,244,139
28-567,PI,259,175
28-560,PI,312,241
28-561,PI,185,117
28-562,PI,152,111
28-563,PI,85,60
28-568,PI,286,166
02-148,PI,254,177
02-120,PI,185,127
02-121,PI,220,158
02-122,PI,239,162
02-123,PI,225,178
02-124,PI,191,128
02-125,PI,174,123
02-126,PI,210,173
02-127,PI,138,86
02-128,PI,248,151
02-129,PI,134,103
31-807(*),PI,0,0
28-575(*),PI,0,0
31-824(*),PI,0,0
02-142,PI,180,129
26-315,PI,302,224
26-317,PI,313,191
26-316,PI,311,230
26-319,PI,287,152
26-318,PI,245,148
27-448,PI,11,4
27-449,PI,245,154
27-444,PI,190,171
27-445,PI,193,144
27-446,PI,191,151
27-447,PI,199,162
27-440,PI,217,197
27-441,PI,169,182
27-442,PI,165,110
27-443,PI,150,148
31-845,PI,155,115
31-844,PI,115,79
31-847,PI,88,64
31-846,PI,74,40
31-841,PI,90,82
31-840,PI,89,48
31-843,PI,125,85
31-842,PI,151,118
31-849,PI,73,42
31-848,PI,38,16
25-217,PI,278,208
25-216,PI,155,120
25-215,PI,263,177
25-213,PI,317,195
25-212,PI,263,195
25-211,PI,237,195
25-210,PI,351,225
25-219,PI,320,148
25-218,PI,253,209
31-881,PI,126,89
02-110,PI,137,92
29-671,PI,199,135
29-670,PI,238,186
29-675,PI,211,170
29-676,PI,210,145
29-635,PI,62,33
31-883,PI,231,144
29-637,PI,199,131
29-636,PI,266,169
29-633,PI,17,11
29-639,PI,185,156
29-638,PI,109,72
25-220(*),PI,0,0
31-882,PI,167,112
28-538,PI,229,206
28-537,PI,284,261
28-536,PI,286,218
28-535,PI,294,238
28-531,PI,273,193
28-530,PI,136,91
31-923,PI,129,77
31-809,PI,193,139
31-808,PI,168,140
31-801,PI,113,90
31-803,PI,174,146
31-802,PI,181,139
31-805,PI,190,138
31-804,PI,191,129
31-806,PI,221,180
25-293,PI,235,186
27-417,PI,228,270
27-416,PI,279,206
27-415,PI,291,246
27-414,PI,254,257
27-413,PI,247,219
27-412,PI,244,186
27-411,PI,270,315
27-410,PI,251,205
31-898,PI,216,141
31-899,PI,113,79
27-419,PI,239,237
27-418,PI,227,214
25-292,PI,280,173
25-259,PI,257,188
25-258,PI,259,216
25-253,PI,165,119
25-252,PI,212,171
25-251,PI,226,161
25-250,PI,96,81
25-257,PI,233,151
25-256,PI,244,166
25-255,PI,139,140
25-254,PI,151,89
Total,PI,93567,68447
29-679,PI,187,102
29-678,PI,165,109
25-228,PI,229,184
25-226,PI,170,128
25-227,PI,136,99
29-673,PI,231,157
29-672,PI,128,89
25-222,PI,201,122
29-674,PI,71,48
29-677,PI,232,125
25-221,PI,248,168
25-275(*),PI,0,0
30-708,PI,168,120
28-573,PI,150,114
28-572,PI,249,158
28-577,PI,6,7
28-576,PI,294,137
28-574,PI,51,37
28-579,PI,40,22
28-578,PI,44,41
02-139,PI,202,166
02-138,PI,294,181
02-137,PI,133,79
02-136,PI,43,32
02-135,PI,254,196
02-134,PI,273,162
02-133,PI,69,40
02-131,PI,255,190
02-130,PI,128,80
27-428,PI,212,183
27-429,PI,221,206
27-426,PI,211,244
27-427,PI,219,202
27-424,PI,237,227
27-425,PI,232,203
27-422,PI,285,307
27-423,PI,268,253
27-420,PI,229,326
27-421,PI,190,198
26-328,PI,247,163
26-329,PI,316,181
26-324,PI,320,173
26-325,PI,263,182
26-326,PI,309,215
26-327,PI,305,194
26-320,PI,289,177
26-321,PI,383,240
26-322,PI,321,224
26-323,PI,343,191
28-506,PI,289,236
28-507,PI,235,175
28-504,PI,259,206
28-505,PI,298,282
28-502,PI,287,231
28-503,PI,304,204
28-501,PI,274,244
31-893(*),PI,0,0
28-508,PI,121,106
28-509,PI,0,0
27-459,PI,132,101
27-458,PI,147,107
27-453,PI,134,133
27-452,PI,183,172
27-451,PI,173,155
27-450,PI,213,202
27-457,PI,177,172
27-456,PI,156,131
27-455,PI,173,154
27-454,PI,224,177
31-839,PI,19,10
31-873,PI,41,34
31-874,PI,0,0
31-875,PI,222,153
31-876,PI,15,9
31-877,PI,94,51
31-879,PI,32,38
25-283,PI,136,93
25-262,PI,259,155
25-263,PI,225,135
25-260,PI,264,183
25-261,PI,172,150
25-266,PI,289,194
25-267,PI,115,91
25-264,PI,242,213
25-265,PI,269,174
25-268,PI,115,102
25-269,PI,181,112
25-287(*),PI,0,0
29-600,PI,0,0
29-601,PI,175,133
29-602,PI,157,115
29-603,PI,182,146
29-604,PI,171,154
29-605,PI,162,129
29-606,PI,182,199
29-607,PI,218,207
29-608,PI,165,134
29-609,PI,133,108
29-657(*),PI,0,0
28-548,PI,233,152
28-549,PI,261,192
31-880,PI,75,49
28-542,PI,299,196
28-543,PI,233,176
28-540,PI,402,226
28-541,PI,275,187
28-546,PI,295,160
28-547,PI,331,262
28-545,PI,275,207
02-106,PI,278,151
30-709,PI,184,107
02-105,PI,96,50
02-101,PI,81,57
31-885,PI,86,49
30-701,PI,6,9
30-707,PI,94,85
30-706,PI,167,123
30-705,PI,95,104
31-884,PI,202,140
31-834,PI,158,106
31-835,PI,265,207
31-836,PI,187,116
31-837,PI,136,121
31-830,PI,78,58
31-887,PI,134,109
31-833,PI,171,140
30-713(*),PI,0,0
31-886,PI,169,143
31-838,PI,136,99
28-571(*),PI,0,0
27-462,PI,243,226
27-463,PI,208,141
27-460,PI,251,197
27-461,PI,297,193
27-466,PI,216,156
27-467,PI,192,169
27-464,PI,220,161
27-465,PI,209,127
31-888,PI,148,107
27-468,PI,213,134
