Row Label,County,Dave Hayes,Nick Petrish
CAMANO 08,IS,280,184
CAMANO 09,IS,438,254
S WHIDBEY 09,IS,369,421
S WHIDBEY 08,IS,242,427
N WHIDBEY 04,IS,552,205
N WHIDBEY 05,IS,292,98
N WHIDBEY 06,IS,257,131
N WHIDBEY 07,IS,390,147
S WHIDBEY 03,IS,419,447
S WHIDBEY 02,IS,360,431
S WHIDBEY 01,IS,382,459
CAMANO 03,IS,437,250
S WHIDBEY 07,IS,343,448
S WHIDBEY 06,IS,388,368
S WHIDBEY 05,IS,298,568
S WHIDBEY 04,IS,291,451
N WHIDBEY 01,IS,517,202
N WHIDBEY 03,IS,369,151
CAMANO 01,IS,332,206
C WHIDBEY 03,IS,422,365
C WHIDBEY 02,IS,466,351
C WHIDBEY 01,IS,320,131
COUPEVILLE,IS,350,420
C WHIDBEY 05,IS,386,386
C WHIDBEY 04,IS,416,367
N WHIDBEY 02,IS,496,155
N WHIDBEY 08,IS,334,107
N WHIDBEY 09,IS,286,119
CAMANO 02,IS,462,256
N WHIDBEY 11,IS,62,42
N WHIDBEY 10,IS,131,39
S WHIDBEY 10,IS,324,447
CAMANO 04,IS,622,304
CAMANO 05,IS,481,277
CAMANO 06,IS,431,273
CAMANO 11,IS,398,279
CAMANO 10,IS,304,219
CAMANO 07,IS,394,225
OAK HARBOR 08,IS,362,149
OAK HARBOR 09,IS,98,45
OAK HARBOR 01,IS,437,161
OAK HARBOR 02,IS,354,98
OAK HARBOR 03,IS,413,171
OAK HARBOR 04,IS,390,205
OAK HARBOR 05,IS,426,189
OAK HARBOR 06,IS,323,184
OAK HARBOR 07,IS,387,242
LANGLEY,IS,153,418
Total,IS,17384,12472
