Row Label,County,Ron Reynier
NORTH BONNEVILLE,SM,218
STABLER,SM,194
UNDERWOOD SOUTH,SM,137
WIND RIVER,SM,148
CAPE HORN,SM,132
SKAMANIA,SM,158
ROCK CREEK,SM,92
CARSON CREEK,SM,184
SOUTH STEVENSON,SM,38
SKYE,SM,116
HOT SPRINGS SOUTH,SM,112
NORTH STEVENSON,SM,128
CHENOWITH,SM,125
MT. PLEASANT,SM,105
BEAR PRAIRIE,SM,98
CASCADES,SM,6
NELSON CREEK,SM,71
HOT SPRINGS NORTH,SM,62
LEWIS RIVER,SM,8
UNDERWOOD NORTH,SM,160
UPPER WASHOUGAL,SM,125
WIND MOUNTAIN,SM,70
MAPLE VIEW,SM,183
Total,SM,2670
