Row Label,County,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
HAY 144(*),WT,0,0
ENDICOTT 147,WT,105,22
LACROSSE IN,WT,109,38
GARFIELD IN,WT,136,71
PULLMAN CITY 114,WT,15,26
PULLMAN 235,WT,206,292
FARMINGTON 103,WT,28,9
LAMONT IN,WT,17,6
PULLMAN 234,WT,47,43
PULLMAN CITY 133(*),WT,0,0
COLFAX CITY 139,WT,181,78
PULLMAN CITY 127,WT,17,31
MALDEN IN,WT,37,24
PULLMAN CITY 125,WT,9,15
PULLMAN CITY 124,WT,12,29
PULLMAN CITY 123,WT,116,217
PULLMAN CITY 122,WT,54,118
PULLMAN CITY 121,WT,94,112
PULLMAN CITY 120,WT,386,389
UNIONTOWN 109,WT,55,11
TEKOA 101,WT,50,13
PULLMAN CITY 129,WT,44,55
PULLMAN CITY 128,WT,29,45
COLFAX RURAL 137,WT,235,50
DUSTY 143,WT,50,5
ALBION 112,WT,71,54
COLFAX CITY 142,WT,261,100
PULLMAN CITY 126,WT,9,25
COLTON 108,WT,89,26
COLFAX CITY 141,WT,149,48
WILCOX 138,WT,117,18
PULLMAN 228,WT,14,20
ALBION IN,WT,100,84
COLFAX RURAL 136,WT,130,42
COLTON IN,WT,136,53
ROSALIA IN,WT,156,72
TEKOA IN,WT,166,72
MALDEN 150,WT,9,2
OAKESDALE IN,WT,147,49
ST JOHN IN,WT,184,56
LAMONT 148,WT,45,5
ROSALIA 151,WT,68,12
ST JOHN 149,WT,190,42
PULLMAN CITY 135,WT,101,207
ENDICOTT IN,WT,91,38
COLFAX CITY 140,WT,171,69
PULLMAN 218,WT,210,208
PULLMAN CITY 134,WT,12,23
OAKESDALE 102,WT,89,20
PULLMAN CITY 118,WT,155,228
PULLMAN CITY 119,WT,113,227
PULLMAN CITY 130,WT,27,70
PULLMAN CITY 131,WT,2,2
PULLMAN CITY 132,WT,0,0
PULLMAN RURAL 110,WT,304,167
PULLMAN RURAL 111,WT,88,49
THORNTON 152,WT,43,17
LACROSSE 146,WT,73,12
PULLMAN CITY 116,WT,259,280
PULLMAN CITY 117,WT,105,78
PALOUSE 107,WT,200,196
PULLMAN CITY 115,WT,5,6
PALOUSE RURAL 106,WT,140,77
UNIONTOWN IN,WT,73,39
HOOPER 145(*),WT,0,0
STEPTOE 104,WT,87,29
FARMINGTON IN,WT,56,23
PULLMAN CITY 113,WT,80,115
GARFIELD 105,WT,86,23
Total,WT,6688,4685
