Row Label,County,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
HARRINGTON IN,LI,96,49
BLUESTEM(*),LI,0,0
LONG LAKE,LI,62,10
S REARDAN RURAL,LI,44,11
DAVENPORT RURAL,LI,83,10
IRBY,LI,26,5
KELLER,LI,52,17
LAMONA,LI,22,5
HAWK CREEK,LI,50,29
EDWALL,LI,60,12
MOHLER,LI,47,9
EGYPT,LI,95,27
WEST LARENE,LI,22,19
SPRAGUE RURAL,LI,85,25
WHEATLAND,LI,77,17
LAYTON(*),LI,0,0
EAST LARENE,LI,68,23
GRAVELLE,LI,36,4
GRAND COULEE,LI,25,14
REARDAN IN,LI,164,47
PEACH,LI,95,37
N REARDAN RURAL,LI,35,14
HARR RURAL,LI,45,11
GOVAN,LI,13,8
LAKEVIEW,LI,92,29
SPRAGUE IN,LI,84,50
RIVERVIEW,LI,93,64
ENOS,LI,16,2
CANBY,LI,31,9
EARL,LI,26,8
WILBUR RURAL,LI,61,34
WAUKON,LI,38,9
WILBUR IN,LI,224,136
ALMIRA RURAL(*),LI,0,0
SHERMAN,LI,47,21
MONDOVI,LI,62,26
ALMIRA IN,LI,59,40
SPRING CREEK,LI,59,23
SEVEN BAYS,LI,40,30
CRESTON RURAL,LI,47,11
CRESTON IN,LI,46,46
ODESSA RURAL,LI,74,22
WILSON CREEK,LI,28,6
Total,LI,3275,1199
DOWNS,LI,20,3
DAVENPORT IN,LI,500,140
ODESSA IN,LI,255,80
