Row Label,County,Richard M. Leland,Timothy D. Trageser
PCT 3000(*),SP,0,0
PCT 3329,SP,166,112
PCT 4448,SP,216,101
PCT 3323,SP,220,144
PCT 3322,SP,174,123
PCT 3321,SP,210,155
PCT 3320,SP,155,129
PCT 3327,SP,131,123
PCT 3326,SP,84,66
PCT 4438,SP,368,166
PCT 4439,SP,270,143
PCT 3325,SP,246,178
PCT 4432,SP,271,126
PCT 4433,SP,177,93
PCT 4430,SP,304,124
PCT 3324,SP,221,128
PCT 4436,SP,369,143
PCT 4437,SP,306,145
PCT 4434,SP,389,142
PCT 4435,SP,299,110
PCT 7028,SP,352,130
PCT 7029,SP,234,115
PCT 7020,SP,273,96
PCT 7021,SP,177,65
PCT 7022,SP,207,95
PCT 7023,SP,232,80
PCT 7024,SP,348,115
PCT 7025,SP,235,118
PCT 7026,SP,272,114
PCT 7027,SP,224,85
PCT 3222,SP,87,89
PCT 3223,SP,111,118
PCT 3220,SP,274,150
PCT 3221,SP,261,141
PCT 6221,SP,298,158
PCT 6220,SP,275,148
PCT 6223,SP,342,116
PCT 6222,SP,255,63
PCT 6225,SP,335,106
PCT 6224,SP,260,112
PCT 3128,SP,184,122
PCT 3121,SP,192,102
PCT 3120,SP,199,114
PCT 3123,SP,168,108
PCT 3122,SP,211,139
PCT 3125,SP,165,106
PCT 3124,SP,210,107
PCT 3127,SP,183,83
PCT 3126,SP,44,25
PCT 9400,SP,17,10
PCT 4034,SP,202,86
PCT 4035,SP,179,51
PCT 4032,SP,169,66
PCT 4033,SP,206,78
PCT 4030,SP,179,58
PCT 4031,SP,204,76
PCT 6315,SP,147,77
PCT 6314,SP,246,131
PCT 6317,SP,189,94
PCT 6316,SP,108,59
PCT 6311,SP,215,103
PCT 6310,SP,235,109
PCT 6313,SP,269,132
PCT 6312,SP,209,108
PCT 6318,SP,234,90
PCT 6009,SP,221,93
PCT 6008,SP,221,97
PCT 9700,SP,86,33
PCT 6001,SP,227,107
PCT 6000,SP,176,73
PCT 6003,SP,284,111
PCT 6002,SP,70,31
PCT 6005,SP,237,97
PCT 6004,SP,192,61
PCT 6007,SP,221,104
PCT 6006,SP,258,93
PCT 3301,SP,354,147
PCT 3100(*),SP,0,0
PCT 3303,SP,229,127
PCT 3302,SP,244,132
PCT 3305,SP,199,101
PCT 3304,SP,237,138
PCT 3307,SP,172,84
PCT 3306,SP,256,112
PCT 3309,SP,239,125
PCT 3308,SP,220,144
PCT 6500,SP,63,21
PCT 6218,SP,254,102
PCT 6219,SP,275,103
PCT 6210,SP,347,126
PCT 6211,SP,201,101
PCT 6212,SP,163,92
PCT 6213,SP,272,161
PCT 6214,SP,223,118
PCT 6215,SP,260,183
PCT 6216,SP,249,114
PCT 6217,SP,292,142
PCT 3110,SP,147,92
PCT 3111,SP,160,74
PCT 3112,SP,12,7
PCT 3113,SP,221,123
PCT 3114,SP,216,121
PCT 3115,SP,212,105
PCT 3116,SP,209,130
PCT 3117,SP,147,84
PCT 3118,SP,140,74
PCT 3119,SP,168,104
PCT 4429,SP,320,118
PCT 4428,SP,185,100
PCT 4425,SP,209,82
PCT 4424,SP,265,89
PCT 4427,SP,351,142
PCT 4426,SP,147,61
PCT 4421,SP,200,93
PCT 4420,SP,136,46
PCT 4423,SP,381,116
PCT 4422,SP,299,105
PCT 7033,SP,163,92
PCT 7032,SP,243,145
PCT 7031,SP,216,131
PCT 7030,SP,282,106
PCT 7036,SP,224,67
PCT 7035,SP,156,82
PCT 7034,SP,160,88
PCT 6602,SP,248,116
PCT 6601,SP,223,89
PCT 6600,SP,228,124
PCT 6030,SP,336,170
PCT 6031,SP,208,79
PCT 6032,SP,160,49
PCT 6033,SP,368,139
PCT 6034,SP,290,110
PCT 6035,SP,151,63
PCT 6036,SP,154,77
PCT 6037,SP,138,62
PCT 4450,SP,141,64
PCT 4451,SP,216,84
PCT 4452,SP,207,88
PCT 4453,SP,275,94
PCT 4454,SP,189,83
PCT 4455,SP,229,74
PCT 3300,SP,206,121
PCT 4029,SP,231,96
PCT 4028,SP,306,145
PCT 4021,SP,286,132
PCT 4020,SP,275,144
PCT 4023,SP,102,51
PCT 4022,SP,241,88
PCT 4025,SP,242,89
PCT 4024,SP,191,69
