Row Label,County,Timothy W. Fitzgerald,Mary M. Wissink
PCT 3329,SP,121,240
PCT 4448,SP,225,162
PCT 3323,SP,200,245
PCT 3322,SP,165,198
PCT 3321,SP,233,246
PCT 3320,SP,165,186
PCT 3327,SP,127,194
PCT 3326,SP,72,108
PCT 4438,SP,444,195
PCT 4439,SP,301,189
PCT 3325,SP,180,351
PCT 4432,SP,308,196
PCT 4433,SP,209,142
PCT 4430,SP,312,211
PCT 3324,SP,179,252
PCT 4436,SP,503,180
PCT 4437,SP,314,228
PCT 4434,SP,477,232
PCT 4435,SP,361,169
PCT 7028,SP,465,190
PCT 7029,SP,258,184
PCT 7020,SP,370,152
PCT 7021,SP,196,105
PCT 7022,SP,237,160
PCT 7023,SP,234,165
PCT 7024,SP,454,182
PCT 7025,SP,295,159
PCT 7026,SP,330,167
PCT 7027,SP,239,159
PCT 3222,SP,74,163
PCT 3223,SP,100,213
PCT 3220,SP,287,272
PCT 3221,SP,285,242
PCT 6221,SP,378,241
PCT 6220,SP,361,205
PCT 6223,SP,384,203
PCT 6222,SP,322,90
PCT 6225,SP,325,229
PCT 6224,SP,260,227
PCT 3128,SP,161,204
PCT 3121,SP,191,165
PCT 3120,SP,171,198
PCT 3123,SP,191,146
PCT 3122,SP,216,248
PCT 3125,SP,159,186
PCT 3124,SP,188,190
PCT 3127,SP,134,219
PCT 3126,SP,49,29
PCT 9400,SP,28,10
PCT 4034,SP,261,120
PCT 4035,SP,249,75
PCT 4032,SP,213,99
PCT 4033,SP,258,120
PCT 4030,SP,205,121
PCT 4031,SP,296,102
PCT 6315,SP,148,135
PCT 6314,SP,264,191
PCT 6317,SP,212,146
PCT 6316,SP,126,99
PCT 6311,SP,251,157
PCT 6310,SP,244,175
PCT 6313,SP,255,257
PCT 6312,SP,258,152
PCT 6318,SP,271,130
PCT 6009,SP,196,172
PCT 6008,SP,241,144
PCT 9700,SP,103,54
PCT 6001,SP,275,174
PCT 6000,SP,249,91
PCT 6003,SP,384,145
PCT 6002,SP,92,38
PCT 6005,SP,247,176
