Row Label,County,Marianne Nichols
Usk,PE,148
Diamond Lk East,PE,91
Sacheen,PE,184
Diamond Lk,PE,308
Diamond Lk West,PE,135
Noble,PE,256
Furport,PE,204
Deer Valley South,PE,64
Cusick,PE,91
Ione East,PE,126
Kalispel Leclerc,PE,132
Tiger Dry Canyon,PE,227
Ruby,PE,22
Ione West,PE,154
Newport NE,PE,210
Metaline,PE,75
Newport SE,PE,94
Skookum,PE,51
Newport NW,PE,201
Newport SW,PE,158
Dalkena,PE,231
Deer Valley North,PE,175
Locke,PE,33
Fertile Valley South,PE,127
Fertile Valley North,PE,132
Camden,PE,117
Total,PE,3886
Metaline Falls,PE,140
