Row Label,County,Yes,No
Usk,PE,49,137
Diamond Lk East,PE,41,76
Sacheen,PE,138,135
Diamond Lk,PE,184,202
Diamond Lk West,PE,70,130
Noble,PE,132,207
Furport,PE,98,154
Deer Valley South,PE,25,51
Cusick,PE,60,79
Ione East,PE,41,133
Kalispel Leclerc,PE,59,96
Tiger Dry Canyon,PE,95,219
Ruby,PE,7,19
Ione West,PE,47,162
Newport NE,PE,113,144
Metaline,PE,31,72
Newport SE,PE,44,70
Skookum,PE,20,48
Newport NW,PE,117,127
Newport SW,PE,105,87
Dalkena,PE,97,207
Deer Valley North,PE,80,157
Locke,PE,8,34
Fertile Valley South,PE,46,127
Fertile Valley North,PE,42,148
Camden,PE,47,143
Total,PE,1866,3290
Metaline Falls,PE,70,126
