Row Label,County,Robert J. Waymire,BreAnna Mendoza
NORTH BONNEVILLE,SM,219,108
STABLER,SM,194,87
UNDERWOOD SOUTH,SM,84,86
WIND RIVER,SM,144,57
CAPE HORN,SM,100,118
SKAMANIA,SM,157,104
ROCK CREEK,SM,97,46
CARSON CREEK,SM,158,69
SOUTH STEVENSON,SM,37,18
SKYE,SM,85,87
HOT SPRINGS SOUTH,SM,117,40
NORTH STEVENSON,SM,119,69
CHENOWITH,SM,92,56
MT. PLEASANT,SM,76,78
BEAR PRAIRIE,SM,89,67
CASCADES,SM,6,3
NELSON CREEK,SM,62,40
HOT SPRINGS NORTH,SM,70,19
LEWIS RIVER,SM,10,4
UNDERWOOD NORTH,SM,127,86
UPPER WASHOUGAL,SM,102,84
WIND MOUNTAIN,SM,70,45
MAPLE VIEW,SM,177,82
Total,SM,2392,1453
