Row Label,County,Karen Keiser,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Martin Metz
KEN 33-3232,KI,120,502,16,204,0,1,67
DES 33-1078,KI,88,354,9,150,0,0,53
KEN 33-3629,KI,17,61,1,27,0,0,9
DES 33-2455,KI,116,579,9,175,0,1,49
KEN 33-0576,KI,88,394,6,165,0,1,70
KEN 33-0603,KI,184,649,17,347,0,0,146
DES 33-0016,KI,90,281,12,180,0,0,78
DES 33-0360,KI,218,582,18,373,0,0,137
DES 33-1146,KI,159,591,17,299,0,0,123
SET 33-1031,KI,230,925,25,398,0,1,142
DES 33-0363,KI,114,350,2,154,0,0,38
KEN 33-0575,KI,89,413,11,153,0,1,52
SET 33-3618,KI,65,325,9,125,0,1,50
SET 33-3081,KI,188,738,11,269,1,2,67
BUR 33-0701,KI,186,722,21,291,0,1,83
BUR 33-0705,KI,188,701,10,260,1,3,58
DES 33-0366,KI,218,593,13,343,0,0,112
DES 33-0437,KI,96,271,3,155,0,0,56
DES 33-0532,KI,80,271,13,148,0,0,55
BUR 33-0289,KI,123,412,11,188,0,2,52
RNT 33-1204,KI,261,851,21,461,0,2,177
KEN 33-3332,KI,233,863,19,437,0,0,185
RNT 33-3535,KI,168,697,26,282,0,0,88
RNT 33-0455,KI,180,767,14,339,0,1,144
SET 33-3069,KI,102,353,8,169,0,0,59
SET 33-3068,KI,124,464,11,228,0,0,93
DES 33-3131,KI,73,266,8,119,0,0,38
SET 33-3066,KI,112,491,9,179,0,1,57
KEN 33-3445,KI,114,375,6,188,0,1,67
SET 33-3064,KI,111,468,2,167,0,0,54
SET 33-3063,KI,108,330,12,173,0,0,53
SET 33-3062,KI,89,316,6,155,0,0,60
SET 33-3061,KI,100,340,10,166,0,0,56
FRAGER,KI,1,2,0,1,0,0,0
KEN 33-2426,KI,169,550,15,298,0,0,114
DES 33-1128,KI,99,289,10,174,0,1,64
BUR 33-0805,KI,183,591,11,270,0,1,75
BUR 33-0729,KI,191,864,23,320,2,0,104
BUR 33-1189,KI,163,639,24,283,0,0,96
KEN 33-0270,KI,60,271,3,87,0,0,24
GLENDALE,KI,186,764,17,289,0,0,86
NPK 33-0857,KI,284,684,25,483,0,1,173
NPK 33-0854,KI,163,436,21,302,0,0,118
NPK 33-0855,KI,145,390,14,231,0,1,71
NPK 33-0852,KI,170,442,17,296,0,1,108
NPK 33-0853,KI,114,338,7,243,0,1,121
NPK 33-0851,KI,177,525,17,338,0,0,144
SET 33-3074,KI,141,456,13,260,0,0,106
SET 33-3075,KI,60,289,9,116,0,0,47
SET 33-3076,KI,190,623,22,310,0,0,98
SET 33-3070,KI,100,340,8,173,0,0,65
SET 33-3073,KI,119,285,11,171,0,1,40
CONNAUGHT,KI,182,615,17,337,0,0,138
SET 33-3060,KI,83,373,8,134,0,1,42
DES 33-2637,KI,143,499,8,221,0,0,70
BUR 33-0957,KI,99,323,7,141,0,1,34
BUR 33-0818,KI,195,753,21,319,0,0,103
NPK 33-2644,KI,121,287,8,204,0,1,74
NPK 33-2474,KI,161,454,9,316,0,1,145
NPK 33-2646,KI,200,587,17,341,0,0,124
KEN 33-3378,KI,202,725,20,333,0,1,110
DES 33-0668,KI,76,273,10,123,0,0,37
DES 33-0297,KI,72,240,4,121,0,0,45
KEN 33-2443,KI,55,303,4,82,0,0,23
KEN 33-3172,KI,93,571,6,142,0,2,41
KEN 33-2618,KI,171,795,17,306,0,0,118
KEN 33-3174,KI,173,652,23,315,0,0,119
DES 33-2626,KI,154,331,6,272,0,0,112
DES 33-2627,KI,124,347,11,229,0,1,93
DES 33-2625,KI,129,434,9,231,0,0,93
KEN 33-2699,KI,107,401,11,198,0,0,80
DES 33-2623,KI,133,333,15,225,0,0,77
NPK 33-0849,KI,145,380,23,254,0,0,86
STACY,KI,40,173,7,89,0,0,42
DES 33-0911,KI,136,515,12,224,0,0,76
SET 33-3065,KI,100,464,7,146,0,0,39
SET 33-3057,KI,152,607,14,267,0,0,101
BUR 33-0562,KI,131,403,15,194,0,0,48
DES 33-2394,KI,200,407,5,271,1,0,65
DES 33-2395,KI,109,263,10,162,0,0,43
SET 33-3059,KI,130,683,11,205,0,1,63
KEN 33-3670,KI,68,288,2,120,0,0,50
KEN 33-2567,KI,94,369,13,187,0,0,80
KEN 33-0578,KI,133,501,6,207,0,0,68
DES 33-0361,KI,111,386,13,201,0,0,77
KEN 33-0577,KI,115,371,7,170,0,0,48
KEN 33-2569,KI,214,856,19,390,0,1,156
DES 33-0362,KI,132,554,12,209,0,2,63
DES 33-0682,KI,132,444,11,241,0,0,98
DES 33-0364,KI,109,441,6,196,0,0,81
DES 33-0367,KI,123,411,13,234,0,2,96
DES 33-1071,KI,103,390,14,181,0,0,64
KEN 33-2570,KI,142,582,18,265,0,1,104
KEN 33-3644,KI,138,486,5,213,0,0,70
DES 33-2820,KI,89,393,4,164,0,3,68
FRANKLIN,KI,32,160,3,63,0,0,28
BUR 33-0476,KI,234,764,22,378,0,0,122
DES 33-2416,KI,149,484,6,242,0,0,87
BUR 33-0094,KI,147,450,9,229,0,0,73
SET 33-3104,KI,151,542,21,247,0,1,74
NPK 33-2645,KI,144,335,11,219,0,0,64
SET 33-3107,KI,165,680,31,281,0,0,85
SET 33-3100,KI,182,847,14,291,0,0,95
SET 33-3101,KI,142,366,16,228,0,1,69
SET 33-3102,KI,180,670,18,293,0,2,93
KEN 33-0583,KI,109,371,16,203,0,1,77
KEN 33-0582,KI,190,843,30,359,0,1,138
KEN 33-0581,KI,190,684,21,311,1,1,98
KEN 33-0587,KI,115,470,3,209,0,0,91
KEN 33-0586,KI,163,437,11,256,0,0,82
KEN 33-0585,KI,129,569,10,224,0,3,82
KEN 33-0588,KI,108,317,7,157,0,1,41
DES 33-0272,KI,132,414,14,239,0,0,93
BUR 33-0009,KI,65,277,7,119,0,0,47
KEN 33-1055,KI,73,424,8,123,0,0,42
BUR 33-0251,KI,99,386,14,174,0,0,61
BUR 33-1067,KI,253,866,22,427,0,3,149
KEN 33-3362,KI,94,365,17,174,0,0,63
DES 33-0864,KI,119,317,9,204,0,0,76
KEN 33-3553,KI,121,557,14,194,0,0,59
KEN 33-0590,KI,211,755,21,372,0,1,139
KEN 33-0591,KI,90,274,8,140,0,0,42
KEN 33-0592,KI,49,208,2,81,0,0,30
KEN 33-0593,KI,78,231,6,140,0,0,56
KEN 33-0594,KI,91,366,18,189,0,1,79
KEN 33-0595,KI,95,488,9,139,0,0,35
KEN 33-0596,KI,157,550,10,289,0,0,122
KEN 33-0597,KI,131,688,12,239,0,1,95
KEN 33-0598,KI,120,473,11,201,0,0,70
KEN 33-0453,KI,231,815,26,364,0,0,107
RNT 33-2472,KI,155,587,11,252,0,1,85
KEN 33-2864,KI,159,463,3,243,0,1,80
DES 33-2674,KI,154,552,18,250,0,1,77
DES 33-2671,KI,283,834,29,488,0,0,176
DES 33-2673,KI,98,366,10,167,0,0,59
DES 33-2672,KI,141,577,15,231,0,0,75
MCKINLEY,KI,81,351,3,118,0,2,32
