Row Label,County,John McCoy,Craig French
MILLARD,SN,80,108
STRAUS,SN,178,209
EVERETT   6,SN,149,62
EVERETT   7,SN,87,40
EVERETT   4,SN,180,96
EVERETT   5,SN,170,71
EVERETT   2,SN,227,68
EVERETT   3,SN,162,71
EVERETT  75,SN,99,85
EVERETT   1,SN,221,149
EVERETT  78,SN,86,52
EVERETT   8,SN,160,81
EVERETT   9,SN,279,167
MARYSVILLE 27,SN,196,172
MARYSVILLE 26,SN,198,138
MARYSVILLE 25,SN,104,56
MARYSVILLE 20,SN,180,105
EVERETT  23,SN,23,29
MARYSVILLE 29,SN,85,72
MARYSVILLE 28,SN,92,85
MARYSVILLE 47,SN,168,120
MARYSVILLE 46,SN,202,189
MARYSVILLE 41,SN,117,78
MARYSVILLE 40,SN,126,109
MARYSVILLE 43,SN,146,128
MARYSVILLE 42,SN,139,102
MARYSVILLE 49,SN,127,101
MARYSVILLE 48,SN,152,97
TULALIP 2,SN,196,75
TULALIP 3,SN,181,105
TULALIP 1,SN,175,143
TULALIP 6,SN,111,37
TULALIP 4,SN,199,133
TULALIP 5,SN,126,77
EVERETT  60,SN,163,87
EVERETT  62,SN,126,66
EVERETT  63,SN,129,94
EVERETT  67,SN,173,85
EVERETT  68,SN,227,128
EVERETT  69,SN,176,93
WENBERG,SN,168,132
MARYSVILLE 32,SN,107,103
MARYSVILLE 35,SN,157,133
MARYSVILLE 36,SN,129,78
MARYSVILLE 37,SN,120,78
MARYSVILLE 38,SN,111,93
MARYSVILLE 39,SN,151,105
MARYSVILLE 50,SN,167,116
MARYSVILLE 51,SN,71,55
EVERETT  55,SN,48,27
EVERETT  54,SN,162,104
EVERETT  51,SN,157,97
EVERETT  50,SN,187,85
EVERETT  53,SN,182,100
WILLOW,SN,136,98
EVERETT  59,SN,151,65
EVERETT  58,SN,20,10
EVERETT  73,SN,164,110
EVERETT  72,SN,107,40
EVERETT  71,SN,105,48
EVERETT  48,SN,125,91
EVERETT  49,SN,214,118
SHELTON,SN,186,204
EVERETT  42,SN,132,82
EVERETT  43,SN,78,85
EVERETT  40,SN,80,46
EVERETT  41,SN,155,69
EVERETT  46,SN,156,69
EVERETT  47,SN,185,76
EVERETT  44,SN,128,65
EVERETT  45,SN,153,70
HAT ISLAND,SN,16,17
EVERETT  74,SN,89,83
SYLVAN,SN,11,13
SPENCER(*),SN,0,0
EVERETT  76,SN,147,101
EVERETT  39,SN,151,102
EVERETT  38,SN,47,29
EVERETT  37,SN,186,86
EVERETT  36,SN,153,81
EVERETT  34,SN,118,71
EVERETT  33,SN,246,123
EVERETT  32,SN,173,103
EVERETT  31,SN,137,68
EVERETT  30,SN,205,130
EVERETT  70,SN,2,2
BOEING,SN,107,122
EVERETT  77,SN,131,91
EVERETT  28,SN,145,86
EVERETT  29,SN,121,80
EVERETT  24,SN,190,96
EVERETT  25,SN,163,77
EVERETT  26,SN,277,122
EVERETT  27,SN,196,98
EVERETT  20,SN,179,76
EVERETT  21,SN,256,114
EVERETT  22,SN,173,70
TIMBER,SN,0,0
CHATHAM,SN,36,22
PRIEST POINT,SN,117,79
MARYSVILLE  9,SN,79,50
MARYSVILLE  8,SN,151,106
MARYSVILLE  1,SN,107,103
MARYSVILLE  3,SN,194,136
MARYSVILLE  2,SN,79,54
MARYSVILLE  4,SN,142,84
MARYSVILLE  7,SN,100,94
MARYSVILLE  6,SN,120,99
EVERETT  11,SN,226,120
EVERETT  10,SN,147,61
EVERETT  13,SN,152,76
EVERETT  12,SN,170,73
EVERETT  15,SN,165,95
EVERETT  14,SN,194,66
EVERETT  17,SN,118,41
EVERETT  16,SN,150,65
EVERETT  19,SN,181,66
EVERETT  18,SN,263,102
COHO(*),SN,0,0
EVERETT  90,SN,62,20
EVERETT  93,SN,111,63
EVERETT  94,SN,96,75
TYEE,SN,158,122
LOMA,SN,156,124
MARYSVILLE 11,SN,233,142
EVERETT  88,SN,165,116
EVERETT  89,SN,151,65
EVERETT  86,SN,150,90
EVERETT  87,SN,104,77
EVERETT  85,SN,124,86
EVERETT  82,SN,133,89
EVERETT  80,SN,172,138
EVERETT  81,SN,107,41
MARYSVILLE 13,SN,127,110
MARYSVILLE 10,SN,125,98
Total,SN,19414,11960
MARYSVILLE 17,SN,159,108
MARYSVILLE 15,SN,178,108
