Row Label,County,Dianne Dorey,Candy Hallom
Salzer,LE,85,73
Napavine #2,LE,0,0
Packwood,LE,45,50
Napavine #5,LE,0,0
Napavine #6,LE,0,0
Napavine #1,LE,206,229
Union,LE,114,129
Paradise,LE,23,25
Napavine #4,LE,0,0
Urquhart,LE,85,113
Mossyrock,LE,80,46
Independence,LE,31,34
Sommerville,LE,28,34
Stillwater West,LE,98,62
Veness,LE,178,166
Greenwood,LE,6,8
Stearns Creek,LE,63,77
Elk Crk,LE,63,62
Stillwater East,LE,44,42
Agate,LE,101,69
Skookumchuck,LE,155,185
Silver Creek,LE,161,137
Meskill,LE,35,36
Onalaska,LE,332,306
Jackson,LE,198,217
Napavine #3(*),LE,0,0
Toledo,LE,89,81
Mauermann,LE,37,44
Chehalis #9,LE,6,8
Chehalis #8,LE,124,131
Harmony,LE,147,174
Chehalis #1,LE,132,103
Chehalis #3,LE,99,89
Chehalis #2,LE,100,79
Chehalis #5,LE,88,72
Chehalis #4,LE,75,97
Chehalis #7,LE,24,29
Chehalis #6,LE,164,170
Centralia #2,LE,192,184
Centralia #3,LE,64,76
Centralia #1,LE,62,80
Centralia #6,LE,148,143
Centralia #7,LE,69,76
Centralia #4,LE,110,112
Centralia #5,LE,79,70
Centralia #8,LE,90,88
Centralia #9,LE,190,169
Mineral,LE,114,52
Salkum,LE,132,120
Randle West,LE,92,141
Ethel,LE,233,219
Fair,LE,0,0
Mellen(*),LE,0,0
Crego,LE,317,456
Parcuvia,LE,131,140
Evaline West,LE,83,96
Pe Ell,LE,80,102
Newaukum,LE,153,162
Forest,LE,193,173
Dryad,LE,64,58
Temple,LE,125,148
Cowlitz,LE,274,248
Drews Prairie,LE,113,43
Seminary Hill,LE,89,100
Klickitat,LE,102,99
Verndale,LE,133,156
Cinebar,LE,126,167
Whealdon,LE,122,133
Sears,LE,110,123
Adna ,LE,265,329
Big Bottom,LE,168,166
Fords Prairie,LE,177,180
Jackson North,LE,0,0
Boistfort,LE,70,54
Claquato,LE,157,186
Curtis,LE,62,71
Vader,LE,71,59
Logan,LE,165,156
Alpha,LE,235,218
Berwick,LE,238,244
Evaline East,LE,59,64
Lincoln Creek,LE,155,138
Randle East,LE,140,168
Salmon Creek,LE,283,249
Emery,LE,102,106
Emery North(*),LE,0,0
Winlock,LE,135,111
Prescott,LE,328,308
Total,LE,10691,10662
Kelly,LE,0,0
Roswell,LE,2,6
Centralia #10,LE,70,60
Centralia #11,LE,165,189
Centralia #12,LE,273,156
Centralia #13,LE,226,212
Morton,LE,136,117
