Row Label,County,David B. Ladenburg
27-448,PI,10
27-449,PI,353
27-444,PI,302
27-445,PI,279
27-446,PI,296
27-447,PI,325
27-440,PI,341
27-441,PI,286
27-442,PI,230
27-443,PI,257
27-428,PI,319
27-429,PI,349
27-426,PI,329
27-427,PI,323
27-424,PI,356
27-425,PI,310
27-422,PI,476
27-423,PI,404
27-420,PI,426
27-421,PI,327
28-506,PI,438
28-507,PI,353
28-504,PI,404
28-505,PI,424
28-502,PI,423
28-503,PI,451
28-501,PI,405
28-508,PI,200
28-509,PI,0
27-459,PI,198
27-458,PI,210
27-453,PI,233
27-452,PI,317
27-451,PI,281
27-450,PI,371
27-457,PI,308
27-456,PI,251
27-455,PI,291
27-454,PI,337
27-439,PI,309
27-438,PI,306
27-435,PI,370
27-434,PI,336
27-437,PI,311
27-436,PI,351
27-431,PI,153
27-430,PI,358
27-433,PI,339
27-432,PI,355
29-626,PI,8
29-627,PI,0
29-624,PI,0
29-625,PI,6
29-622,PI,240
29-623,PI,72
29-620,PI,172
29-621,PI,0
27-408,PI,394
27-409,PI,388
27-404,PI,127
27-405,PI,398
27-406,PI,490
27-407,PI,370
29-601,PI,260
29-602,PI,220
29-603,PI,302
29-604,PI,300
29-605,PI,232
29-606,PI,318
29-607,PI,379
29-608,PI,256
29-609,PI,208
29-619,PI,281
29-618,PI,261
29-617,PI,287
29-616,PI,290
29-615,PI,348
29-614,PI,331
29-613,PI,319
29-612,PI,154
29-611,PI,59
29-610,PI,292
27-417,PI,399
27-416,PI,399
27-415,PI,426
27-414,PI,385
27-413,PI,372
27-412,PI,363
27-411,PI,443
27-410,PI,395
27-419,PI,360
27-418,PI,358
27-462,PI,363
27-463,PI,284
27-460,PI,324
27-461,PI,393
27-466,PI,316
27-467,PI,309
27-464,PI,309
27-465,PI,271
27-468,PI,295
Total,PI,29907
