Row Label,County,Joe Burrowes
Griffin,BE,4
215,BE,130
Ridge,BE,0
Kiona,BE,281
210,BE,142
Hedges,BE,157
Weidle,BE,33
Randy,BE,72
W2 - P641,BE,137
W2 - P640,BE,185
135,BE,149
165,BE,133
W1 - P685,BE,248
W1 - P686,BE,196
W1 - P680,BE,250
W1 - P681,BE,192
W1 - P682,BE,272
W1 - P683,BE,183
Columbia,BE,0
El Rancho,BE,272
Benton South,BE,189
W3 - P545,BE,112
French,BE,26
289,BE,287
288,BE,183
(none),BE,177
281,BE,254
280,BE,233
283,BE,151
220,BE,109
285,BE,295
284,BE,181
287,BE,133
286,BE,142
235,BE,113
Pearson,BE,3
Apricot,BE,53
Benton East,BE,0
McBee,BE,1
Candy,BE,5
455,BE,186
Reata,BE,167
W1 - P670,BE,184
W3-P511,BE,18
W1 - P675,BE,87
W1 - P674,BE,140
265,BE,164
W1 - P676,BE,282
Harrington,BE,233
W3 - P558,BE,272
W3 - P559,BE,263
Carley,BE,0
W3 - P552,BE,211
W3 - P553,BE,190
W3 - P550,BE,206
W3 - P551,BE,187
W3 - P556,BE,267
W3 - P557,BE,226
WR 11,BE,205
W3 - P555,BE,175
WR 17,BE,148
130,BE,157
WR 16,BE,145
Benton North,BE,250
292,BE,154
293,BE,115
290,BE,223
Badger,BE,144
Sacagawea,BE,1
Crow Butte,BE,24
195,BE,151
Washington,BE,76
311,BE,0
310,BE,207
Mills,BE,249
Rattlesnake,BE,41
Liberty,BE,9
Vineyard,BE,0
271,BE,100
W1 - P660,BE,186
W1 - P667,BE,102
W1 - P664,BE,314
W1 - P665,BE,252
278,BE,228
279,BE,88
W1 - P668,BE,314
W1 - P669,BE,132
175,BE,320
Susie,BE,17
Walnut Grove,BE,130
Kennewick Valley,BE,195
Yakima,BE,3
Hawthorne,BE,130
Expansion,BE,0
W3 - P560,BE,97
255,BE,177
Yellowstone,BE,107
Cook,BE,12
Celilo,BE,217
WR 10,BE,20
Orchard,BE,9
300,BE,186
301,BE,189
Jewel,BE,26
305,BE,172
W1 - P657,BE,164
W1 - P656,BE,107
W1 - P655,BE,127
Shockley,BE,4
240,BE,259
W1 - P651,BE,44
W1 - P650,BE,234
Ivey,BE,151
105,BE,136
245,BE,152
Hanford 4,BE,0
Hanford 3,BE,0
Hanford 2,BE,0
Hanford 1,BE,0
Cascade,BE,178
270,BE,203
Roe,BE,11
WR 1,BE,103
W2 - P633,BE,190
Cone,BE,122
W3 - P540,BE,199
160,BE,231
291,BE,246
282,BE,294
W2 - P635,BE,245
Elk,BE,0
125,BE,129
450,BE,237
Salmon,BE,35
Umatilla,BE,86
W1 - P645,BE,50
W1 - P646,BE,76
Gage,BE,5
Bobbie,BE,0
W2 - P639,BE,128
W2 - P601,BE,112
W2 - P600,BE,103
Riverside,BE,214
W2 - P605,BE,142
W1 - P691,BE,37
170,BE,152
W3 - P505,BE,151
Buena Vista,BE,315
W3 - P500,BE,38
Demoss,BE,11
Sunny,BE,42
316,BE,0
180,BE,105
W2 - P570,BE,184
186,BE,63
Dot,BE,108
W2 - P575,BE,82
185,BE,82
250,BE,198
Onion,BE,0
465,BE,199
Horse Heaven,BE,28
460,BE,169
190,BE,191
315,BE,296
Enterprise,BE,123
W2 - P590,BE,151
W2 - P610,BE,125
W2 - P595,BE,147
Prosser North,BE,199
W2 - P615,BE,60
115,BE,114
W3 - P515,BE,114
W3 - P510,BE,110
225,BE,161
W2 - P565,BE,95
Canyon,BE,189
295,BE,190
W2 - P560,BE,105
Roza,BE,0
Edgewater,BE,148
W2 - P625,BE,207
110,BE,159
151,BE,339
150,BE,236
Vista,BE,90
WR 4,BE,261
Legion,BE,178
Cherry,BE,223
Oak,BE,105
WR 9,BE,155
WR 8,BE,256
W1-P663,BE,172
Paterson,BE,12
WR 2,BE,126
WR 3,BE,108
W2 - P626,BE,126
W2 - P580,BE,124
W3 - P520,BE,85
WR 7,BE,242
Chandler,BE,27
W3 - P525,BE,115
W2 - P585,BE,105
W2-P574,BE,111
230,BE,135
WR12,BE,250
WR13,BE,154
WR14,BE,267
WR15,BE,183
WR 6,BE,239
320,BE,264
WR 5,BE,76
155,BE,278
W2 - P620,BE,139
White Bluffs,BE,258
200,BE,149
145,BE,240
205,BE,135
140,BE,139
275,BE,81
W3 - P535,BE,97
W2 - P630,BE,184
Goose Ridge,BE,44
W2 - P634,BE,259
Reese,BE,22
W2 - P636,BE,196
W2 - P637,BE,230
W2 - P638,BE,228
Wheat,BE,0
Black Rock,BE,1
W1 - P690,BE,252
W3 - P530,BE,121
South,BE,150
Ida,BE,0
120,BE,190
Finley,BE,285
Tumble Weed,BE,32
Miller,BE,1
470,BE,154
260,BE,146
W3-P516,BE,11
Red Mountain,BE,167
Total,BE,33717
Clements,BE,36
