Row Label,County,Greg Banks
CAMANO 08,IS,314
CAMANO 09,IS,463
S WHIDBEY 09,IS,503
S WHIDBEY 08,IS,407
N WHIDBEY 04,IS,546
N WHIDBEY 05,IS,263
N WHIDBEY 06,IS,273
N WHIDBEY 07,IS,364
S WHIDBEY 03,IS,614
S WHIDBEY 02,IS,540
S WHIDBEY 01,IS,606
CAMANO 03,IS,444
S WHIDBEY 07,IS,525
S WHIDBEY 06,IS,488
S WHIDBEY 05,IS,599
S WHIDBEY 04,IS,502
N WHIDBEY 01,IS,484
N WHIDBEY 03,IS,396
CAMANO 01,IS,328
C WHIDBEY 03,IS,565
C WHIDBEY 02,IS,578
C WHIDBEY 01,IS,329
COUPEVILLE,IS,561
C WHIDBEY 05,IS,522
C WHIDBEY 04,IS,548
N WHIDBEY 02,IS,471
N WHIDBEY 08,IS,294
N WHIDBEY 09,IS,293
CAMANO 02,IS,463
N WHIDBEY 11,IS,81
N WHIDBEY 10,IS,140
S WHIDBEY 10,IS,490
CAMANO 04,IS,586
CAMANO 05,IS,497
CAMANO 06,IS,470
CAMANO 11,IS,452
CAMANO 10,IS,334
CAMANO 07,IS,407
OAK HARBOR 08,IS,406
OAK HARBOR 09,IS,115
OAK HARBOR 01,IS,456
OAK HARBOR 02,IS,344
OAK HARBOR 03,IS,443
OAK HARBOR 04,IS,454
OAK HARBOR 05,IS,482
OAK HARBOR 06,IS,419
OAK HARBOR 07,IS,468
LANGLEY,IS,358
Total,IS,20685
