Row Label,County,Robert Hogg,Larry Schaapman
Ephrata 7 012,GR,77,199
Hartline Rural S 020,GR,7,12
Moses Lake 5 029,GR,77,141
Ephrata 9 013,GR,118,309
Beverly 002,GR,11,19
East Wahluke 061,GR,19,46
Royal City 044,GR,35,61
Moses Lake 2 067,GR,89,119
Marlin 024,GR,3,14
Lakeview Park 021,GR,87,139
Moses Lake 9  068,GR,88,169
Coulee City 005,GR,67,91
North Banks Lake 037,GR,17,29
Ephrata Rural E,GR,57,168
Moses Lake 7 033,GR,128,180
George 015,GR,12,27
Mae 023,GR,230,404
Ruff 045,GR,18,20
Cascade Valley 058,GR,186,234
Wilson Crk Rural 056,GR,4,22
Electric City 007,GR,113,118
Coulee Cty Rur N 072,GR,25,35
Moses Lake 1 066,GR,60,105
Smyrna 2 060,GR,7,17
Hartline 019,GR,16,26
Moses Lake 4 031,GR,89,139
Cascade Fairgrnd 004,GR,87,110
Warden 050,GR,56,82
Ephrata 5 008,GR,78,143
Quincy 4 040,GR,19,120
Ephrata 4 011,GR,98,253
Quincy 1 039,GR,32,215
Stratford 049,GR,8,27
Westslope 1 053,GR,29,56
McConihe 1 028,GR,48,85
Marlin Rural 025,GR,15,15
Coulee Cty Rur W 006,GR,32,28
Coulee Cty Rur E 062,GR,6,13
Moses Lake 6 032,GR,170,203
Wheeler 2 070,GR,143,298
Longview 022,GR,115,186
Greenfield 065,GR,9,37
Mattawa Rural 027,GR,142,186
Airport 2 057,GR,72,92
Soap Lake 1 047,GR,69,73
Airport 1 001,GR,76,121
Grand Coulee 018,GR,105,96
Moses Lake 12 036,GR,121,142
Gloyd 017,GR,77,142
Hartline Rural N 073,GR,8,17
Smyrna 1 046,GR,29,67
Westslope 2 059,GR,12,56
Moses Lake 3 030,GR,145,231
Mattawa 026,GR,15,21
O Sullivan Dam 2 069,GR,137,341
Soap Lake 2 052,GR,63,70
Quincy Rural S 064,GR,50,498
Ephrata Rural ,GR,66,164
Ephrata 3 010,GR,90,97
Wheeler 1 054,GR,59,104
Warden Rural 051,GR,101,199
George Rural 016,GR,89,386
McConihe 2 063,GR,56,72
Quincy 6 041,GR,46,415
Block 71 003,GR,86,410
Wilson Creek 055,GR,17,33
Quincy Rural N 042,GR,29,195
Moses Lake 8 034,GR,159,231
O Sullivan Dam 1 038,GR,128,228
Soap Lake Rur E ,GR,26,42
Royal Camp 043,GR,95,259
Total,GR,5075,10372
Soap Lake Rur W ,GR,97,176
Ephrata 2 009,GR,73,197
Moses Lake 11 035,GR,152,297
